"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
1,1,128.945146483562,2,2,2.50102314299838,"M",0,0.25,0.137863181811645,"HIGH LOW"
1,2,185.560361091848,5,5,5.49959966293727,"M",0,0.25,0.980451702363314,"HIGH LOW"
1,3,105.900652631684,1,1,1.50222497961691,"M",0,0.25,0.0151735074921228,"HIGH LOW"
1,4,62.2089437858182,0,0,0.497392297164626,"M",0,0.25,0.000182416129762397,"HIGH LOW"
1,5,125.540370243956,2,2,2.50031255433255,"M",0,0.25,0.101666160139578,"HIGH LOW"
1,6,213.959426987188,7,7,7.50173015258571,"M",0,0.25,0.99888585129727,"HIGH LOW"
1,7,62.6095272038875,0,0,0.498655509601737,"M",0,0.25,0.000189986899451263,"HIGH LOW"
1,8,149.181532835771,4,4,4.5000565044185,"M",0,0.25,0.555148769401307,"HIGH LOW"
1,9,62.2202242791922,0,0,0.499752603171738,"M",0,0.25,0.000182625138913969,"HIGH LOW"
1,10,174.457519307746,4,4,4.49997170185183,"M",0,0.25,0.942014475834792,"HIGH LOW"
1,11,61.8490231792707,0,0,0.500842467290515,"M",0,0.25,0.000175871471904499,"HIGH LOW"
1,12,144.801059606376,3,3,3.49998529533586,"M",0,0.25,0.444414791004704,"HIGH LOW"
2,1,100.407800377461,2,1,1.50110291043773,"M",0,0.25,0.00874389792738777,"HIGH LOW"
2,2,207.104598031527,9,8,8.49876919835352,"M",0,0.25,0.997767866514372,"HIGH LOW"
2,3,240.697165305373,8,7,7.49924683076406,"M",0,0.25,0.999926142272836,"HIGH LOW"
2,4,62.0017447545513,1,0,0.499784201637073,"M",0,0.25,0.000178619329674112,"HIGH LOW"
2,5,162.862879458509,5,4,4.50103305588597,"M",0,0.25,0.833494100469969,"HIGH LOW"
2,6,198.991231418707,14,13,13.4994132813541,"M",0,0.25,0.99492728457106,"HIGH LOW"
2,7,172.705939970222,5,4,4.49972727740944,"M",0,0.25,0.931501453803497,"HIGH LOW"
2,8,155.991657202142,5,4,4.5011362573962,"M",0,0.25,0.713602288389528,"HIGH LOW"
2,9,177.132384173324,8,7,7.49987351814298,"M",0,0.25,0.955187161837468,"HIGH LOW"
2,10,137.245770693559,4,3,3.50014471799815,"M",0,0.25,0.270838981613498,"HIGH LOW"
2,11,62.9989470929108,1,0,0.501204830822348,"M",0,0.25,0.000197647706303976,"HIGH LOW"
2,12,183.958578065338,9,8,8.49989618250018,"M",0,0.25,0.977078515190423,"HIGH LOW"
3,1,142.582052732727,5,3,3.49895275004098,"M",0,0.25,0.389702076926035,"HIGH LOW"
3,2,213.991375094929,12,10,10.5005901807112,"M",0,0.25,0.998889455474211,"HIGH LOW"
3,3,200.342579660495,12,10,10.5020455790258,"M",0,0.25,0.995574774489357,"HIGH LOW"
3,4,148.296015031769,7,5,5.49825460896104,"M",0,0.25,0.532849486087498,"HIGH LOW"
3,5,64.3624039993462,2,0,0.501009330347413,"M",0,0.25,0.000226986799165169,"HIGH LOW"
3,6,177.35480624049,6,4,4.50066885345966,"M",0,0.25,0.956143945048559,"HIGH LOW"
3,7,62.6786547115415,2,0,0.498888620829476,"M",0,0.25,0.000191324791257291,"HIGH LOW"
3,8,159.002524544591,6,4,4.5003851057204,"M",0,0.25,0.771824983116786,"HIGH LOW"
3,9,191.484811039103,7,5,5.49992564670213,"M",0,0.25,0.98919250063972,"HIGH LOW"
3,10,129.4419269655,4,2,2.50067277321501,"M",0,0.25,0.143968466749359,"HIGH LOW"
3,11,60.5922559009394,2,0,0.502191314387879,"M",0,0.25,0.000154805881242654,"HIGH LOW"
4,1,63.0248808977334,3,0,0.500484910087201,"M",0,0.25,0.000198168719119049,"HIGH LOW"
4,2,126.897093540172,5,2,2.50026120267836,"M",0,0.25,0.114955186618308,"HIGH LOW"
4,3,177.264076642271,9,6,6.49959377061883,"M",0,0.25,0.955756034085824,"HIGH LOW"
4,4,101.352263634486,4,1,1.50044036060296,"M",0,0.25,0.00961543925525649,"HIGH LOW"
4,5,154.292866369619,7,4,4.50036694737466,"M",0,0.25,0.677096889798855,"HIGH LOW"
4,6,97.9966380454495,4,1,1.50005426694741,"M",0,0.25,0.00685820366824304,"HIGH LOW"
4,7,62.2076128985497,3,0,0.500783063964827,"M",0,0.25,0.000182391486369166,"HIGH LOW"
4,8,64.0065806366762,3,0,0.502130202748651,"M",0,0.25,0.000218934439966934,"HIGH LOW"
4,9,60.8596314170911,3,0,0.499886736358369,"M",0,0.25,0.000159065324693987,"HIGH LOW"
4,10,132.645321362572,5,2,2.50001486879362,"M",0,0.25,0.188855404253469,"HIGH LOW"
4,11,60.2019056656689,3,0,0.498164435508962,"M",0,0.25,0.000148791318987891,"HIGH LOW"
4,12,230.467342883689,10,7,7.50049127985595,"M",0,0.25,0.999791348785609,"HIGH LOW"
5,1,230.540730256006,14,10,10.5003231463654,"M",0,0.25,0.999792897387769,"HIGH LOW"
5,2,155.179277554159,7,3,3.50056645748742,"M",0,0.25,0.696452503835713,"HIGH LOW"
5,3,182.842623141199,8,4,4.50227587682391,"M",0,0.25,0.974398933271483,"HIGH LOW"
5,4,164.338069757978,9,5,5.50166202714957,"M",0,0.25,0.853256678016169,"HIGH LOW"
5,5,194.865619708046,10,6,6.49992396712909,"M",0,0.25,0.992308438925064,"HIGH LOW"
5,6,177.909301639054,9,5,5.49905221613418,"M",0,0.25,0.958445023399835,"HIGH LOW"
5,7,146.732057095564,7,3,3.49799422367434,"M",0,0.25,0.493199199333787,"HIGH LOW"
5,8,93.5573165300178,5,1,1.50072229762856,"M",0,0.25,0.00438067232886768,"HIGH LOW"
5,9,101.935845152073,5,1,1.49991837037836,"M",0,0.25,0.0101964100101692,"HIGH LOW"
5,10,137.444705075349,6,2,2.49944481425393,"M",0,0.25,0.274846255796115,"HIGH LOW"
5,11,175.211688334465,11,7,7.49963706960007,"M",0,0.25,0.946058272409428,"HIGH LOW"
6,1,143.048873322588,9,4,4.50050926958534,"M",0,0.25,0.401031918335145,"HIGH LOW"
6,2,175.470925875452,10,5,5.49928326343245,"M",0,0.25,0.947385823335337,"HIGH LOW"
6,3,149.005173582296,8,3,3.50103212898602,"M",0,0.25,0.550722432625243,"HIGH LOW"
6,4,160.667586564748,10,5,5.50081370626826,"M",0,0.25,0.800225218801658,"HIGH LOW"
6,5,154.56635422586,8,3,3.49895930606357,"M",0,0.25,0.683137870284266,"HIGH LOW"
6,6,163.575796230074,12,7,7.49922345122647,"M",0,0.25,0.843298731544979,"HIGH LOW"
6,7,63.5884538315043,5,0,0.500710958225337,"M",0,0.25,0.0002098363654982,"HIGH LOW"
6,8,62.0056026113219,5,0,0.499072831539618,"M",0,0.25,0.000178689295596417,"HIGH LOW"
6,9,198.347784223413,13,8,8.49938598794893,"M",0,0.25,0.994586669214539,"HIGH LOW"
6,10,162.213598368319,10,5,5.49950605537076,"M",0,0.25,0.82414299065444,"HIGH LOW"
6,11,60.8263872981108,5,0,0.501015129244511,"M",0,0.25,0.000158529412908244,"HIGH LOW"
7,1,142.653633989732,9,3,3.50187452099186,"M",0,0.25,0.391431992311252,"HIGH LOW"
7,2,64.9455238483161,6,0,0.500340569326786,"M",0,0.25,0.000240828139025315,"HIGH LOW"
7,3,123.27121491326,8,2,2.50081252854599,"M",0,0.25,0.0824708092911565,"HIGH LOW"
7,4,96.2616759586955,7,1,1.50179343276948,"M",0,0.25,0.00575689933084665,"HIGH LOW"
7,5,202.087129202885,12,6,6.50011354788086,"M",0,0.25,0.996290446310471,"HIGH LOW"
7,6,170.395245905479,11,5,5.50083416781321,"M",0,0.25,0.914930144138824,"HIGH LOW"
7,7,60.0375736096402,6,0,0.49950983561215,"M",0,0.25,0.000146329688745255,"HIGH LOW"
7,8,101.32085727876,7,1,1.49939054089565,"M",0,0.25,0.00958512016651681,"HIGH LOW"
7,9,103.121666392459,7,1,1.50080153145756,"M",0,0.25,0.0114860263768647,"HIGH LOW"
