"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
1,2,2,128.119139831834,2,2,2.50068684687608,0,0.25,0.12819439539035,"HIGH LOW"
1,6,6,152.317411051099,4,4,4.49831754218908,0,0.25,0.631786687114008,"HIGH LOW"
2,19,7,158.860586552118,4,3,3.50004335692107,0,0.25,0.769277054704055,"HIGH LOW"
2,20,8,139.643943170007,4,3,3.49947938730745,0,0.25,0.321501960754061,"HIGH LOW"
2,15,3,164.594959675279,5,4,4.4996718341214,0,0.25,0.856492480892459,"HIGH LOW"
2,16,4,154.566028972931,5,4,4.49983626209726,0,0.25,0.683130721912993,"HIGH LOW"
2,19,7,178.513104024922,5,4,4.49963194465865,0,0.25,0.960819237097574,"HIGH LOW"
2,20,8,154.126982872849,5,4,4.49893881352467,0,0.25,0.673403562251967,"HIGH LOW"
3,25,2,151.496901569571,5,3,3.49810706978344,0,0.25,0.61220280832092,"HIGH LOW"
3,27,4,173.236425384485,5,3,3.50019765541912,0,0.25,0.934859311219172,"HIGH LOW"
2,16,4,165.565685768097,6,5,5.49837817034177,0,0.25,0.868186468831204,"HIGH LOW"
2,19,7,194.20178370961,6,5,5.49944969428131,0,0.25,0.991776561197679,"HIGH LOW"
2,20,8,165.047920925949,6,5,5.49896094702318,0,0.25,0.862053135563138,"HIGH LOW"
3,24,1,161.752107992806,6,4,4.49920361153333,0,0.25,0.817248606056775,"HIGH LOW"
3,25,2,169.083747059595,6,4,4.50023455353027,0,0.25,0.903976930184541,"HIGH LOW"
3,29,6,160.630840260396,6,4,4.49961227747878,0,0.25,0.799628104659757,"HIGH LOW"
3,32,9,171.811900329658,6,4,4.49949205482536,0,0.25,0.925477674527884,"HIGH LOW"
3,34,11,183.065813911183,6,4,4.49929204535191,0,0.25,0.974958192739193,"HIGH LOW"
4,42,7,143.840621168509,6,3,3.50012468630674,0,0.25,0.420485850979122,"HIGH LOW"
5,46,2,141.230477493734,6,2,2.49979993472204,0,0.25,0.357600637693613,"HIGH LOW"
2,16,4,173.869342181723,7,6,6.50104883185697,0,0.25,0.938665012225972,"HIGH LOW"
2,19,7,206.726116563625,7,6,6.49964650436486,0,0.25,0.997680623198627,"HIGH LOW"
2,20,8,173.282855746726,7,6,6.49987518604348,0,0.25,0.935145804894337,"HIGH LOW"
3,25,2,182.834613304601,7,5,5.49994735077536,0,0.25,0.974378638197379,"HIGH LOW"
3,28,5,167.88222079757,7,5,5.49896017213465,0,0.25,0.892853126049123,"HIGH LOW"
3,29,6,172.745019435295,7,5,5.49945070719995,0,0.25,0.931754194141942,"HIGH LOW"
3,32,9,186.111396152163,7,5,5.4996061423223,0,0.25,0.981495674323283,"HIGH LOW"
3,34,11,199.731582148029,7,5,5.50026009112438,0,0.25,0.995292890179668,"HIGH LOW"
4,37,2,156.753165399034,7,4,4.50140184066711,0,0.25,0.729139685296861,"HIGH LOW"
4,42,7,159.390938400579,7,4,4.49920798375826,0,0.25,0.778695663080055,"HIGH LOW"
5,54,10,159.099563042815,7,3,3.50122664708646,0,0.25,0.773555478669602,"HIGH LOW"
6,60,3,127.429966848518,7,2,2.50072980308635,0,0.25,0.120575456368614,"HIGH LOW"
6,69,12,135.931954921786,7,2,2.50019579784588,0,0.25,0.245313593247387,"HIGH LOW"
2,16,4,180.137784108553,8,7,7.4994800200793,0,0.25,0.966578336248761,"HIGH LOW"
2,20,8,179.492409465713,8,7,7.5003747332575,0,0.25,0.964395574628216,"HIGH LOW"
3,25,2,193.586190248589,8,6,6.50005075806314,0,0.25,0.991250812081723,"HIGH LOW"
3,28,5,176.4967152164,8,6,6.49903462877843,0,0.25,0.952341906933233,"HIGH LOW"
4,37,2,168.148929074935,8,5,5.50051689562848,0,0.25,0.895416302959457,"HIGH LOW"
4,40,5,156.402346697753,8,5,5.50028813322174,0,0.25,0.722047888173693,"HIGH LOW"
4,42,7,171.273166383363,8,5,5.49950652551348,0,0.25,0.921616252323297,"HIGH LOW"
5,45,1,152.388549804692,8,4,4.4997037400466,0,0.25,0.633465358481957,"HIGH LOW"
5,48,4,169.738173614404,8,4,4.50163920402928,0,0.25,0.909591791423921,"HIGH LOW"
5,49,5,176.19701947429,8,4,4.49836462337574,0,0.25,0.950941675042666,"HIGH LOW"
5,52,8,173.47274929506,8,4,4.50046246181911,0,0.25,0.936305357365038,"HIGH LOW"
5,54,10,178.820849989547,8,4,4.50028054221136,0,0.25,0.961978729560956,"HIGH LOW"
7,73,4,130.274324140614,8,2,2.49779950303709,0,0.25,0.154700808512846,"HIGH LOW"
7,81,12,128.064423529362,8,2,2.4997495490725,0,0.25,0.127574793480672,"HIGH LOW"
2,16,4,184.869839751602,9,8,8.49894403161759,0,0.25,0.979061705343265,"HIGH LOW"
3,25,2,201.992672045653,9,7,7.49846113499315,0,0.25,0.996254832721667,"HIGH LOW"
3,28,5,183.032344175453,9,7,7.49940552664156,0,0.25,0.974875091094634,"HIGH LOW"
4,36,1,161.431804232913,9,6,6.49991561800902,0,0.25,0.812341258308077,"HIGH LOW"
4,40,5,163.530795833385,9,6,6.50014563341526,0,0.25,0.842694009439827,"HIGH LOW"
4,42,7,180.352552979006,9,6,6.50141698905662,0,0.25,0.967275649160276,"HIGH LOW"
