"Year","season","fleet","CPUE","sd"
0,1,2,0,0.1
1,1,2,0,0.1
2,1,2,0,0.1
3,1,2,3.0139614351087e-05,0.1
4,1,2,8.1989356530573e-05,0.1
5,1,2,0.000107993097971324,0.1
6,1,2,0.000172169922804361,0.1
7,1,2,0.000217566505866515,0.1
8,1,2,0.000188197434084302,0.1
9,1,2,0.000231399612846396,0.1
10,1,2,0.00024576982207632,0.1
11,1,2,0.000236381764050434,0.1
12,1,2,0.000190755478787545,0.1
13,1,2,0.000212631934377023,0.1
14,1,2,0.000173344293941758,0.1
15,1,2,0.000178385999808542,0.1
16,1,2,0.00012017115452373,0.1
17,1,2,0.000123380488954594,0.1
18,1,2,0.000155254844258699,0.1
19,1,2,0.000149520967092735,0.1
20,1,2,0.000128078257433355,0.1
21,1,2,8.34640757995518e-05,0.1
22,1,2,0.000159134750777077,0.1
23,1,2,0.000133560615037166,0.1
24,1,2,0.000136115988512058,0.1
25,1,2,0.00010524837285312,0.1
26,1,2,0.000145034972774687,0.1
27,1,2,0.000156500578495968,0.1
28,1,2,0.000215638362076523,0.1
29,1,2,0.000190481599840225,0.1
30,1,2,0.000173597918014252,0.1
31,1,2,0.000166139911142883,0.1
32,1,2,0.000191788088925419,0.1
33,1,2,0.000139958324639908,0.1
34,1,2,0.000165790455429755,0.1
35,1,2,0.000148269520790665,0.1
36,1,2,0.000255316300527437,0.1
37,1,2,0.000142939360709783,0.1
38,1,2,0.000162919410648575,0.1
39,1,2,0.00026987800301629,0.1
40,1,2,0.000319306371503407,0.1
41,1,2,0.00010607886531883,0.1
42,1,2,7.86391328917046e-05,0.1
43,1,2,8.51914070507617e-05,0.1
44,1,2,8.59716101802474e-05,0.1
45,1,2,6.56113802729426e-05,0.1
46,1,2,5.47429585711911e-05,0.1
47,1,2,2.08696805018893e-05,0.1
48,1,2,5.28491972959238e-05,0.1
49,1,2,6.96990397781825e-05,0.1
50,1,2,0.000104541825913269,0.1
51,1,2,7.04699589532425e-05,0.1
52,1,2,5.81137916819085e-05,0.1
53,1,2,2.84693253596685e-05,0.1
54,1,2,3.96521386595212e-05,0.1
55,1,2,1.92838748235163e-05,0.1
56,1,2,1.77956109661838e-05,0.1
57,1,2,5.2390609707638e-05,0.1
58,1,2,3.07010492516265e-05,0.1
59,1,2,3.32833054139192e-05,0.1
60,1,2,2.71829266900688e-05,0.1
61,1,2,3.88757453720678e-05,0.1
62,1,2,3.57472374142693e-05,0.1
63,1,2,6.8476168416019e-05,0.1
64,1,2,4.89166386591767e-05,0.1
65,1,2,7.32696974721856e-05,0.1
66,1,2,2.7062695698968e-05,0.1
67,1,2,5.53320700523629e-05,0.1
68,1,2,7.52106803968837e-05,0.1
69,1,2,4.41993038692553e-05,0.1
70,1,2,4.7052675964376e-05,0.1
71,1,2,5.48118294671799e-05,0.1
72,1,2,3.98905496405959e-05,0.1
73,1,2,7.31365636589129e-05,0.1
74,1,2,5.67166850188184e-05,0.1
75,1,2,1.65334718933872e-05,0.1
76,1,2,3.84993919025186e-05,0.1
77,1,2,7.70357219658097e-05,0.1
78,1,2,6.71492546540762e-05,0.1
79,1,2,6.18809456948513e-05,0.1
80,1,2,2.34846776566032e-05,0.1
81,1,2,1.96477829529217e-05,0.1
82,1,2,3.13522894745393e-05,0.1
83,1,2,4.97787664541825e-05,0.1
84,1,2,2.91973015588432e-05,0.1
85,1,2,3.97810161017819e-05,0.1
86,1,2,4.14716030526787e-05,0.1
87,1,2,3.0808328382543e-05,0.1
88,1,2,4.93144988940188e-05,0.1
89,1,2,5.73632440829907e-05,0.1
90,1,2,3.63153086243295e-05,0.1
91,1,2,1.04634033428294e-05,0.1
92,1,2,2.03729280478969e-05,0.1
93,1,2,4.51035970413148e-05,0.1
94,1,2,4.18414595430367e-05,0.1
95,1,2,4.362239858674e-05,0.1
96,1,2,3.02706651673948e-05,0.1
97,1,2,3.94572004832221e-05,0.1
98,1,2,2.22327349397967e-05,0.1
99,1,2,6.26241660210849e-05,0.1
