"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
1,1,62.4445220673402,0,0,0.500051787339877,"M",0,0.25,0.000186831083518521,"HIGH MED"
1,2,211.905374456399,10,10,10.5017908569848,"M",0,0.25,0.998627841391969,"HIGH MED"
1,3,61.8174541593005,0,0,0.501197388848588,"M",0,0.25,0.000175308756136181,"HIGH MED"
1,4,142.06758075733,3,3,3.4981067860432,"M",0,0.25,0.377352623654269,"HIGH MED"
1,5,150.906817952153,4,4,4.50113816431278,"M",0,0.25,0.59788697359497,"HIGH MED"
1,6,152.236655212507,3,3,3.50067972690162,"M",0,0.25,0.629877205200439,"HIGH MED"
1,7,102.74815851416,1,1,1.49998981725404,"M",0,0.25,0.0110633249266361,"HIGH MED"
1,8,63.5782102478713,0,0,0.49986184847296,"M",0,0.25,0.000209618283226601,"HIGH MED"
1,9,61.8244408558157,0,0,0.49887112684372,"M",0,0.25,0.00017543313824038,"HIGH MED"
1,10,62.0856922749402,0,0,0.50096821458758,"M",0,0.25,0.000180148003358969,"HIGH MED"
1,11,188.550549645895,5,5,5.49935367948914,"M",0,0.25,0.985496079230428,"HIGH MED"
2,1,132.318814834892,3,2,2.50053480291374,"M",0,0.25,0.183829339651452,"HIGH MED"
2,2,121.034558112767,3,2,2.50089370689822,"M",0,0.25,0.0668363760190066,"HIGH MED"
2,3,60.4865400167161,1,0,0.501472052831954,"M",0,0.25,0.00015315339801294,"HIGH MED"
2,4,89.8963632149636,2,1,1.50030145662077,"M",0,0.25,0.00302483875859121,"HIGH MED"
2,5,62.4738482750219,1,0,0.498511784980008,"M",0,0.25,0.000187388108841132,"HIGH MED"
2,6,98.9826466392886,2,1,1.5002381587976,"M",0,0.25,0.00757486461757325,"HIGH MED"
2,7,121.184063440777,3,2,2.50200794927836,"M",0,0.25,0.0677893664975202,"HIGH MED"
2,8,100.913975705246,2,1,1.499296484596,"M",0,0.25,0.00920077982505954,"HIGH MED"
2,9,146.602254033992,3,2,2.50046358741318,"M",0,0.25,0.48990534838796,"HIGH MED"
2,10,171.068336389531,7,6,6.49918050701991,"M",0,0.25,0.920100656889668,"HIGH MED"
3,1,184.337857238111,9,7,7.50073753439383,"M",0,0.25,0.97792530704885,"HIGH MED"
3,2,60.4341609088702,2,0,0.49974290689378,"M",0,0.25,0.000152341187113669,"HIGH MED"
3,3,126.756766558734,4,2,2.49978008776687,"M",0,0.25,0.113513548574094,"HIGH MED"
3,4,144.5574219799,5,3,3.49939322905821,"M",0,0.25,0.438315642146484,"HIGH MED"
3,5,94.0428303318533,3,1,1.5009652340386,"M",0,0.25,0.00460101186509811,"HIGH MED"
3,6,234.311323097991,12,10,10.5020684840683,"M",0,0.25,0.999858762481952,"HIGH MED"
3,7,190.645908278342,12,10,10.4989738780937,"M",0,0.25,0.98824291950798,"HIGH MED"
3,8,63.840571365241,2,0,0.497594364917189,"M",0,0.25,0.000215275944333464,"HIGH MED"
3,9,158.327376931885,6,4,4.50060871191497,"M",0,0.25,0.759528364201265,"HIGH MED"
3,10,61.4076667011985,2,0,0.498966392070922,"M",0,0.25,0.000168165596800218,"HIGH MED"
3,11,196.202415682138,7,5,5.50100205138297,"M",0,0.25,0.993278089745131,"HIGH MED"
3,12,126.028137926825,4,2,2.49942126177753,"M",0,0.25,0.106279274921191,"HIGH MED"
4,1,168.69639808032,12,9,9.50093462169282,"M",0,0.25,0.900508456420233,"HIGH MED"
4,2,62.4276066716528,3,0,0.499956089968105,"M",0,0.25,0.000186510543721312,"HIGH MED"
4,3,176.154251271548,8,5,5.49967011243878,"M",0,0.25,0.950738699962918,"HIGH MED"
4,4,164.021770797687,7,4,4.50112309665772,"M",0,0.25,0.849189832148222,"HIGH MED"
4,5,178.979825763631,10,7,7.49971351905497,"M",0,0.25,0.962564721677872,"HIGH MED"
4,6,133.833589404883,5,2,2.50083398083291,"M",0,0.25,0.208033991511475,"HIGH MED"
4,7,167.957623605509,9,6,6.50115939232953,"M",0,0.25,0.893583331822744,"HIGH MED"
4,8,63.4483125395825,3,0,0.500125696291152,"M",0,0.25,0.000206872384045089,"HIGH MED"
4,9,192.277640531741,12,9,9.50142681394741,"M",0,0.25,0.990020044319397,"HIGH MED"
4,10,98.1863168506384,4,1,1.50144274913603,"M",0,0.25,0.00699063042431517,"HIGH MED"
4,11,191.391096696961,8,5,5.49934572372021,"M",0,0.25,0.989090303300904,"HIGH MED"
4,12,61.5440201971646,3,0,0.500786585734173,"M",0,0.25,0.000170509521479215,"HIGH MED"
4,13,63.8833092020171,3,0,0.500381223806726,"M",0,0.25,0.000216211912960848,"HIGH MED"
5,1,99.5824729097686,5,1,1.49934047440545,"M",0,0.25,0.00804669718755874,"HIGH MED"
5,2,97.50875855187,5,1,1.50031606760824,"M",0,0.25,0.00652891967281134,"HIGH MED"
5,3,65.6017925643578,4,0,0.501382903850449,"M",0,0.25,0.000257417554776276,"HIGH MED"
5,4,63.4320536316973,4,0,0.502025815984517,"M",0,0.25,0.000206531230155427,"HIGH MED"
5,5,59.640312183456,4,0,0.499607019270621,"M",0,0.25,0.000140545756566388,"HIGH MED"
5,6,61.1226669990063,4,0,0.500576767311632,"M",0,0.25,0.0001633699544037,"HIGH MED"
5,7,143.965382993411,7,3,3.50048569494969,"M",0,0.25,0.423575673636401,"HIGH MED"
5,8,65.0565640456754,4,0,0.499699874691898,"M",0,0.25,0.000243557975816237,"HIGH MED"
5,9,219.724699163017,15,11,11.4994892317483,"M",0,0.25,0.999379219289685,"HIGH MED"
6,1,192.566047994025,12,7,7.50017577058136,"M",0,0.25,0.990305254884918,"HIGH MED"
6,2,173.087002261656,10,5,5.4999307000318,"M",0,0.25,0.93392930193363,"HIGH MED"
6,3,204.45967477945,11,6,6.49930713192122,"M",0,0.25,0.997082241158048,"HIGH MED"
6,4,243.325240845667,15,10,10.4988539244836,"M",0,0.25,0.999943438803626,"HIGH MED"
6,5,63.0061228585591,5,0,0.501188261117999,"M",0,0.25,0.000197791730975942,"HIGH MED"
6,6,124.391571816783,7,2,2.49980265813666,"M",0,0.25,0.0914973753489252,"HIGH MED"
6,7,126.359083414139,7,2,2.50219883893827,"M",0,0.25,0.109513378683203,"HIGH MED"
6,8,99.1173582174269,6,1,1.50101371425273,"M",0,0.25,0.00767838127692962,"HIGH MED"
6,9,121.777938413639,7,2,2.49897905222859,"M",0,0.25,0.0717005526385627,"HIGH MED"
6,10,61.901146566386,5,0,0.498652863722584,"M",0,0.25,0.000176804523139964,"HIGH MED"
6,11,130.293634660847,7,2,2.50030303921089,"M",0,0.25,0.154957372415381,"HIGH MED"
7,1,100.932826181843,7,1,1.50166962343013,"M",0,0.25,0.00921824388472138,"HIGH MED"
7,2,62.6411953178728,6,0,0.499295996398004,"M",0,0.25,0.000190598638242183,"HIGH MED"
7,3,64.2534294015727,6,0,0.500541343703599,"M",0,0.25,0.000224489718736396,"HIGH MED"
7,4,224.793341760163,15,9,9.49960658418339,"M",0,0.25,0.999628853703433,"HIGH MED"
7,5,144.21323792804,9,3,3.50191210650091,"M",0,0.25,0.42973153081936,"HIGH MED"
7,6,119.004048824469,8,2,2.50111022835821,"M",0,0.25,0.0550705325316014,"HIGH MED"
7,7,96.8052944237589,7,1,1.50011434655418,"M",0,0.25,0.00608159662469101,"HIGH MED"
7,8,63.183496630408,6,0,0.499608585814205,"M",0,0.25,0.000201385342577333,"HIGH MED"
7,9,63.4844897615549,6,0,0.499752144066797,"M",0,0.25,0.000207633498502724,"HIGH MED"
7,10,168.918551585578,11,5,5.49994263934823,"M",0,0.25,0.902511118814901,"HIGH MED"
8,1,62.1394059830003,7,0,0.500261954763428,"M",0,0.25,0.000181132978490516,"HIGH MED"
8,2,167.567272148337,12,5,5.50101318985961,"M",0,0.25,0.889755302145802,"HIGH MED"
8,3,64.1411825914832,7,0,0.50050202252592,"M",0,0.25,0.000221946368235181,"HIGH MED"
8,4,207.759775403217,18,11,11.4996748542619,"M",0,0.25,0.99791122076799,"HIGH MED"
8,5,136.149252414227,10,3,3.49840500437866,"M",0,0.25,0.249421087056694,"HIGH MED"
8,6,121.571203958834,9,2,2.49817201172255,"M",0,0.25,0.070315949515731,"HIGH MED"
8,7,202.775260782493,16,9,9.50015848087775,"M",0,0.25,0.996539911052014,"HIGH MED"
8,8,129.356785599053,9,2,2.49911107981796,"M",0,0.25,0.142906367689186,"HIGH MED"
8,9,65.7683835061148,7,0,0.500006313506674,"M",0,0.25,0.00026180749366737,"HIGH MED"
8,10,184.714227510248,14,7,7.50027817859461,"M",0,0.25,0.978735350340321,"HIGH MED"
8,11,62.1358646940585,7,0,0.501829088652748,"M",0,0.25,0.000181067874631161,"HIGH MED"
