"Year","season","fleet","CPUE","sd"
0,1,2,0,0.1
1,1,2,0,0.1
2,1,2,8.97921928315746e-06,0.1
3,1,2,4.54359849477259e-05,0.1
4,1,2,0.000112137601623973,0.1
5,1,2,0.000144081161897689,0.1
6,1,2,0.00010548514233123,0.1
7,1,2,0.000118438716404769,0.1
8,1,2,0.000173180439823261,0.1
9,1,2,0.000201298682138408,0.1
10,1,2,0.000212971220652427,0.1
11,1,2,0.000139810570890553,0.1
12,1,2,0.000180408725674363,0.1
13,1,2,0.000123793608682284,0.1
14,1,2,0.000122005998584028,0.1
15,1,2,0.000141911260694937,0.1
16,1,2,0.000134109057001915,0.1
17,1,2,0.0001929224980323,0.1
18,1,2,0.000222276735313874,0.1
19,1,2,0.000252162912249325,0.1
20,1,2,0.000238249697105233,0.1
21,1,2,0.000263180837444153,0.1
22,1,2,0.000247761126132413,0.1
23,1,2,0.000252549696512256,0.1
24,1,2,0.000271493315011804,0.1
25,1,2,0.000393408552368754,0.1
26,1,2,0.000236508476690269,0.1
27,1,2,0.000235624075178416,0.1
28,1,2,0.000170871487503743,0.1
29,1,2,0.000164175912676931,0.1
30,1,2,0.000182716187695571,0.1
31,1,2,0.000162734002332347,0.1
32,1,2,0.000183622189081224,0.1
33,1,2,0.000194680473364364,0.1
34,1,2,0.000193465595125867,0.1
35,1,2,0.000149399360984142,0.1
36,1,2,0.000200116757965942,0.1
37,1,2,0.000170739483686636,0.1
38,1,2,0.000221601647795356,0.1
39,1,2,0.000213339064624448,0.1
40,1,2,0.000212765628975977,0.1
41,1,2,5.28424686405196e-05,0.1
42,1,2,6.79153581709872e-05,0.1
43,1,2,7.76794703377837e-05,0.1
44,1,2,8.30595801436584e-05,0.1
45,1,2,8.09099603737095e-05,0.1
46,1,2,5.09077018628496e-05,0.1
47,1,2,4.21122647084356e-05,0.1
48,1,2,6.60266312406585e-05,0.1
49,1,2,6.48646903772082e-05,0.1
50,1,2,3.91383121112969e-05,0.1
51,1,2,5.81487571179291e-05,0.1
52,1,2,3.92523390563373e-05,0.1
53,1,2,3.87302833460937e-05,0.1
54,1,2,2.99032473472798e-05,0.1
55,1,2,4.75936572744367e-05,0.1
56,1,2,3.69909541129243e-05,0.1
57,1,2,7.99645616216931e-05,0.1
58,1,2,3.08125316692473e-05,0.1
59,1,2,5.01403341437304e-05,0.1
60,1,2,3.0257176614878e-05,0.1
61,1,2,4.68855305141681e-05,0.1
62,1,2,5.34042729623983e-05,0.1
63,1,2,5.06858395596382e-05,0.1
64,1,2,4.5467726550737e-05,0.1
65,1,2,3.32265475620843e-05,0.1
66,1,2,2.85516561800463e-05,0.1
67,1,2,1.02515764724644e-05,0.1
68,1,2,4.39239372838029e-05,0.1
69,1,2,5.06291115355689e-05,0.1
70,1,2,6.52233788214719e-05,0.1
71,1,2,7.01250448565084e-05,0.1
72,1,2,3.98161107488674e-05,0.1
73,1,2,1.98806027456936e-05,0.1
74,1,2,5.2469145208412e-05,0.1
75,1,2,1.88468131810404e-05,0.1
76,1,2,2.66993583311962e-05,0.1
77,1,2,1.96074454955709e-05,0.1
78,1,2,1.77128387037084e-05,0.1
79,1,2,6.98740079308102e-05,0.1
80,1,2,5.41466829131048e-05,0.1
81,1,2,1.04724277184654e-05,0.1
82,1,2,8.79308554967676e-06,0.1
83,1,2,5.64152754628729e-05,0.1
84,1,2,4.15026376337812e-05,0.1
85,1,2,9.79359567096185e-06,0.1
86,1,2,3.79858592347022e-05,0.1
87,1,2,2.74542180732567e-05,0.1
88,1,2,4.11625179628653e-05,0.1
89,1,2,5.85208806343301e-05,0.1
90,1,2,3.56891261139601e-05,0.1
91,1,2,2.17686368590509e-05,0.1
92,1,2,2.88372232169859e-05,0.1
93,1,2,6.39613110693228e-05,0.1
94,1,2,7.085896698491e-05,0.1
95,1,2,5.78426609100797e-05,0.1
96,1,2,4.33256633402548e-05,0.1
97,1,2,8.30854825276247e-05,0.1
98,1,2,2.48850874148313e-05,0.1
99,1,2,7.92263696161222e-05,0.1
