"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
30,10,194.650526808276,41,12,12.4995300089636,"FISHED",0.878630092155871,0.25,0.992139950934111,"LOW HIGH"
31,3,188.977240097898,42,12,12.4990373130552,"FISHED",0.87484291613104,0.25,0.986102468440681,"LOW HIGH"
31,12,204.875918008308,40,10,10.5011650434733,"FISHED",0.927335299582684,0.25,0.997202644839242,"LOW HIGH"
32,11,193.498566347303,40,9,9.50035516491709,"FISHED",0.927335299582684,0.25,0.99117331634517,"LOW HIGH"
33,11,195.710475835794,40,8,8.4998305664687,"FISHED",0.927335299582684,0.25,0.992936250584444,"LOW HIGH"
34,10,171.504333239651,40,7,7.50143395155108,"FISHED",0.927335299582684,0.25,0.923295095008355,"LOW HIGH"
34,14,206.273760731322,41,8,8.49849754589361,"FISHED",0.878630092155871,0.25,0.99757187758793,"LOW HIGH"
35,3,193.660562687318,40,6,6.50019416966683,"FISHED",0.927335299582684,0.25,0.991316058665332,"LOW HIGH"
36,4,174.249415097312,40,5,5.49845833457873,"FISHED",0.927335299582684,0.25,0.940849487922868,"LOW HIGH"
36,10,220.348533404517,43,8,8.4978041601583,"FISHED",1.03936094783857,0.25,0.999417297582507,"LOW HIGH"
36,12,174.181313458111,40,5,5.50079504219357,"FISHED",0.927335299582684,0.25,0.940463507819853,"LOW HIGH"
36,13,208.669148061088,42,7,7.50010692641638,"FISHED",0.87484291613104,0.25,0.998095092850809,"LOW HIGH"
37,2,185.07479472264,40,4,4.49923101002943,"FISHED",0.927335299582684,0.25,0.979484073140594,"LOW HIGH"
37,8,171.015096943804,40,4,4.50013131351153,"FISHED",0.927335299582684,0.25,0.919702363662487,"LOW HIGH"
38,1,165.433230087813,41,4,4.5003286976762,"FISHED",0.878630092155871,0.25,0.866639799910874,"LOW HIGH"
38,3,154.192028920049,41,4,4.49968327213619,"FISHED",0.878630092155871,0.25,0.674854382722597,"LOW HIGH"
38,10,167.105994785426,43,6,6.49900688845028,"FISHED",1.03936094783857,0.25,0.88507671179186,"LOW HIGH"
39,7,125.854145260686,40,2,2.500845971137,"FISHED",0.927335299582684,0.25,0.104612931726205,"LOW HIGH"
39,8,180.165226833425,43,5,5.4989844716781,"FISHED",1.03936094783857,0.25,0.966668230599714,"LOW HIGH"
39,10,126.034022115637,40,2,2.49796985697755,"FISHED",0.927335299582684,0.25,0.106336035096418,"LOW HIGH"
39,12,178.557473917934,42,4,4.49908147945547,"FISHED",0.87484291613104,0.25,0.960988478312339,"LOW HIGH"
39,13,136.002199649595,41,3,3.50019900436091,"FISHED",0.878630092155871,0.25,0.246636393241746,"LOW HIGH"
40,6,167.786972525256,43,4,4.50076533630733,"FISHED",1.03936094783857,0.25,0.891924435746072,"LOW HIGH"
41,1,139.706185835152,44,4,4.49979362382129,"FISHED",1.00057901554681,0.25,0.322882070734607,"LOW HIGH"
41,4,145.615268308406,43,3,3.50051533419237,"FISHED",1.03936094783857,0.25,0.464909008960494,"LOW HIGH"
41,6,160.791248526935,44,4,4.4998291070647,"FISHED",1.00057901554681,0.25,0.802224868383735,"LOW HIGH"
41,8,126.303437534154,42,2,2.50177548275747,"FISHED",0.87484291613104,0.25,0.108963617697025,"LOW HIGH"
41,9,166.76411386501,44,4,4.49957564371795,"FISHED",1.00057901554681,0.25,0.881498480153628,"LOW HIGH"
41,10,172.454158853817,45,5,5.49923898466929,"FISHED",0.982025248560511,0.25,0.929852205830471,"LOW HIGH"
41,12,158.469494921991,45,5,5.50100780679285,"FISHED",0.982025248560511,0.25,0.762153976631482,"LOW HIGH"
42,2,160.521357090473,44,3,3.50141801205622,"FISHED",1.00057901554681,0.25,0.797841118419727,"LOW HIGH"
42,5,157.166441766836,45,4,4.49822609487866,"FISHED",0.982025248560511,0.25,0.737346646504074,"LOW HIGH"
42,6,162.103106736524,45,4,4.49925835679669,"FISHED",0.982025248560511,0.25,0.822511164941682,"LOW HIGH"
42,11,138.417859324393,43,2,2.49725579148116,"FISHED",1.03936094783857,0.25,0.294970320811678,"LOW HIGH"
42,12,158.040057961749,45,4,4.49988697666536,"FISHED",0.982025248560511,0.25,0.754159947231355,"LOW HIGH"
43,2,150.486749588914,45,3,3.49951260752835,"FISHED",0.982025248560511,0.25,0.587591588142417,"LOW HIGH"
43,4,145.810308852963,45,3,3.49892397054056,"FISHED",0.982025248560511,0.25,0.469838621189664,"LOW HIGH"
44,5,127.770541244241,45,2,2.50087152934886,"FISHED",0.982025248560511,0.25,0.124290517504729,"LOW HIGH"
44,7,176.819203082323,47,4,4.4991195500475,"FISHED",0.951255517999912,0.25,0.953806186802065,"LOW HIGH"
44,11,164.220633395582,47,4,4.49984939388302,"FISHED",0.951255517999912,0.25,0.85175743105703,"LOW HIGH"
45,5,175.261820501737,48,4,4.49909557149008,"FISHED",0.986404962857725,0.25,0.946317438344068,"LOW HIGH"
45,10,151.221554448806,48,4,4.50137179991549,"FISHED",0.986404962857725,0.25,0.605545155475272,"LOW HIGH"
46,1,150.209592706535,48,3,3.49865036178796,"FISHED",0.986404962857725,0.25,0.580755992226108,"LOW HIGH"
46,8,166.522464563455,48,3,3.50124646534918,"FISHED",0.986404962857725,0.25,0.878911471934506,"LOW HIGH"
47,7,149.527864283387,49,3,3.50086101182518,"FISHED",1.00043323488668,0.25,0.563815087359765,"LOW HIGH"
48,5,127.261899354231,49,2,2.49867622015347,"FISHED",1.00043323488668,0.25,0.118777693163526,"LOW HIGH"
52,10,178.237029616772,57,6,6.5004581341217,"FISHED",0.0534649672374542,0.25,0.959750273774171,"LOW HIGH"
53,5,154.561244992356,55,3,3.50092827146451,"FISHED",0.0596933120208574,0.25,0.683025570153525,"LOW HIGH"
54,8,206.007175339426,63,10,10.4996195584386,"FISHED",0.0600792611428769,0.25,0.99750542413622,"LOW HIGH"
55,6,156.077130242897,57,3,3.50057835367234,"FISHED",0.0534649672374542,0.25,0.715372611200087,"LOW HIGH"
56,10,186.516339247229,65,10,10.5004393445898,"FISHED",0.0533966680885091,0.25,0.982227801722467,"LOW HIGH"
60,1,154.938265139774,62,3,3.49981822823999,"FISHED",0.0420259939268482,0.25,0.691254540915262,"LOW HIGH"
64,13,154.997948026247,67,4,4.49931451851555,"FISHED",0.0421089397023969,0.25,0.692546321022498,"LOW HIGH"
66,11,227.236083373693,76,11,11.4993031568615,"FISHED",0.0496855021224931,0.25,0.999710353713768,"LOW HIGH"
72,13,218.978785298927,78,7,7.49792519027343,"FISHED",0.0557185143704591,0.25,0.99933041141901,"LOW HIGH"
74,1,180.850811051732,78,5,5.50002286916371,"FISHED",0.0557185143704591,0.25,0.968839671081728,"LOW HIGH"
75,1,186.221233405141,82,8,8.50074019812672,"FISHED",0.0478623331658205,0.25,0.981697132836976,"LOW HIGH"
76,8,193.48527666714,81,6,6.49908004419676,"FISHED",0.0500561822641517,0.25,0.991161503510815,"LOW HIGH"
76,11,151.547255402037,78,3,3.50079636504229,"FISHED",0.0557185143704591,0.25,0.613415881679264,"LOW HIGH"
79,10,239.471543482025,90,12,12.4983716981894,"FISHED",0.05029541894568,0.25,0.999916355878622,"LOW HIGH"
80,2,167.899464125678,84,5,5.500663189401,"FISHED",0.0568286045953467,0.25,0.893020499461045,"LOW HIGH"
80,8,213.113931973215,89,10,10.5009232548916,"FISHED",0.0511056135651301,0.25,0.998786102966343,"LOW HIGH"
81,4,211.903171794676,86,6,6.49975199464893,"FISHED",0.0509667920064092,0.25,0.998627534907282,"LOW HIGH"
81,9,176.812594382057,85,5,5.50001601375992,"FISHED",0.0411286697734543,0.25,0.953776613704764,"LOW HIGH"
83,12,209.532544356887,87,5,5.49959811484548,"FISHED",0.0507348616753141,0.25,0.998254692986435,"LOW HIGH"
84,1,193.877118924382,89,6,6.49985998812099,"FISHED",0.0511056135651301,0.25,0.991503308108622,"LOW HIGH"
85,11,242.33202130304,91,7,7.50035833910153,"FISHED",0.0433248280920339,0.25,0.999937437809192,"LOW HIGH"
85,13,165.683888003745,89,5,5.50026955429327,"FISHED",0.0511056135651301,0.25,0.869553830066723,"LOW HIGH"
90,3,169.262259881444,95,6,6.49907940706609,"FISHED",0.0491571618655915,0.25,0.905538735086034,"LOW HIGH"
91,9,183.549630968004,94,4,4.50153253252817,"FISHED",0.0493257056340582,0.25,0.976129944893176,"LOW HIGH"
92,4,167.653642672949,96,5,5.49959021611836,"FISHED",0.0547977685093682,0.25,0.890612564567671,"LOW HIGH"
95,3,154.407013925206,98,4,4.50187164745943,"FISHED",0.0503198137607909,0.25,0.679625599055367,"LOW HIGH"
97,2,131.693113230367,98,2,2.49877788894903,"FISHED",0.0503198137607909,0.25,0.174488461794753,"LOW HIGH"
