"Year","Age","AgeE","FSIM","Length_cm"
1,1,1.5001782039494,"LOW HIGH",9.77840515177534
8,4,4.50139495411903,"LOW HIGH",15.9304001784467
25,6,6.50009280891407,"LOW HIGH",16.6793770707877
29,5,5.49894567790336,"LOW HIGH",18.3803138286924
31,3,3.50023390490732,"LOW HIGH",14.9029738648747
19,4,4.49993785080969,"LOW HIGH",16.8637177367241
51,0,0.501466093457967,"LOW HIGH",6.47287033361535
75,0,0.500716735212566,"LOW HIGH",6.28659922289588
9,6,6.50016248745929,"LOW HIGH",17.3357051008833
30,0,0.500473500672528,"LOW HIGH",6.37518389998357
69,1,1.499960494899,"LOW HIGH",9.18705396090424
32,0,0.500618763982653,"LOW HIGH",6.04273455366032
73,1,1.49913511459544,"LOW HIGH",9.89185982739121
0,0,0.500487882758587,"LOW HIGH",6.28579271843024
63,2,2.49970859772094,"LOW HIGH",12.9675124672258
5,2,2.49962640380775,"LOW HIGH",12.0232583486943
26,4,4.49893931972857,"LOW HIGH",16.7338416627894
4,3,3.4998394578307,"LOW HIGH",12.4736611198009
78,2,2.50090833810684,"LOW HIGH",12.1938886382148
40,6,6.50002010553738,"LOW HIGH",18.0913168479352
11,1,1.50122372079822,"LOW HIGH",9.82030095651939
31,2,2.49889967565515,"LOW HIGH",13.3085431816144
96,0,0.500304427064061,"LOW HIGH",6.60378874045237
21,0,0.500379332360756,"LOW HIGH",6.68560749865277
48,0,0.500488450974344,"LOW HIGH",5.88938562293582
75,5,5.50105948681891,"LOW HIGH",16.6235271073279
35,8,8.49840937833256,"LOW HIGH",19.3393090723741
74,1,1.49890640202725,"LOW HIGH",9.74993641053489
61,9,9.50042901180674,"LOW HIGH",20.8085307695634
97,1,1.50004390999407,"LOW HIGH",10.278759813558
91,2,2.49999897336065,"LOW HIGH",12.0158558320146
69,3,3.50038014154471,"LOW HIGH",12.9487582138332
85,0,0.497896366258274,"LOW HIGH",6.15585763848961
22,3,3.50182142401957,"LOW HIGH",14.6762703151132
62,3,3.50032008232358,"LOW HIGH",15.6381229105811
33,4,4.49951173129279,"LOW HIGH",16.147067346054
96,3,3.50142212794346,"LOW HIGH",14.4767009036395
29,0,0.501036868911426,"LOW HIGH",6.23178156771038
0,0,0.500107217977835,"LOW HIGH",6.29336280454099
19,2,2.50056690232726,"LOW HIGH",12.4542157030589
95,2,2.50023485068648,"LOW HIGH",13.1830182723236
59,2,2.49890604347146,"LOW HIGH",12.6080778742475
10,3,3.5002003761034,"LOW HIGH",13.8429238218265
41,4,4.50068636449729,"LOW HIGH",14.7763765550067
7,5,5.50184317508244,"LOW HIGH",19.5935647281694
57,0,0.497448441647713,"LOW HIGH",6.19623426432802
11,3,3.49991642098308,"LOW HIGH",14.3174730600596
87,2,2.50118886471642,"LOW HIGH",12.1025857369505
32,0,0.501919026884265,"LOW HIGH",6.2663947239778
94,5,5.49847268542934,"LOW HIGH",16.1684167897342
92,3,3.50251739009419,"LOW HIGH",15.0021353498268
51,1,1.50121602286556,"LOW HIGH",9.45514993579167
40,7,7.50042583393456,"LOW HIGH",19.8858999112548
44,2,2.49978264911007,"LOW HIGH",13.0441234172493
30,1,1.5001670811619,"LOW HIGH",9.91587924665863
45,1,1.50017953867616,"LOW HIGH",9.75871689902426
37,0,0.500718700998675,"LOW HIGH",6.37358695728217
18,0,0.499781283398989,"LOW HIGH",6.44047239455784
71,1,1.50049676090401,"LOW HIGH",9.65529440660341
82,0,0.500070543762416,"LOW HIGH",6.24865365242153
16,5,5.50165511223378,"LOW HIGH",19.0737563353931
4,1,1.50037371558016,"LOW HIGH",10.3013464989404
62,6,6.49992692547921,"LOW HIGH",18.5603838653675
9,0,0.501629213762896,"LOW HIGH",6.38433071943157
14,6,6.50048807699785,"LOW HIGH",18.5332923347059
39,2,2.49956626134549,"LOW HIGH",13.0531888290303
8,4,4.5001857351342,"LOW HIGH",15.6555625863964
98,0,0.499512058745211,"LOW HIGH",6.36987033695214
78,2,2.49940276663772,"LOW HIGH",11.3918429717554
12,0,0.501575426744591,"LOW HIGH",6.707155103606
