"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
31,6,194.058739465422,40,10,10.5010049363002,"FISHED",0.906026452271845,0.25,0.991657259234694,"LOW LOW"
35,3,225.707296206275,40,6,6.49978265306077,"FISHED",0.906026452271845,0.25,0.999661733773387,"LOW LOW"
35,7,206.654879806573,40,6,6.49910274670207,"FISHED",0.906026452271845,0.25,0.997663826041956,"LOW LOW"
36,8,181.747962086054,42,7,7.50041622517425,"FISHED",0.796983381572669,0.25,0.971475238385246,"LOW LOW"
37,2,185.183016146355,43,7,7.49893056913683,"FISHED",0.802990089454026,0.25,0.979703717410138,"LOW LOW"
37,5,169.153197906543,40,4,4.49981295422858,"FISHED",0.906026452271845,0.25,0.904587278643878,"LOW LOW"
37,6,164.780365998412,40,4,4.50107831265984,"FISHED",0.906026452271845,0.25,0.858790797268185,"LOW LOW"
37,8,173.90305473385,40,4,4.5011374510569,"FISHED",0.906026452271845,0.25,0.938861784122527,"LOW LOW"
37,11,158.043127589418,40,4,4.50028476762245,"FISHED",0.906026452271845,0.25,0.754217726489514,"LOW LOW"
38,1,190.897057209659,43,6,6.49899284005506,"FISHED",0.802990089454026,0.25,0.988535538318017,"LOW LOW"
38,3,158.239321832529,41,4,4.49789869712825,"FISHED",0.916988869715263,0.25,0.757891649848409,"LOW LOW"
38,4,154.120911052525,40,3,3.50060076904404,"FISHED",0.906026452271845,0.25,0.673267963172847,"LOW LOW"
38,7,142.626480288278,40,3,3.50013363680041,"FISHED",0.906026452271845,0.25,0.390775440827855,"LOW LOW"
39,8,136.724503286861,41,3,3.49936575918076,"FISHED",0.916988869715263,0.25,0.260514602061218,"LOW LOW"
39,10,152.520282022981,41,3,3.50078585706916,"FISHED",0.916988869715263,0.25,0.63656529947363,"LOW LOW"
40,2,153.465027480482,42,3,3.49959406623078,"FISHED",0.796983381572669,0.25,0.658453398308913,"LOW LOW"
40,3,183.513706389361,44,5,5.50020087038935,"FISHED",0.758302366423827,0.25,0.976044809193747,"LOW LOW"
40,12,178.03407238839,45,6,6.50077622842593,"FISHED",0.942465481930344,0.25,0.958946657278407,"LOW LOW"
41,4,149.628808871882,43,3,3.50049318585416,"FISHED",0.802990089454026,0.25,0.566333965621876,"LOW LOW"
42,2,165.732352521191,45,4,4.4999072076289,"FISHED",0.942465481930344,0.25,0.870110972643999,"LOW LOW"
42,3,127.6471072824,43,2,2.50080413050738,"FISHED",0.802990089454026,0.25,0.122932856005267,"LOW LOW"
43,1,158.345268347125,45,3,3.49871330716064,"FISHED",0.942465481930344,0.25,0.75985999304137,"LOW LOW"
43,4,172.591687599725,49,7,7.49722663269044,"FISHED",0.900091833412624,0.25,0.930757563120137,"LOW LOW"
43,6,154.272780320472,45,3,3.50065383939504,"FISHED",0.942465481930344,0.25,0.676650844609463,"LOW LOW"
43,7,141.698846529803,45,3,3.49912934401254,"FISHED",0.942465481930344,0.25,0.368597395658288,"LOW LOW"
44,5,132.751462985879,45,2,2.49859144738485,"FISHED",0.942465481930344,0.25,0.190511831877811,"LOW LOW"
44,7,146.998880778088,46,3,3.49955187515629,"FISHED",0.842130329477717,0.25,0.499971590684311,"LOW LOW"
44,8,186.546063116496,48,5,5.49827472215365,"FISHED",0.884890216754139,0.25,0.982280407247927,"LOW LOW"
45,1,189.180562066184,50,6,6.49964465402198,"FISHED",1.67631877103041,0.25,0.986382557983266,"LOW LOW"
45,2,129.217024770194,46,2,2.49946090722167,"FISHED",0.842130329477717,0.25,0.141177078980311,"LOW LOW"
45,5,165.012996111313,48,4,4.50185977778878,"FISHED",0.884890216754139,0.25,0.861630912446932,"LOW LOW"
45,10,133.659493260117,46,2,2.49910799848252,"FISHED",0.842130329477717,0.25,0.205136729853326,"LOW LOW"
46,1,164.397146927459,49,4,4.50042342838076,"FISHED",0.900091833412624,0.25,0.854006126388681,"LOW LOW"
46,2,162.652094960876,48,3,3.49971015902394,"FISHED",0.884890216754139,0.25,0.830502735010847,"LOW LOW"
47,1,159.153799619897,49,3,3.49980344387661,"FISHED",0.900091833412624,0.25,0.774518631687673,"LOW LOW"
47,2,152.333700155313,51,5,5.50190351988959,"FISHED",1.72299706924421,0.25,0.632171347065417,"LOW LOW"
47,3,156.955546909289,50,4,4.50104000546905,"FISHED",1.67631877103041,0.25,0.733178707632216,"LOW LOW"
47,5,179.08666112636,50,4,4.49839226868199,"FISHED",1.67631877103041,0.25,0.962953634902936,"LOW LOW"
47,6,147.182254424356,49,3,3.50049530715751,"FISHED",0.900091833412624,0.25,0.50462604929801,"LOW LOW"
47,7,152.621401470414,49,3,3.49973262320943,"FISHED",0.900091833412624,0.25,0.638937199018603,"LOW LOW"
47,9,138.992104029724,48,2,2.50073937102006,"FISHED",0.884890216754139,0.25,0.307238657459103,"LOW LOW"
48,1,123.050446899202,49,2,2.49884645179724,"FISHED",0.900091833412624,0.25,0.080790469155426,"LOW LOW"
48,7,151.826247239063,50,3,3.4999115782783,"FISHED",1.67631877103041,0.25,0.620111229064019,"LOW LOW"
48,8,154.769745606083,51,4,4.50066830090274,"FISHED",1.72299706924421,0.25,0.687590955919261,"LOW LOW"
48,9,132.896812364755,49,2,2.49996858046378,"FISHED",0.900091833412624,0.25,0.19279811698843,"LOW LOW"
48,11,164.667763858747,50,3,3.49738025320198,"FISHED",1.67631877103041,0.25,0.857398660309539,"LOW LOW"
49,1,172.252541578127,53,5,5.49905769379946,"FISHED",1.55465554419788,0.25,0.928505156883631,"LOW LOW"
49,2,164.330507381044,52,4,4.50099579952187,"FISHED",1.28206276833166,0.25,0.85316051264422,"LOW LOW"
49,5,142.208903443324,51,3,3.49956188940964,"FISHED",1.72299706924421,0.25,0.380729875753452,"LOW LOW"
49,6,140.4913297581,51,3,3.49924594382096,"FISHED",1.72299706924421,0.25,0.340550769274097,"LOW LOW"
49,7,161.509126881201,54,6,6.49923171588589,"FISHED",1.69777697052462,0.25,0.813535116464185,"LOW LOW"
49,9,125.995472845461,50,2,2.49872256561765,"FISHED",1.67631877103041,0.25,0.105964665598649,"LOW LOW"
50,6,147.458360805164,52,3,3.50092256028717,"FISHED",1.28206276833166,0.25,0.511632516273241,"LOW LOW"
50,7,176.532698297118,54,5,5.49863894416337,"FISHED",1.69777697052462,0.25,0.952507451469592,"LOW LOW"
51,6,156.136470579377,54,4,4.49875576826755,"FISHED",1.69777697052462,0.25,0.716597788861204,"LOW LOW"
51,9,125.909101368547,52,2,2.50121797178485,"FISHED",1.28206276833166,0.25,0.105136742930989,"LOW LOW"
51,11,141.501523992544,53,3,3.49855720774665,"FISHED",1.55465554419788,0.25,0.363947067801879,"LOW LOW"
52,4,144.867428797322,54,3,3.50037994940991,"FISHED",1.69777697052462,0.25,0.446079243187783,"LOW LOW"
52,5,133.578662399354,53,2,2.50071764684096,"FISHED",1.55465554419788,0.25,0.203801778322483,"LOW LOW"
52,8,147.255248548506,54,3,3.49903972132394,"FISHED",1.69777697052462,0.25,0.506478635461054,"LOW LOW"
52,9,153.329435448041,54,3,3.50135961720556,"FISHED",1.69777697052462,0.25,0.655350587579825,"LOW LOW"
52,10,161.183314049912,54,3,3.4994689553339,"FISHED",1.69777697052462,0.25,0.808464811596605,"LOW LOW"
52,11,135.742699965109,54,3,3.50047881767214,"FISHED",1.69777697052462,0.25,0.241773567303337,"LOW LOW"
53,2,140.57635351931,55,3,3.49969846683695,"FISHED",1.66513803430817,0.25,0.34249211824676,"LOW LOW"
53,5,146.798546559961,55,3,3.50041397363414,"FISHED",1.66513803430817,0.25,0.49488666653437,"LOW LOW"
53,8,151.326628040342,55,3,3.4990303939124,"FISHED",1.66513803430817,0.25,0.608090514879184,"LOW LOW"
53,11,140.757440020662,55,3,3.49956088199628,"FISHED",1.66513803430817,0.25,0.346644425086991,"LOW LOW"
53,12,156.764126790212,55,3,3.5003514514767,"FISHED",1.66513803430817,0.25,0.729359428559691,"LOW LOW"
54,1,123.14857196218,55,2,2.49825235529383,"FISHED",1.66513803430817,0.25,0.0815334424315245,"LOW LOW"
