"Year","season","fleet","CPUE","sd"
0,1,2,0,0.1
1,1,2,0,0.1
2,1,2,1.06501275407898e-05,0.1
3,1,2,5.99323931425238e-05,0.1
4,1,2,7.20680871585373e-05,0.1
5,1,2,0.00010239947162001,0.1
6,1,2,0.000124161175600208,0.1
7,1,2,0.000129192768635709,0.1
8,1,2,0.00016035744291291,0.1
9,1,2,0.00016073197921574,0.1
10,1,2,0.000173775073612804,0.1
11,1,2,0.000199615252951757,0.1
12,1,2,0.000215212688077733,0.1
13,1,2,0.000263110263261005,0.1
14,1,2,0.000263392304509456,0.1
15,1,2,0.000223424399300736,0.1
16,1,2,0.000240815150608991,0.1
17,1,2,0.000244420242627838,0.1
18,1,2,0.000293879940888463,0.1
19,1,2,0.000184690733573785,0.1
20,1,2,0.000133356872014153,0.1
21,1,2,0.000172150998283109,0.1
22,1,2,0.000197292547843445,0.1
23,1,2,0.000169451126222554,0.1
24,1,2,0.000165091034137446,0.1
25,1,2,0.000220861765005454,0.1
26,1,2,0.000149476799166378,0.1
27,1,2,0.000231652974971089,0.1
28,1,2,0.000223926976661789,0.1
29,1,2,0.000281600783038223,0.1
30,1,2,0.000197045775458189,0.1
31,1,2,0.000256803828045159,0.1
32,1,2,0.000216247184313212,0.1
33,1,2,0.000171970976893253,0.1
34,1,2,0.000156021948682243,0.1
35,1,2,0.00017864535051078,0.1
36,1,2,0.000169009061713825,0.1
37,1,2,0.000154068212592212,0.1
38,1,2,0.000174859213081167,0.1
39,1,2,0.000199687904640082,0.1
40,1,2,0.000186541539757208,0.1
41,1,2,0.000139562621598256,0.1
42,1,2,0,0.1
43,1,2,5.37174859603124e-05,0.1
44,1,2,4.18863016466143e-05,0.1
45,1,2,9.94372421978543e-05,0.1
46,1,2,4.85122797227183e-05,0.1
47,1,2,4.61174762660813e-05,0.1
48,1,2,4.0178803507746e-05,0.1
49,1,2,2.62391041467215e-05,0.1
50,1,2,2.18919999856658e-05,0.1
51,1,2,6.4420514500067e-05,0.1
52,1,2,0.000108069063925975,0.1
53,1,2,0.000161251764802141,0.1
54,1,2,0.000147781518669477,0.1
55,1,2,0.00014206151404717,0.1
56,1,2,0.000112372676926922,0.1
57,1,2,0.000191534979663029,0.1
58,1,2,0.000198847426105576,0.1
59,1,2,0.000208904162992246,0.1
60,1,2,0.000211040270693558,0.1
61,1,2,0.000198314103824,0.1
62,1,2,0.000160787752407193,0.1
63,1,2,0.000142185501810925,0.1
64,1,2,0.000106711350399461,0.1
65,1,2,0.000154953271095589,0.1
66,1,2,0.000179850463198307,0.1
67,1,2,0.000163800418561459,0.1
68,1,2,0.000127955301875495,0.1
69,1,2,0.000128761160265986,0.1
70,1,2,0.00017720206578036,0.1
71,1,2,0.00014714272898307,0.1
72,1,2,0.000194161067685793,0.1
73,1,2,0.000201798175362731,0.1
74,1,2,0.000107938098852181,0.1
75,1,2,0.000115373639802725,0.1
76,1,2,0.000124174335153024,0.1
77,1,2,0.000163124316997492,0.1
78,1,2,0.000144848296566675,0.1
79,1,2,0.000130737576465328,0.1
80,1,2,0.000111464611939939,0.1
81,1,2,0.000121519964333458,0.1
82,1,2,0.000138547858702992,0.1
83,1,2,0.000101790863925476,0.1
84,1,2,0.000158907053525539,0.1
85,1,2,0.000163085159756298,0.1
86,1,2,0.00017392837224529,0.1
87,1,2,0.000182234807791576,0.1
88,1,2,0.000133010350518908,0.1
89,1,2,0.000140721771222895,0.1
90,1,2,0.000125843975720342,0.1
91,1,2,0.000186345214079211,0.1
92,1,2,0.000155156297538712,0.1
93,1,2,0.000139456497718051,0.1
94,1,2,0.000137642451202511,0.1
95,1,2,0.000145024812352351,0.1
96,1,2,0.000166487211524834,0.1
97,1,2,0.000145982752992295,0.1
98,1,2,9.95069119642003e-05,0.1
99,1,2,5.77372615168801e-05,0.1
