"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
27,3,207.979624958682,40,14,14.498826208014,"FISHED",1.44647764854188,0.25,0.997957235459307,"MED HIGH"
29,6,191.335784320514,41,13,13.500964931866,"FISHED",1.35574559573998,0.25,0.989029536148448,"MED HIGH"
30,4,204.504314967119,41,12,12.5010651220064,"FISHED",1.35574559573998,0.25,0.997095397430112,"MED HIGH"
31,2,189.105660951924,40,10,10.4990248367618,"FISHED",1.44647764854188,0.25,0.986280030324431,"MED HIGH"
32,4,200.614264143384,40,9,9.49975363743638,"FISHED",1.44647764854188,0.25,0.995694656713349,"MED HIGH"
32,11,181.471570435368,40,9,9.50070571008482,"FISHED",1.44647764854188,0.25,0.97068721555065,"MED HIGH"
35,8,205.430294758693,41,7,7.50085319429764,"FISHED",1.35574559573998,0.25,0.997355345817661,"MED HIGH"
36,1,169.106081386331,40,5,5.50116930575412,"FISHED",1.44647764854188,0.25,0.904173588586711,"MED HIGH"
36,5,188.845812973628,40,5,5.49877747201042,"FISHED",1.44647764854188,0.25,0.985918404351116,"MED HIGH"
36,8,168.930569751702,40,5,5.49946122841115,"FISHED",1.44647764854188,0.25,0.902618428050756,"MED HIGH"
37,3,171.778100888087,40,4,4.50031303864825,"FISHED",1.44647764854188,0.25,0.925240646014466,"MED HIGH"
37,5,160.289579254448,40,4,4.5026852670079,"FISHED",1.44647764854188,0.25,0.794018858246201,"MED HIGH"
37,7,165.529331787363,40,4,4.49998185791259,"FISHED",1.44647764854188,0.25,0.867763488998467,"MED HIGH"
38,10,153.306691079722,40,3,3.49998393106204,"FISHED",1.44647764854188,0.25,0.654828810120753,"MED HIGH"
39,1,180.591173832381,42,4,4.50252921681526,"FISHED",1.3354256804381,0.25,0.968033919737427,"MED HIGH"
39,2,131.780833428787,40,2,2.49996968790798,"FISHED",1.44647764854188,0.25,0.175775087019735,"MED HIGH"
40,2,158.898177381956,43,4,4.49886392414543,"FISHED",1.50579714880236,0.25,0.769953781537924,"MED HIGH"
40,10,157.086283346378,42,3,3.49956136096622,"FISHED",1.3354256804381,0.25,0.735767415355771,"MED HIGH"
40,12,155.838167157465,43,4,4.50020739680447,"FISHED",1.50579714880236,0.25,0.710406707372434,"MED HIGH"
