"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
1,6,6,129.79471649447,2,2,2.50056058491993,0,0.25,0.148439464881779,"MED LOW"
1,8,8,148.881819178911,3,3,3.49997364653114,0,0.25,0.547621609307846,"MED LOW"
2,20,5,122.816584205937,3,2,2.4996126010721,0,0.25,0.0790445731586418,"MED LOW"
3,35,7,107.2537712002,3,1,1.49848381353376,0,0.25,0.0173692988514896,"MED LOW"
1,2,2,167.875643152816,4,4,4.49873635502329,0,0.25,0.892789219046962,"MED LOW"
1,4,4,154.734835464775,4,4,4.50037233643592,0,0.25,0.686829055290239,"MED LOW"
1,6,6,170.49324209642,4,4,4.50145842168388,0,0.25,0.915701375252414,"MED LOW"
1,7,7,183.070922518264,4,4,4.49838439249984,0,0.25,0.974970853264795,"MED LOW"
1,8,8,165.760193128355,4,4,4.50145559585721,0,0.25,0.870430108765131,"MED LOW"
1,11,11,163.804486274451,4,4,4.49982663040576,0,0.25,0.846342687016122,"MED LOW"
1,12,12,154.507770649984,4,4,4.49953924304093,0,0.25,0.681848934737725,"MED LOW"
2,17,2,143.385757350899,4,3,3.50043040258129,0,0.25,0.409275155064234,"MED LOW"
3,34,6,124.21688744663,4,2,2.49942300050682,0,0.25,0.0900336927820597,"MED LOW"
1,6,6,184.526325022834,5,5,5.4995368302714,0,0.25,0.978334638556586,"MED LOW"
1,7,7,199.737802128503,5,5,5.49991975116259,0,0.25,0.995295847939981,"MED LOW"
1,8,8,178.856080422385,5,5,5.4987675051863,0,0.25,0.962109345773489,"MED LOW"
1,9,9,160.363837440679,5,5,5.50017893435635,0,0.25,0.795249250108966,"MED LOW"
1,11,11,176.521878937333,5,5,5.49850778976347,0,0.25,0.952457733215174,"MED LOW"
1,12,12,165.496966681315,5,5,5.50112832999073,0,0.25,0.867385952341814,"MED LOW"
2,17,2,158.818705596905,5,4,4.50075362593206,0,0.25,0.768521455278642,"MED LOW"
2,20,5,158.223766364148,5,4,4.50024353106419,0,0.25,0.757601727708522,"MED LOW"
2,25,10,152.635437683381,5,4,4.50216233740865,0,0.25,0.639265906336815,"MED LOW"
2,28,13,152.028550059805,5,4,4.50035306239611,0,0.25,0.624937894351437,"MED LOW"
3,33,5,156.179238301107,5,3,3.50045106185037,0,0.25,0.717478818290572,"MED LOW"
