"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
1,1,1,62.3017413249645,0,0,0.500346733153863,0,0.25,0.000184142650645378,"MED LOW"
1,1,1,97.5554066757778,1,1,1.49917501090317,0,0.25,0.00655971258158339,"MED LOW"
1,1,1,124.623534378148,2,2,2.50074973156225,0,0.25,0.0934740516639852,"MED LOW"
1,1,1,145.406721885627,3,3,3.49725438931467,0,0.25,0.459645636290173,"MED LOW"
1,2,2,65.1066242201746,0,0,0.499520352294136,0,0.25,0.000244798762476891,"MED LOW"
1,2,2,104.198018596456,1,1,1.50132960570431,0,0.25,0.0127954581197265,"MED LOW"
1,2,2,135.564087591164,2,2,2.49961349728368,0,0.25,0.238464672380708,"MED LOW"
1,2,2,160.731526611394,3,3,3.5006953224437,0,0.25,0.801261036299878,"MED LOW"
1,2,2,180.925322236336,4,4,4.49951996491876,0,0.25,0.969067254298954,"MED LOW"
1,2,2,197.128376564356,5,5,5.49923158018557,0,0.25,0.993877559984269,"MED LOW"
1,2,2,210.129348468445,6,6,6.5001429890601,0,0.25,0.998357140764965,"MED LOW"
1,2,2,220.561040359931,7,7,7.49953571079862,0,0.25,0.999429728408159,"MED LOW"
1,3,3,61.252344677661,0,0,0.499478570537383,0,0.25,0.000165534826694034,"MED LOW"
1,4,4,64.4957732619583,0,0,0.499609916629845,0,0.25,0.00023008068832401,"MED LOW"
1,5,5,64.8828898002199,0,0,0.500289042804087,0,0.25,0.000239301845222332,"MED LOW"
1,5,5,103.661046661666,1,1,1.50005447872409,0,0.25,0.0121247570478591,"MED LOW"
1,5,5,134.668857176387,2,2,2.49931948226084,0,0.25,0.222352346904674,"MED LOW"
1,5,5,159.46333919244,3,3,3.49968735114306,0,0.25,0.779959860144278,"MED LOW"
1,5,5,179.289516153645,4,4,4.49853944385661,0,0.25,0.963681422516559,"MED LOW"
1,5,5,195.142934371559,5,5,5.50109525101217,0,0.25,0.992520388027525,"MED LOW"
1,5,5,207.819653119902,6,6,6.49937754184556,0,0.25,0.997923854749965,"MED LOW"
1,5,5,217.956217740585,7,7,7.50039677560049,0,0.25,0.999257209582821,"MED LOW"
1,5,5,226.06162296011,8,8,8.49858875322259,0,0.25,0.999673682917895,"MED LOW"
1,5,5,232.54287141372,9,9,9.50068761678348,0,0.25,0.999830987897403,"MED LOW"
1,5,5,237.725410766129,10,10,10.5008862461016,0,0.25,0.99990013253752,"MED LOW"
1,5,5,241.869475652935,11,11,11.4997305831137,0,0.25,0.999934429790666,"MED LOW"
1,5,5,245.183155032539,12,12,12.4994904843667,0,0.25,0.999953162018197,"MED LOW"
1,5,5,247.832841109069,13,13,13.5008221390542,0,0.25,0.999964209712094,"MED LOW"
1,6,6,63.0086186279434,0,0,0.502285740563797,0,0.25,0.00019784184811151,"MED LOW"
1,6,6,99.2111787648952,1,1,1.49936616890414,0,0.25,0.00775130400073768,"MED LOW"
1,7,7,63.7003519539074,0,0,0.499606153548712,0,0.25,0.000212233461019721,"MED LOW"
1,7,7,100.843401075503,1,1,1.49903453973354,0,0.25,0.00913568642886677,"MED LOW"
1,7,7,130.002435484941,2,2,2.49906844813911,0,0.25,0.151125189737363,"MED LOW"
1,8,8,59.8336463261796,0,0,0.502740256551151,0,0.25,0.000143331480690497,"MED LOW"
1,8,8,91.8707743384585,1,1,1.4992737878601,0,0.25,0.00369379076373484,"MED LOW"
1,8,8,115.494739876038,2,2,2.49989089068592,0,0.25,0.0392107552618882,"MED LOW"
1,9,9,62.9823801130124,0,0,0.500664783358308,0,0.25,0.000197315591087473,"MED LOW"
1,10,10,61.0835275502923,0,0,0.501280525413574,0,0.25,0.00016272212875705,"MED LOW"
1,10,10,94.7307945964928,1,1,1.50131276952035,0,0.25,0.00493224411133412,"MED LOW"
1,11,11,62.999654986738,0,0,0.497838892406899,0,0.25,0.000197661909766181,"MED LOW"
1,12,12,62.217174186537,0,0,0.500790458379123,0,0.25,0.000182568602063496,"MED LOW"
2,13,1,62.5721461949677,1,0,0.501374653950634,0,0.25,0.000189267329311786,"MED LOW"
2,13,1,98.1873418853351,2,1,1.50091252030214,0,0.25,0.00699135291973685,"MED LOW"
2,14,2,61.4266658812228,1,0,0.497679648933979,0,0.25,0.000168490251984249,"MED LOW"
2,15,3,62.2529658494277,1,0,0.499174750946262,0,0.25,0.000183233143854071,"MED LOW"
2,15,3,97.4416104277899,2,1,1.50194915007455,0,0.25,0.00648484646510822,"MED LOW"
2,15,3,124.438662200644,3,2,2.50118844246386,0,0.25,0.0918955923970753,"MED LOW"
2,16,4,62.925229271008,1,0,0.498389504675839,0,0.25,0.000196174175055241,"MED LOW"
2,16,4,99.0152088210582,2,1,1.50008630901322,0,0.25,0.00759975880213003,"MED LOW"
2,17,5,64.5124565345537,1,0,0.499825951681845,0,0.25,0.000230470660612205,"MED LOW"
2,18,6,64.0828555790862,1,0,0.499527168443139,0,0.25,0.000220636157435798,"MED LOW"
2,18,6,101.751025199156,2,1,1.50026210287964,0,0.25,0.0100087535068863,"MED LOW"
2,18,6,131.499871453325,3,2,2.50061971228146,0,0.25,0.171680334816604,"MED LOW"
2,18,6,154.994346029085,4,3,3.50018977263289,0,0.25,0.692468444414735,"MED LOW"
2,18,6,173.549362612752,5,4,4.49979990914564,0,0.25,0.936767691121345,"MED LOW"
2,18,6,188.203388575748,6,5,5.50025103573441,0,0.25,0.984983540748079,"MED LOW"
2,19,7,63.4669128441132,1,0,0.498262694534126,0,0.25,0.000207263357494765,"MED LOW"
2,19,7,100.291256858044,2,1,1.50075264840383,0,0.25,0.00864193052451182,"MED LOW"
2,19,7,129.094152229659,3,2,2.50037662965229,0,0.25,0.139671228595463,"MED LOW"
2,19,7,151.622911505706,4,3,3.50068370371727,0,0.25,0.615235864236236,"MED LOW"
2,19,7,169.24423005614,5,4,4.49947652605499,0,0.25,0.905382031375573,"MED LOW"
2,19,7,183.027095932204,6,5,5.5002055106081,0,0.25,0.974862035944044,"MED LOW"
2,19,7,193.807639466099,7,6,6.49923600814773,0,0.25,0.991443671677387,"MED LOW"
2,19,7,202.239856679212,8,7,7.50049198937521,0,0.25,0.996347317360766,"MED LOW"
2,19,7,208.835283607881,9,8,8.4986891832364,0,0.25,0.998126895915684,"MED LOW"
2,19,7,213.994028368839,10,9,9.50009035732651,0,0.25,0.998889754274962,"MED LOW"
2,19,7,218.029043508349,11,10,10.4998721657637,0,0.25,0.999262677613674,"MED LOW"
2,20,8,61.0649602428084,1,0,0.498737673880779,0,0.25,0.000162415706528144,"MED LOW"
2,21,9,60.1312824362373,1,0,0.50072900507849,0,0.25,0.000147728377321869,"MED LOW"
2,21,9,92.5483423809035,2,1,1.50021376559347,0,0.25,0.0039558096983156,"MED LOW"
2,21,9,116.571375730095,3,2,2.50072673955161,0,0.25,0.0435428449612357,"MED LOW"
2,21,9,134.373919584518,4,3,3.50017607192845,0,0.25,0.217217456986838,"MED LOW"
2,21,9,147.56669849307,5,4,4.49833666657844,0,0.25,0.514380594279461,"MED LOW"
2,21,9,157.343358320631,6,5,5.49912620063139,0,0.25,0.740810571086658,"MED LOW"
