"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
1,1,1,58.1506320032187,0,0,0.500870855804311,0,0.25,0.000120820027404709,"MED MED"
1,1,1,88.080477204556,1,1,1.49973397994837,0,0.25,0.00251681947694912,"MED MED"
1,1,1,109.529754492711,2,2,2.50056408471231,0,0.25,0.0217863781855152,"MED MED"
1,1,1,124.901417563111,3,3,3.49910444803505,0,0.25,0.0958924010402914,"MED MED"
1,1,1,135.917547494928,4,4,4.50100373667288,0,0.25,0.245042875157402,"MED MED"
1,1,1,143.812276784719,5,5,5.49706526229818,0,0.25,0.419784739072969,"MED MED"
1,1,1,149.47004870143,6,6,6.4972742801869,0,0.25,0.562370917535599,"MED MED"
1,1,1,153.524701101345,7,7,7.50028562432282,0,0.25,0.659814667127429,"MED MED"
1,1,1,156.430475021918,8,8,8.49971633908429,0,0.25,0.72262069578698,"MED MED"
1,1,1,158.512903118014,9,9,9.50180436516942,0,0.25,0.762951994684004,"MED MED"
1,1,1,160.005278951078,10,10,10.5002631356198,0,0.25,0.789257713755633,"MED MED"
1,2,2,62.2624408546741,0,0,0.497888373198684,0,0.25,0.000183409470240945,"MED MED"
1,2,2,97.4637116210132,1,1,1.49933312946754,0,0.25,0.0064993200300967,"MED MED"
1,2,2,124.474560792094,2,2,2.50061971950256,0,0.25,0.0922002124163715,"MED MED"
1,3,3,62.6769905780179,0,0,0.500118628290411,0,0.25,0.000191292473277617,"MED MED"
1,3,3,98.4328476944695,1,1,1.49936861713107,0,0.25,0.00716655045272798,"MED MED"
1,3,3,126.051919726064,2,2,2.49962826249557,0,0.25,0.106508843552175,"MED MED"
1,3,3,147.385854958046,3,3,3.49899183502743,0,0.25,0.509792940419574,"MED MED"
1,4,4,61.3670611411307,0,0,0.501006912648894,0,0.25,0.0001674738302841,"MED MED"
1,4,4,95.3849438837335,1,1,1.50034425564954,0,0.25,0.00526916949898948,"MED MED"
1,4,4,121.112371153619,2,2,2.49968907999555,0,0.25,0.0673308166813721,"MED MED"
1,5,5,61.4000341142317,0,0,0.500861751181942,0,0.25,0.000168035348452285,"MED MED"
1,5,5,95.46114548549,1,1,1.49966571497633,0,0.25,0.0053098774995195,"MED MED"
1,5,5,121.235107291476,2,2,2.49958634575006,0,0.25,0.068117610307094,"MED MED"
1,5,5,140.738202769945,3,3,3.50026117851804,0,0.25,0.346202192051372,"MED MED"
1,5,5,155.496148642043,4,4,4.50133069145501,0,0.25,0.7032107161784,"MED MED"
1,5,5,166.663451114834,5,5,5.50021891153143,0,0.25,0.880426685171499,"MED MED"
1,5,5,175.11372228398,6,6,6.49981296984421,0,0.25,0.945548412955826,"MED MED"
1,6,6,61.0699515399876,0,0,0.500148408715696,0,0.25,0.000162498022760978,"MED MED"
1,6,6,94.6995226649338,1,1,1.49943281183523,0,0.25,0.00491668538686895,"MED MED"
