"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,7,7,134.57761703942,2,2,2.49934821178795,0,0.25,0.220754642735642,"HIGH HIGH","R1"
1,1,1,153.245193143432,3,3,3.49964777148733,0,0.25,0.653416122731164,"HIGH HIGH","R1"
1,2,2,152.732461317962,3,3,3.50030046482001,0,0.25,0.641534474953265,"HIGH HIGH","R1"
1,7,7,159.33422877472,3,3,3.50064882273721,0,0.25,0.777701825785407,"HIGH HIGH","R1"
2,13,1,136.272299820858,3,2,2.50041263933639,0,0.25,0.251767273934991,"HIGH HIGH","R1"
2,15,3,134.764313378134,3,2,2.49709368577784,0,0.25,0.224032698322909,"HIGH HIGH","R1"
1,2,2,170.658647743468,4,4,4.50090379799463,0,0.25,0.916988728422031,"HIGH HIGH","R1"
1,7,7,179.123149825308,4,4,4.49895635528412,0,0.25,0.963085572686165,"HIGH HIGH","R1"
2,13,1,161.736556253824,4,3,3.49940158334676,0,0.25,0.817012658261178,"HIGH HIGH","R1"
2,15,3,159.598443496781,4,3,3.50036232553634,0,0.25,0.782305041774566,"HIGH HIGH","R1"
2,17,5,154.648071111509,4,3,3.49972295291485,0,0.25,0.684931088648155,"HIGH HIGH","R1"
2,19,7,136.569979446772,4,3,3.50210644252789,0,0.25,0.257503509384738,"HIGH HIGH","R1"
2,20,8,149.302874264811,4,3,3.49914163531739,0,0.25,0.558189215988247,"HIGH HIGH","R1"
4,37,2,100.043159366971,4,1,1.5004319643177,0,0.25,0.00842877176762282,"HIGH HIGH","R1"
1,10,10,174.334662421329,5,5,5.50099419784848,0,0.25,0.94132933989807,"HIGH HIGH","R1"
2,13,1,182.223838295234,5,4,4.49963847910769,0,0.25,0.972784080940097,"HIGH HIGH","R1"
2,15,3,179.463639681453,5,4,4.50081530032114,0,0.25,0.964295138588556,"HIGH HIGH","R1"
2,17,5,173.106182787849,5,4,4.50110430354623,0,0.25,0.934049368195781,"HIGH HIGH","R1"
2,18,6,160.850315858365,5,4,4.50077501163182,0,0.25,0.803174667936883,"HIGH HIGH","R1"
2,20,8,166.294422030544,5,4,4.50115667731345,0,0.25,0.876425616077397,"HIGH HIGH","R1"
3,24,1,156.891434028832,5,3,3.49947667097992,0,0.25,0.731903331306872,"HIGH HIGH","R1"
3,31,8,147.455754979148,5,3,3.50111657645346,0,0.25,0.511566407942941,"HIGH HIGH","R1"
3,32,9,143.105822633966,5,3,3.50083819552195,0,0.25,0.402421624691703,"HIGH HIGH","R1"
3,33,10,144.469889770938,5,3,3.50047642243252,0,0.25,0.436128833051671,"HIGH HIGH","R1"
3,35,12,145.421085875686,5,3,3.50034853248885,0,0.25,0.460007885080788,"HIGH HIGH","R1"
1,10,10,183.843797952395,6,6,6.50019913221375,0,0.25,0.976816057190667,"HIGH HIGH","R1"
2,13,1,198.706892750376,6,5,5.50059934488728,0,0.25,0.994779478649132,"HIGH HIGH","R1"
2,15,3,195.354110479913,6,5,5.50092993101659,0,0.25,0.992677891154008,"HIGH HIGH","R1"
2,17,5,187.66939993011,6,5,5.49941520001085,0,0.25,0.984160168544314,"HIGH HIGH","R1"
2,18,6,173.00577091011,6,5,5.50029719617278,0,0.25,0.933418555030509,"HIGH HIGH","R1"
