"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,63.7646570352565,0,0,0.499984149902794,0,0.25,0.000213623379917095,"HIGH HIGH","R1"
1,1,1,100.99573528225,1,1,1.50163532472776,0,0.25,0.00927676415230304,"HIGH HIGH","R1"
1,1,1,130.25338229516,2,2,2.49996941292626,0,0.25,0.15442296283726,"HIGH HIGH","R1"
1,1,1,153.245193143432,3,3,3.49964777148733,0,0.25,0.653416122731164,"HIGH HIGH","R1"
1,2,2,63.670828688588,0,0,0.499020140154022,0,0.25,0.000211598363890309,"HIGH HIGH","R1"
1,2,2,100.773496679297,1,1,1.50079472687547,0,0.25,0.00907166104681025,"HIGH HIGH","R1"
1,2,2,129.887330334299,2,2,2.49930243204039,0,0.25,0.149632024855811,"HIGH HIGH","R1"
1,2,2,152.732461317962,3,3,3.50030046482001,0,0.25,0.641534474953265,"HIGH HIGH","R1"
1,2,2,170.658647743468,4,4,4.50090379799463,0,0.25,0.916988728422031,"HIGH HIGH","R1"
1,3,3,61.4267857175689,0,0,0.498830955918447,0,0.25,0.000168492301717563,"HIGH HIGH","R1"
1,3,3,95.5229889920428,1,1,1.49782844362919,0,0.25,0.00534314503704195,"HIGH HIGH","R1"
1,4,4,60.4974732732805,0,0,0.501135601668257,0,0.25,0.000153323478784508,"HIGH HIGH","R1"
1,5,5,61.1495521418415,0,0,0.499286162021117,0,0.25,0.000163816443472215,"HIGH HIGH","R1"
1,6,6,59.6416931201254,0,0,0.499793538441265,0,0.25,0.000140565461068042,"HIGH HIGH","R1"
1,7,7,64.8600316806062,0,0,0.499786541081727,0,0.25,0.000238747240525086,"HIGH HIGH","R1"
1,7,7,103.606255688002,1,1,1.49999015184803,0,0.25,0.0120583046745763,"HIGH HIGH","R1"
1,7,7,134.57761703942,2,2,2.49934821178795,0,0.25,0.220754642735642,"HIGH HIGH","R1"
1,7,7,159.33422877472,3,3,3.50064882273721,0,0.25,0.777701825785407,"HIGH HIGH","R1"
1,7,7,179.123149825308,4,4,4.49895635528412,0,0.25,0.963085572686165,"HIGH HIGH","R1"
1,8,8,63.5405209424156,0,0,0.501541196650462,0,0.25,0.000208817840122312,"HIGH HIGH","R1"
1,9,9,61.2152440700932,0,0,0.499919371077799,0,0.25,0.000164912547019,"HIGH HIGH","R1"
1,10,10,62.3928170257095,0,0,0.503281797983593,0,0.25,0.000185853021496356,"HIGH HIGH","R1"
1,10,10,97.768048978105,1,1,1.49739553509426,0,0.25,0.00670191772187305,"HIGH HIGH","R1"
1,10,10,124.969222718634,2,2,2.50001980925829,0,0.25,0.0964909225742575,"HIGH HIGH","R1"
1,10,10,145.88509554904,3,3,3.50089245456744,0,0.25,0.471730455493908,"HIGH HIGH","R1"
1,10,10,161.967994780918,4,4,4.50069898125755,0,0.25,0.820499618582929,"HIGH HIGH","R1"
1,10,10,174.334662421329,5,5,5.50099419784848,0,0.25,0.94132933989807,"HIGH HIGH","R1"
1,10,10,183.843797952395,6,6,6.50019913221375,0,0.25,0.976816057190667,"HIGH HIGH","R1"
1,10,10,191.155683512631,7,7,7.50218567688794,0,0.25,0.988829345688322,"HIGH HIGH","R1"
1,11,11,62.2906378625284,0,0,0.500002128168035,0,0.25,0.000183935210547466,"HIGH HIGH","R1"
1,11,11,97.5294964454843,1,1,1.49977514205904,0,0.25,0.00654259120154067,"HIGH HIGH","R1"
1,12,12,65.9531770933785,0,0,0.50045198812916,0,0.25,0.000266764714455971,"HIGH HIGH","R1"
1,12,12,106.240947054923,1,1,1.49971361238894,0,0.25,0.0156985539509843,"HIGH HIGH","R1"
1,12,12,138.987282302627,2,2,2.49912526227371,0,0.25,0.307134467540141,"HIGH HIGH","R1"
2,13,1,65.282923283561,1,0,0.501197024866082,0,0.25,0.000249219027236798,"HIGH HIGH","R1"
2,13,1,104.62201285877,2,1,1.49971023251374,0,0.25,0.0133508054436671,"HIGH HIGH","R1"
2,13,1,136.272299820858,3,2,2.50041263933639,0,0.25,0.251767273934991,"HIGH HIGH","R1"
2,13,1,161.736556253824,4,3,3.49940158334676,0,0.25,0.817012658261178,"HIGH HIGH","R1"
2,13,1,182.223838295234,5,4,4.49963847910769,0,0.25,0.972784080940097,"HIGH HIGH","R1"
2,13,1,198.706892750376,6,5,5.50059934488728,0,0.25,0.994779478649132,"HIGH HIGH","R1"
2,14,2,62.9085389967644,1,0,0.499026423212333,0,0.25,0.000195842084227739,"HIGH HIGH","R1"
2,15,3,64.9067931251714,1,0,0.50013182078658,0,0.25,0.000239883187416582,"HIGH HIGH","R1"
2,15,3,103.718356770578,2,1,1.50075444783539,0,0.25,0.0121946517677153,"HIGH HIGH","R1"
2,15,3,134.764313378134,3,2,2.49709368577784,0,0.25,0.224032698322909,"HIGH HIGH","R1"
2,15,3,159.598443496781,4,3,3.50036232553634,0,0.25,0.782305041774566,"HIGH HIGH","R1"
2,15,3,179.463639681453,5,4,4.50081530032114,0,0.25,0.964295138588556,"HIGH HIGH","R1"
2,15,3,195.354110479913,6,5,5.50092993101659,0,0.25,0.992677891154008,"HIGH HIGH","R1"
2,15,3,208.065138342378,7,6,6.50199830765319,0,0.25,0.997974858975951,"HIGH HIGH","R1"
2,15,3,218.232881725791,8,7,7.50055386235526,0,0.25,0.999277769636452,"HIGH HIGH","R1"
2,16,4,62.7605838569402,1,0,0.502638117999471,0,0.25,0.00019292264867497,"HIGH HIGH","R1"
2,17,5,64.0200931849117,1,0,0.500382136210774,0,0.25,0.000219234949761098,"HIGH HIGH","R1"
2,17,5,101.601852071236,2,1,1.4983510207292,0,0.25,0.00985978752297574,"HIGH HIGH","R1"
2,17,5,131.253385491701,3,2,2.49843092836206,0,0.25,0.168150625541496,"HIGH HIGH","R1"
2,17,5,154.648071111509,4,3,3.49972295291485,0,0.25,0.684931088648155,"HIGH HIGH","R1"
2,17,5,173.106182787849,5,4,4.50110430354623,0,0.25,0.934049368195781,"HIGH HIGH","R1"
2,17,5,187.66939993011,6,5,5.49941520001085,0,0.25,0.984160168544314,"HIGH HIGH","R1"
2,18,6,62.2239649435941,1,0,0.498334528382898,0,0.25,0.000182694500176686,"HIGH HIGH","R1"
2,18,6,97.3739772909173,2,1,1.49968295903169,0,0.25,0.0064407537063572,"HIGH HIGH","R1"
2,18,6,124.328827134872,3,2,2.49998051279162,0,0.25,0.0909691903114945,"HIGH HIGH","R1"
2,18,6,144.999201953829,4,3,3.49973026810493,0,0.25,0.449387491524541,"HIGH HIGH","R1"
2,18,6,160.850315858365,5,4,4.50077501163182,0,0.25,0.803174667936883,"HIGH HIGH","R1"
2,18,6,173.00577091011,6,5,5.50029719617278,0,0.25,0.933418555030509,"HIGH HIGH","R1"
2,19,7,60.574423553871,1,0,0.500820260770815,0,0.25,0.000154525892667289,"HIGH HIGH","R1"
2,19,7,93.5611979028201,2,1,1.50095536105369,0,0.25,0.00438239145932453,"HIGH HIGH","R1"
2,19,7,118.186575207604,3,2,2.49892677425578,0,0.25,0.0509075217367315,"HIGH HIGH","R1"
2,19,7,136.569979446772,4,3,3.50210644252789,0,0.25,0.257503509384738,"HIGH HIGH","R1"
2,20,8,63.0366177329467,1,0,0.498329857422896,0,0.25,0.000198404964479565,"HIGH HIGH","R1"
2,20,8,99.2770167613678,2,1,1.49801478211775,0,0.25,0.00780288696148394,"HIGH HIGH","R1"
2,20,8,127.430985722653,3,2,2.49946747235767,0,0.25,0.120586426192124,"HIGH HIGH","R1"
2,20,8,149.302874264811,4,3,3.49914163531739,0,0.25,0.558189215988247,"HIGH HIGH","R1"
2,20,8,166.294422030544,5,4,4.50115667731345,0,0.25,0.876425616077397,"HIGH HIGH","R1"
2,20,8,179.494594247893,6,5,5.5001529894828,0,0.25,0.964403190632097,"HIGH HIGH","R1"
2,20,8,189.749372033298,7,6,6.49855625214072,0,0.25,0.987136892891851,"HIGH HIGH","R1"
2,20,8,197.715970172814,8,7,7.49998879462424,0,0.25,0.994230095208729,"HIGH HIGH","R1"
2,20,8,203.904957125499,9,8,8.50014373318023,0,0.25,0.996913713557856,"HIGH HIGH","R1"
2,20,8,208.712976662785,10,9,9.49967515725056,0,0.25,0.998103534856282,"HIGH HIGH","R1"
