"Year","Age","AgeE","FSIM","Length_cm"
96,0,0.501365445177608,"HIGH HIGH",6.11969005130913
71,4,4.4990126070536,"HIGH HIGH",17.7428812317853
58,0,0.499057896025994,"HIGH HIGH",6.32286526616735
24,3,3.49934680680491,"HIGH HIGH",15.2586314523112
45,0,0.49847307240026,"HIGH HIGH",6.36157013875075
28,3,3.50114528771773,"HIGH HIGH",14.3361057294362
27,1,1.4985856570599,"HIGH HIGH",9.84706491993239
68,2,2.49990363825274,"HIGH HIGH",12.2206892154913
54,1,1.49813811718304,"HIGH HIGH",9.42131647569672
1,0,0.499400259524816,"HIGH HIGH",6.08869496029581
67,0,0.501494013544629,"HIGH HIGH",6.45509747974473
37,7,7.49934306244581,"HIGH HIGH",19.2329446126171
62,1,1.49782180918701,"HIGH HIGH",9.95277530790454
5,5,5.50024451791486,"HIGH HIGH",16.5505936217876
64,0,0.50096936444134,"HIGH HIGH",6.07407179382138
20,5,5.50046987487867,"HIGH HIGH",17.9393976818289
53,0,0.500616596932561,"HIGH HIGH",6.08585556759015
8,1,1.50241744640494,"HIGH HIGH",9.92729472593514
44,4,4.49922452987376,"HIGH HIGH",16.1419948640137
26,5,5.49850793664438,"HIGH HIGH",18.9941045564239
3,0,0.502106697568828,"HIGH HIGH",6.02551201556136
76,0,0.500732127201597,"HIGH HIGH",6.46636044540004
30,12,12.4988310766119,"HIGH HIGH",21.9204707848196
31,4,4.50028532240364,"HIGH HIGH",18.4344520319755
99,0,0.498505578490364,"HIGH HIGH",6.05460517630094
100,2,2.50042576247977,"HIGH HIGH",12.1508978501311
51,1,1.50018159329085,"HIGH HIGH",10.1640343397004
83,1,1.49911480762292,"HIGH HIGH",10.2180744147668
75,3,3.49891305930429,"HIGH HIGH",13.9222852348027
71,1,1.49906187213139,"HIGH HIGH",9.60358589394513
26,5,5.500241527057,"HIGH HIGH",21.1238617822572
73,0,0.49800075782742,"HIGH HIGH",6.51056157011539
19,8,8.50045176224673,"HIGH HIGH",19.0435387138374
14,2,2.50160809652371,"HIGH HIGH",11.8865418759297
52,0,0.499482190157514,"HIGH HIGH",6.43594049979067
40,1,1.49824344577475,"HIGH HIGH",9.29019519411179
3,1,1.49998291048347,"HIGH HIGH",9.58593802825101
45,0,0.500673606129805,"HIGH HIGH",6.31924486238089
46,1,1.50122603663223,"HIGH HIGH",10.1048724813689
45,0,0.498452533659304,"HIGH HIGH",6.10730709854465
58,0,0.501845076249253,"HIGH HIGH",6.20771901124854
39,0,0.499129265506172,"HIGH HIGH",5.95895750392272
28,0,0.501233432151519,"HIGH HIGH",6.04544845167623
37,2,2.50010343580551,"HIGH HIGH",13.2231432029127
23,0,0.500213189708525,"HIGH HIGH",6.31114364704042
27,0,0.499360862050725,"HIGH HIGH",6.54687885259053
36,0,0.500612144720307,"HIGH HIGH",6.37609238573067
55,0,0.499675556566537,"HIGH HIGH",6.10198234926833
26,0,0.499858785320428,"HIGH HIGH",6.35711330410584
52,1,1.49976330471243,"HIGH HIGH",9.84721014133323
39,4,4.49975891155541,"HIGH HIGH",17.229966293027
75,1,1.4993895709055,"HIGH HIGH",10.154486328547
76,1,1.4988552605522,"HIGH HIGH",9.90501977230301
61,1,1.49968278803017,"HIGH HIGH",9.6603345589599
23,1,1.49962709346033,"HIGH HIGH",9.93574770668862
42,1,1.50229363950043,"HIGH HIGH",9.81451837940593
78,0,0.499707779186479,"HIGH HIGH",6.2052663027517
73,4,4.50075118812312,"HIGH HIGH",15.3552228485029
38,5,5.5000589577717,"HIGH HIGH",18.7386158584934
7,0,0.499668020593865,"HIGH HIGH",6.27837451369187
45,5,5.49845290566864,"HIGH HIGH",19.1738249100257
94,2,2.50152639512331,"HIGH HIGH",11.6100398724363
19,3,3.50067737982915,"HIGH HIGH",15.0939790664367
72,2,2.50078690761749,"HIGH HIGH",12.6869335014546
