"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,61.575456005273,0,0,0.499779422890278,"M",0,0.25,0.000171054521846969,"HIGH LOW","R1"
1,2,158.353297650063,6,6,6.49988910212231,"M",0,0.25,0.760008719584702,"HIGH LOW","R1"
1,3,61.7300434464849,0,0,0.50044232277986,"M",0,0.25,0.000173760040793568,"HIGH LOW","R1"
1,4,165.810930639044,6,6,6.49977570049162,"M",0,0.25,0.871009994994113,"HIGH LOW","R1"
1,5,153.526011518713,4,4,4.50179555301301,"M",0,0.25,0.659844530751936,"HIGH LOW","R1"
1,6,100.266609957193,1,1,1.49988465903784,"M",0,0.25,0.00862051768377249,"HIGH LOW","R1"
1,7,151.895321509244,4,4,4.49966068103357,"M",0,0.25,0.621761972028958,"HIGH LOW","R1"
1,8,165.593022509519,4,4,4.49983645909207,"M",0,0.25,0.868503776409315,"HIGH LOW","R1"
1,9,169.155657871895,5,5,5.50009087907095,"M",0,0.25,0.904608833564265,"HIGH LOW","R1"
1,10,63.7592318434039,0,0,0.498841425115594,"M",0,0.25,0.000213505766707189,"HIGH LOW","R1"
1,11,163.412708877458,4,4,4.5003821204555,"M",0,0.25,0.841098113648981,"HIGH LOW","R1"
2,1,171.029916718158,5,4,4.50026930549034,"M",0,0.25,0.919813414529718,"HIGH LOW","R1"
2,2,64.1576024986257,1,0,0.499631413331497,"M",0,0.25,0.000222316612897696,"HIGH LOW","R1"
2,3,63.5635296161934,1,0,0.500447438264387,"M",0,0.25,0.000209306132807477,"HIGH LOW","R1"
2,4,132.135591003532,3,2,2.50119636877149,"M",0,0.25,0.181054595544997,"HIGH LOW","R1"
2,5,98.4663718016498,2,1,1.49923462323346,"M",0,0.25,0.00719080968562796,"HIGH LOW","R1"
2,6,168.98856688034,5,4,4.50073669919427,"M",0,0.25,0.903134799650252,"HIGH LOW","R1"
2,7,154.125949622983,4,3,3.50012703354651,"M",0,0.25,0.673380489219802,"HIGH LOW","R1"
2,8,164.177558456197,5,4,4.49933985755785,"M",0,0.25,0.851204353489859,"HIGH LOW","R1"
2,9,100.30653284617,2,1,1.50121670986904,"M",0,0.25,0.00865522852069774,"HIGH LOW","R1"
2,10,102.655295329443,2,1,1.49967590723298,"M",0,0.25,0.0109606412084095,"HIGH LOW","R1"
2,11,63.5213742328606,1,0,0.500153148405843,"M",0,0.25,0.000208412374797777,"HIGH LOW","R1"
3,1,192.329519621194,10,8,8.49894403150827,"M",0,0.25,0.990071954073979,"HIGH LOW","R1"
3,2,144.601666981242,5,3,3.50055749005352,"M",0,0.25,0.439421928877301,"HIGH LOW","R1"
3,3,61.8397041392612,2,0,0.499274386325408,"M",0,0.25,0.000175705173004904,"HIGH LOW","R1"
3,4,189.290534525689,9,7,7.49916687164633,"M",0,0.25,0.986531724974552,"HIGH LOW","R1"
3,5,62.9525959149722,2,0,0.500253840632029,"M",0,0.25,0.000196719915323426,"HIGH LOW","R1"
3,6,136.456940832814,4,2,2.50104543905443,"M",0,0.25,0.255315258265283,"HIGH LOW","R1"
3,7,121.041698290967,4,2,2.49887855769847,"M",0,0.25,0.0668816054045933,"HIGH LOW","R1"
3,8,104.059999143138,3,1,1.50116661799452,"M",0,0.25,0.0126196472358776,"HIGH LOW","R1"
3,9,100.036997815062,3,1,1.50041036106161,"M",0,0.25,0.0084235448057435,"HIGH LOW","R1"
3,10,123.307182713164,4,2,2.50065097177109,"M",0,0.25,0.0827475676858827,"HIGH LOW","R1"
3,11,231.033696607786,14,12,12.4995083497061,"M",0,0.25,0.999803006162552,"HIGH LOW","R1"
3,12,96.2908160781147,3,1,1.50025139467971,"M",0,0.25,0.00577385880276775,"HIGH LOW","R1"
4,1,96.8234533737687,4,1,1.50115164709613,"M",0,0.25,0.00609275135778832,"HIGH LOW","R1"
4,2,163.816605858008,9,6,6.49999795425204,"M",0,0.25,0.846502645261962,"HIGH LOW","R1"
4,3,160.41494684744,7,4,4.50044862987313,"M",0,0.25,0.796092911767675,"HIGH LOW","R1"
4,4,120.7182685969,5,2,2.5000182093598,"M",0,0.25,0.064861118875144,"HIGH LOW","R1"
4,5,164.933823550704,6,3,3.50013562951227,"M",0,0.25,0.860669739393335,"HIGH LOW","R1"
4,6,122.682275393959,5,2,2.50001614208009,"M",0,0.25,0.0780575504757879,"HIGH LOW","R1"
4,7,60.1448218007915,3,0,0.50000042538403,"M",0,0.25,0.000147931566728633,"HIGH LOW","R1"
4,8,61.7870106316652,3,0,0.500213106308728,"M",0,0.25,0.00017476780728079,"HIGH LOW","R1"
4,9,62.9687696939608,3,0,0.498977208562487,"M",0,0.25,0.000197043163028432,"HIGH LOW","R1"
4,10,139.094142602668,6,3,3.5006274053754,"M",0,0.25,0.30944815093289,"HIGH LOW","R1"
4,11,178.020755469403,12,9,9.49867758001765,"M",0,0.25,0.958893394869105,"HIGH LOW","R1"
4,12,223.012200135033,11,8,8.50051754468267,"M",0,0.25,0.999555314943993,"HIGH LOW","R1"
4,13,113.49419121774,5,2,2.49846654402559,"M",0,0.25,0.0322353746067756,"HIGH LOW","R1"
4,14,97.0947464565479,4,1,1.49995364668107,"M",0,0.25,0.0062618436296341,"HIGH LOW","R1"
5,1,155.059784135292,7,3,3.50064859606206,"M",0,0.25,0.693881529617673,"HIGH LOW","R1"
5,2,168.809736994519,7,3,3.50046034529105,"M",0,0.25,0.901534712610634,"HIGH LOW","R1"
5,3,63.929793493961,4,0,0.498526200330843,"M",0,0.25,0.000217234549509602,"HIGH LOW","R1"
5,4,192.383045271777,12,8,8.5003796299829,"M",0,0.25,0.990125231207374,"HIGH LOW","R1"
