"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
82,2,2.50046323357538,11.8955976121147,"HIGH LOW",0.174623796297237,"late","low","R1"
74,1,1.49984533114974,9.89520503572625,"HIGH LOW",0.370181832718663,"early","high","R1"
44,1,1.49910453953383,9.86668713654585,"HIGH LOW",0,"early","high","R1"
82,1,1.49991999264525,9.32514324326914,"HIGH LOW",0.15334726034198,"late","low","R1"
80,1,1.49914127097735,9.44222896004723,"HIGH LOW",0.111074231169187,"late","low","R1"
51,2,2.50020422604528,12.9919605676198,"HIGH LOW",0.36045283197891,"early","high","R1"
5,1,1.50130350863738,10.3022495978325,"HIGH LOW",0,"early","high","R1"
6,0,0.498907616815308,6.51840945686748,"HIGH LOW",0,"early","high","R1"
29,3,3.50078003711943,14.4818357006658,"HIGH LOW",0,"early","high","R1"
36,1,1.49876630324253,9.38268302584025,"HIGH LOW",0,"early","high","R1"
5,2,2.49990055433531,13.0083659207378,"HIGH LOW",0,"early","high","R1"
16,6,6.49984469695419,16.3625916409739,"HIGH LOW",0,"early","high","R1"
9,5,5.50039459775474,17.2431973457361,"HIGH LOW",0,"early","high","R1"
43,3,3.50170673171703,14.7383755906408,"HIGH LOW",0,"early","high","R1"
40,2,2.49945170699259,13.4610089878756,"HIGH LOW",0,"early","high","R1"
12,2,2.49940133057493,13.0739029390871,"HIGH LOW",0,"early","high","R1"
57,5,5.50086133284486,17.2983947363014,"HIGH LOW",0.373120058560744,"early","high","R1"
61,0,0.499326267403248,6.30273844126182,"HIGH LOW",0.32896785910707,"early","high","R1"
95,0,0.501492344239151,6.17171103525577,"HIGH LOW",0.137649081624113,"late","low","R1"
29,2,2.49951195902658,12.6883407132457,"HIGH LOW",0,"early","high","R1"
29,10,10.5014224737111,25.2029904345414,"HIGH LOW",0,"early","high","R1"
50,0,0.500706965336786,6.31110204089208,"HIGH LOW",0.371907018916681,"early","high","R1"
12,5,5.50004444191459,17.1725642527019,"HIGH LOW",0,"early","high","R1"
68,0,0.499893827533996,6.33412958320371,"HIGH LOW",0.387900995276868,"early","high","R1"
27,6,6.49936993133245,19.0280215041834,"HIGH LOW",0,"early","high","R1"
46,0,0.501362087883889,6.32433360234276,"HIGH LOW",0,"early","high","R1"
10,2,2.49941566299314,12.6380377249386,"HIGH LOW",0,"early","high","R1"
33,3,3.49926553954529,15.8945654196269,"HIGH LOW",0,"early","high","R1"
53,0,0.49896486972315,6.11524130675917,"HIGH LOW",0.36491006698925,"early","high","R1"
84,1,1.50105173900647,10.2331333970365,"HIGH LOW",0.113771291612647,"late","low","R1"
3,2,2.50048890766222,13.6576157732339,"HIGH LOW",0,"early","high","R1"
85,3,3.49912321107654,16.0964872930921,"HIGH LOW",0.181193514936604,"late","low","R1"
54,1,1.49977994286601,9.90570625984402,"HIGH LOW",0.373000286729075,"early","high","R1"
19,3,3.49940396268223,13.5890914765063,"HIGH LOW",0,"early","high","R1"
15,4,4.50018937176213,15.9114524850358,"HIGH LOW",0,"early","high","R1"
41,9,9.49832975198034,18.9888882545384,"HIGH LOW",0,"early","high","R1"
19,2,2.50000010452698,12.8485592707672,"HIGH LOW",0,"early","high","R1"
85,0,0.499927145905381,6.38395182854064,"HIGH LOW",0.159265843196772,"late","low","R1"
95,0,0.498652266764947,6.19845256620255,"HIGH LOW",0.135154029354453,"late","low","R1"
50,5,5.50012992613496,17.681844370836,"HIGH LOW",0.34509717694018,"early","high","R1"
31,2,2.50098439591808,12.674857000127,"HIGH LOW",0,"early","high","R1"
38,3,3.49932635013876,13.8584314383999,"HIGH LOW",0,"early","high","R1"
37,4,4.50023726536388,17.2610182400623,"HIGH LOW",0,"early","high","R1"
3,0,0.498306197589825,6.25602195916161,"HIGH LOW",0,"early","high","R1"
89,0,0.500168308697666,6.16501572204808,"HIGH LOW",0.105991489300504,"late","low","R1"
24,1,1.50101639377676,10.2263302563917,"HIGH LOW",0,"early","high","R1"
97,2,2.49997307334135,13.202980068721,"HIGH LOW",0.125106992386282,"late","low","R1"
13,2,2.50015730132045,13.5437411273048,"HIGH LOW",0,"early","high","R1"
65,3,3.50041267698085,15.0247973128706,"HIGH LOW",0.302042599231936,"early","high","R1"
100,1,1.49755630415144,10.0357225299167,"HIGH LOW",0.100366802932695,"late","low","R1"
34,2,2.49826994351613,12.1854465460998,"HIGH LOW",0,"early","high","R1"
40,0,0.501993008420928,6.22606770160472,"HIGH LOW",0,"early","high","R1"
44,0,0.499277240765227,6.20896704957863,"HIGH LOW",0,"early","high","R1"
63,0,0.50055131641515,6.12041957936796,"HIGH LOW",0.373095410712995,"early","high","R1"
88,1,1.49951459206053,9.95403213150738,"HIGH LOW",0.161117776297033,"late","low","R1"
40,6,6.4985516254602,16.2614886716755,"HIGH LOW",0,"early","high","R1"
24,11,11.5002927594761,18.9694235716456,"HIGH LOW",0,"early","high","R1"
50,1,1.50004091006813,10.0793099768111,"HIGH LOW",0.393327943701297,"early","high","R1"
54,3,3.49994866386447,13.4686006902282,"HIGH LOW",0.373000286729075,"early","high","R1"
91,2,2.49972656757648,13.4756165929274,"HIGH LOW",0.186103868833743,"late","low","R1"
96,1,1.49842732419906,10.1669162863718,"HIGH LOW",0.158418324287049,"late","low","R1"
81,2,2.49979915417698,11.8608593654364,"HIGH LOW",0.157848315546289,"late","low","R1"
4,4,4.49947747824867,16.2744177025617,"HIGH LOW",0,"early","high","R1"
36,4,4.50101179029667,16.0924174426447,"HIGH LOW",0,"early","high","R1"
94,1,1.49952163852705,9.84155630461382,"HIGH LOW",0.185436480608769,"late","low","R1"
