"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,61.551012943282,0,0,0.499919518683832,0,0.25,0.05,"LOW HIGH","R1"
1,2,2,62.9881525412068,0,0,0.495826908418252,0,0.25,0.05,"LOW HIGH","R1"
1,3,3,62.9781066137653,0,0,0.500216293831499,0,0.25,0.05,"LOW HIGH","R1"
1,4,4,63.9905951127589,0,0,0.499516298445911,0,0.25,0.05,"LOW HIGH","R1"
1,5,5,61.6147315549595,0,0,0.500242610770396,0,0.25,0.05,"LOW HIGH","R1"
1,6,6,61.2420345708009,0,0,0.500260930390791,0,0.25,0.05,"LOW HIGH","R1"
1,7,7,62.3060006735074,0,0,0.500360375113242,0,0.25,0.05,"LOW HIGH","R1"
1,8,8,64.8737653257752,0,0,0.499523263119711,0,0.25,0.05,"LOW HIGH","R1"
1,9,9,63.817156212001,0,0,0.499000545975348,0,0.25,0.05,"LOW HIGH","R1"
1,10,10,63.1588972688209,0,0,0.499948040889699,0,0.25,0.05,"LOW HIGH","R1"
1,11,11,61.9233714853561,0,0,0.499168210918955,0,0.25,0.05,"LOW HIGH","R1"
1,12,12,63.5269375262609,0,0,0.500780535322019,0,0.25,0.05,"LOW HIGH","R1"
1,1,1,95.8104046911916,1,1,1.49915675293619,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,2,2,99.1630663741212,1,1,1.50104393461057,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,3,3,99.139453834972,1,1,1.49807390773626,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,5,5,95.9579735010025,1,1,1.5005671753828,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,7,7,97.5653467873843,1,1,1.50080915406878,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,8,8,103.639173727736,1,1,1.50069191011449,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,10,10,99.5647752637189,1,1,1.49964858385487,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,11,11,96.6741829904518,1,1,1.49991309196337,0,0.25,0.186605496863371,"LOW HIGH","R1"
1,12,12,100.433102562178,1,1,1.50051396977693,0,0.25,0.186605496863371,"LOW HIGH","R1"
2,13,1,62.4153023217795,1,0,0.499909290509887,0,0.25,0.05,"LOW HIGH","R1"
2,14,2,60.0881297048079,1,0,0.500967404908441,0,0.25,0.05,"LOW HIGH","R1"
2,15,3,61.0383472864772,1,0,0.500338692659694,0,0.25,0.05,"LOW HIGH","R1"
2,16,4,63.4816249568947,1,0,0.500044396074363,0,0.25,0.05,"LOW HIGH","R1"
2,17,5,62.5760584888401,1,0,0.499957728076045,0,0.25,0.05,"LOW HIGH","R1"
2,18,6,63.7215868862967,1,0,0.499945138859059,0,0.25,0.05,"LOW HIGH","R1"
2,19,7,60.3074785489536,1,0,0.500001585943913,0,0.25,0.05,"LOW HIGH","R1"
2,20,8,62.9985347817457,1,0,0.497761608110454,0,0.25,0.05,"LOW HIGH","R1"
2,21,9,62.6753376634806,1,0,0.497691823472977,0,0.25,0.05,"LOW HIGH","R1"
2,22,10,57.9754704253774,1,0,0.49828802353301,0,0.25,0.05,"LOW HIGH","R1"
2,23,11,59.5217302430861,1,0,0.499642572517015,0,0.25,0.05,"LOW HIGH","R1"
2,24,12,64.6004277109456,1,0,0.499531002752054,0,0.25,0.05,"LOW HIGH","R1"
2,25,13,60.0575401040523,1,0,0.501024004222335,0,0.25,0.05,"LOW HIGH","R1"
1,1,1,121.798150274345,2,2,2.4983867786208,0,0.25,0.5,"LOW HIGH","R1"
1,2,2,127.244555213098,2,2,2.50099634531976,0,0.25,0.5,"LOW HIGH","R1"
1,3,3,127.205934311213,2,2,2.49886362480979,0,0.25,0.5,"LOW HIGH","R1"
1,5,5,122.036293129923,2,2,2.50079061155659,0,0.25,0.5,"LOW HIGH","R1"
1,7,7,124.639687088049,2,2,2.49985770658286,0,0.25,0.5,"LOW HIGH","R1"
1,8,8,134.632431120682,2,2,2.49951383629823,0,0.25,0.5,"LOW HIGH","R1"
1,10,10,127.902162304126,2,2,2.49877840907697,0,0.25,0.5,"LOW HIGH","R1"
1,11,11,123.194169482528,2,2,2.50022428463332,0,0.25,0.5,"LOW HIGH","R1"
1,12,12,129.327297129248,2,2,2.49895232807157,0,0.25,0.5,"LOW HIGH","R1"
2,15,3,94.6267408145714,2,1,1.49943292747082,0,0.25,0.186605496863371,"LOW HIGH","R1"
