"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,142.95946159434,3,3,3.50141844486298,"M",0,0.25,0.398853262283921,"LOW LOW","R1"
1,2,182.193666076781,10,10,10.4990529133377,"M",0,0.25,0.972702857684773,"LOW LOW","R1"
1,3,64.8896949808173,0,0,0.499641831419307,"M",0,0.25,0.000239467207443419,"LOW LOW","R1"
1,4,153.172617404005,3,3,3.49918821136499,"M",0,0.25,0.651745480297105,"LOW LOW","R1"
1,5,60.4263098828004,0,0,0.500378735603775,"M",0,0.25,0.000152219817737869,"LOW LOW","R1"
1,6,135.073393335289,2,2,2.49924409346965,"M",0,0.25,0.229535347005884,"LOW LOW","R1"
1,7,144.85235699261,3,3,3.49916210242666,"M",0,0.25,0.445701154611971,"LOW LOW","R1"
1,8,101.624415096871,1,1,1.50120566827534,"M",0,0.25,0.00988217751217856,"LOW LOW","R1"
1,9,98.4736557988483,1,1,1.5009009127173,"M",0,0.25,0.00719609141575872,"LOW LOW","R1"
1,10,129.772924037633,2,2,2.49907108520326,"M",0,0.25,0.148159993213197,"LOW LOW","R1"
1,11,145.213786941249,3,3,3.49930144024945,"M",0,0.25,0.454784249179162,"LOW LOW","R1"
1,12,177.67125475994,4,4,4.49993372440872,"M",0,0.25,0.957471660191484,"LOW LOW","R1"
1,13,62.6794624788799,0,0,0.499251933340131,"M",0,0.25,0.000191340480312841,"LOW LOW","R1"
2,1,61.5981370653477,1,0,0.499414835668076,"M",0,0.25,0.000171448823101732,"LOW LOW","R1"
2,2,210.231927839447,11,10,10.4993229698513,"M",0,0.25,0.998374134882337,"LOW LOW","R1"
2,3,63.6941309859497,1,0,0.498865549303182,"M",0,0.25,0.000212099478818533,"LOW LOW","R1"
2,4,210.977885840828,8,7,7.49974992409326,"M",0,0.25,0.998492549573493,"LOW LOW","R1"
2,5,171.15706933442,6,5,5.500103437937,"M",0,0.25,0.920760475353403,"LOW LOW","R1"
2,6,193.689872699234,15,14,14.4992150131863,"M",0,0.25,0.991341639501316,"LOW LOW","R1"
2,7,63.2929635314858,1,0,0.500459617542293,"M",0,0.25,0.000203635653352462,"LOW LOW","R1"
2,8,59.4956641271919,1,0,0.499788821052699,"M",0,0.25,0.000138497003926528,"LOW LOW","R1"
2,9,61.7103930505524,1,0,0.501148152644292,"M",0,0.25,0.000173413768864088,"LOW LOW","R1"
2,10,122.186585772508,3,2,2.49968111822867,"M",0,0.25,0.0745117250033545,"LOW LOW","R1"
2,11,140.726919509782,4,3,3.50089107262533,"M",0,0.25,0.345942931837208,"LOW LOW","R1"
3,1,142.103918063996,5,3,3.50067495976256,"M",0,0.25,0.378219870840488,"LOW LOW","R1"
3,2,101.130397361643,3,1,1.49950533300112,"M",0,0.25,0.00940327146295624,"LOW LOW","R1"
3,3,124.589634236919,4,2,2.49889075587757,"M",0,0.25,0.0931827991471623,"LOW LOW","R1"
3,4,153.454267736094,5,3,3.50017514841309,"M",0,0.25,0.65820766916464,"LOW LOW","R1"
3,5,97.8926059054475,3,1,1.49975350704587,"M",0,0.25,0.00678663327565394,"LOW LOW","R1"
3,6,124.917210284356,4,2,2.50085219525403,"M",0,0.25,0.0960315074856319,"LOW LOW","R1"
3,7,186.267668050845,8,6,6.50012397587973,"M",0,0.25,0.981781652425036,"LOW LOW","R1"
3,8,64.3333979106879,2,0,0.500753218548005,"M",0,0.25,0.000226319444536832,"LOW LOW","R1"
3,9,63.5126442567136,2,0,0.500149434278879,"M",0,0.25,0.000208227763524127,"LOW LOW","R1"
3,10,101.039799019917,3,1,1.49919605765708,"M",0,0.25,0.00931797281770138,"LOW LOW","R1"
3,11,65.3218070905985,2,0,0.50032274204833,"M",0,0.25,0.000250204633448726,"LOW LOW","R1"
3,12,105.078454413611,3,1,1.50055119334041,"M",0,0.25,0.0139752404932471,"LOW LOW","R1"
4,1,126.134431955777,5,2,2.4998602643656,"M",0,0.25,0.107308733603392,"LOW LOW","R1"
4,2,182.858788357209,10,7,7.50109562330228,"M",0,0.25,0.974439844527663,"LOW LOW","R1"
4,3,167.192052775386,7,4,4.49915294661733,"M",0,0.25,0.88596248625525,"LOW LOW","R1"
4,4,191.681000453845,11,8,8.49908193187049,"M",0,0.25,0.989403392804416,"LOW LOW","R1"
4,5,151.553597791351,7,4,4.50118168390615,"M",0,0.25,0.613568576655585,"LOW LOW","R1"
4,6,141.37207038967,6,3,3.50059489158732,"M",0,0.25,0.360909905402815,"LOW LOW","R1"
4,7,62.5208919495526,3,0,0.501361610250583,"M",0,0.25,0.000188285131995969,"LOW LOW","R1"
4,8,162.301716355495,7,4,4.49862248084998,"M",0,0.25,0.82543590822928,"LOW LOW","R1"
4,9,158.803009012581,7,4,4.49956728720206,"M",0,0.25,0.768237818685641,"LOW LOW","R1"
4,10,90.0761442516236,4,1,1.50015540221604,"M",0,0.25,0.00308038831011946,"LOW LOW","R1"
4,11,62.7424726386705,3,0,0.500499959586114,"M",0,0.25,0.000192568282259149,"LOW LOW","R1"
4,12,101.610327797029,4,1,1.50013463210072,"M",0,0.25,0.00986819235249078,"LOW LOW","R1"
4,13,248.044733723746,14,11,11.5023947593394,"M",0,0.25,0.999964971452579,"LOW LOW","R1"
4,14,237.261717128094,15,12,12.4991962618737,"M",0,0.25,0.999895318852924,"LOW LOW","R1"
5,1,61.3021822458111,4,0,0.499027906240151,"M",0,0.25,0.000166374437029261,"LOW LOW","R1"
5,2,64.0252198800873,4,0,0.498713186081787,"M",0,0.25,0.000219349071822709,"LOW LOW","R1"
5,3,61.7503997699844,4,0,0.499291659315236,"M",0,0.25,0.000174119481344699,"LOW LOW","R1"
5,4,146.538703080425,8,4,4.49990194248505,"M",0,0.25,0.488292996654603,"LOW LOW","R1"
5,5,171.948422266903,9,5,5.49934560113911,"M",0,0.25,0.926428057427924,"LOW LOW","R1"
5,6,131.63741628467,6,2,2.50006855942645,"M",0,0.25,0.173675395532377,"LOW LOW","R1"
5,7,138.241848326862,7,3,3.49868043382964,"M",0,0.25,0.291267521267445,"LOW LOW","R1"
5,8,100.184830951897,5,1,1.49960047303781,"M",0,0.25,0.0085498454459966,"LOW LOW","R1"
5,9,95.3667335388659,5,1,1.49999516917345,"M",0,0.25,0.00525948731623738,"LOW LOW","R1"
