"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
39,4,183.847331534185,50,12,12.500166815358,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
39,10,215.625778454906,51,13,13.4998011448253,"FISHED",0.193544977041893,0.25,1,"LOW LOW","R1"
40,9,196.302417482962,50,11,11.4993736943015,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
44,2,196.670163580688,51,8,8.50071246019219,"FISHED",0.193544977041893,0.25,1,"LOW LOW","R1"
44,11,203.500790361468,55,12,12.4987778080373,"FISHED",0.181517688510939,0.25,1,"LOW LOW","R1"
45,1,230.327813918226,54,10,10.4998423900274,"FISHED",0.175351369031705,0.25,1,"LOW LOW","R1"
46,9,192.017479225125,50,5,5.49983765409234,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
47,8,173.450814982618,51,5,5.49980001641719,"FISHED",0.193544977041893,0.25,1,"LOW LOW","R1"
48,7,184.300317770877,52,5,5.50005416068808,"FISHED",0.177960257651284,0.25,1,"LOW LOW","R1"
49,4,132.583627566809,50,2,2.50142059935614,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
49,5,118.609566012712,50,2,2.49808042970662,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
49,7,176.787144600039,53,5,5.50125298260232,"FISHED",0.181541862618178,0.25,1,"LOW LOW","R1"
50,2,133.644457993286,51,2,2.50002141948762,"FISHED",0.193544977041893,0.25,1,"LOW LOW","R1"
50,5,100.617631090156,50,1,1.5005367983768,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
50,6,183.366423464064,54,5,5.49900442946983,"FISHED",0.175351369031705,0.25,1,"LOW LOW","R1"
50,10,121.428986291877,51,2,2.50154953637069,"FISHED",0.193544977041893,0.25,1,"LOW LOW","R1"
51,6,215.015322169196,58,8,8.50059349600519,"FISHED",0.135218684840947,0.25,1,"LOW LOW","R1"
51,7,62.3014409454415,50,0,0.500716984941092,"FISHED",0.198416241258383,0.25,1,"LOW LOW","R1"
51,9,141.079966701882,53,3,3.49960604086366,"FISHED",0.181541862618178,0.25,1,"LOW LOW","R1"
51,11,97.9091529385176,51,1,1.50041982330149,"FISHED",0.193544977041893,0.25,1,"LOW LOW","R1"
52,1,191.671888785005,56,5,5.5000365878469,"FISHED",0.118382029980421,0.25,1,"LOW LOW","R1"
52,8,96.5977331607114,52,1,1.49786778722117,"FISHED",0.177960257651284,0.25,1,"LOW LOW","R1"
52,11,251.677566611262,61,10,10.4999435152227,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
53,2,60.6244440433237,52,0,0.499791540343099,"FISHED",0.177960257651284,0.25,1,"LOW LOW","R1"
53,9,183.524297310572,57,5,5.49929399445017,"FISHED",0.140782149881125,0.25,1,"LOW LOW","R1"
54,1,162.753465714297,56,3,3.50062101688493,"FISHED",0.118382029980421,0.25,1,"LOW LOW","R1"
54,3,204.453041977263,60,7,7.49864660943927,"FISHED",0.192155680968426,0.25,1,"LOW LOW","R1"
54,6,93.9115227893396,54,1,1.49914332935735,"FISHED",0.175351369031705,0.25,1,"LOW LOW","R1"
54,9,231.927304819071,62,9,9.49911807640685,"FISHED",0.103749847086146,0.25,1,"LOW LOW","R1"
55,7,230.573243045105,61,7,7.50066597479393,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
55,10,103.141643552383,55,1,1.50045406969172,"FISHED",0.181517688510939,0.25,1,"LOW LOW","R1"
55,11,61.8262781289558,54,0,0.500561744972705,"FISHED",0.175351369031705,0.25,1,"LOW LOW","R1"
56,1,63.4818019365881,55,0,0.501245303622421,"FISHED",0.181517688510939,0.25,1,"LOW LOW","R1"
56,2,170.504399875199,61,6,6.49952208379354,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
56,7,104.488829696582,56,1,1.50072010445301,"FISHED",0.118382029980421,0.25,1,"LOW LOW","R1"
56,9,64.1028687134784,55,0,0.500621781856099,"FISHED",0.181517688510939,0.25,1,"LOW LOW","R1"
57,2,166.173098223561,61,5,5.49898593864264,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
57,7,117.681990732419,58,2,2.49867756932485,"FISHED",0.135218684840947,0.25,1,"LOW LOW","R1"
58,8,106.473862291443,58,1,1.49937337317481,"FISHED",0.135218684840947,0.25,1,"LOW LOW","R1"
58,10,101.140204966104,58,1,1.49786916625076,"FISHED",0.135218684840947,0.25,1,"LOW LOW","R1"
59,5,126.858336581439,60,2,2.50177627272238,"FISHED",0.192155680968426,0.25,1,"LOW LOW","R1"
60,1,145.050138761363,63,4,4.50018606849569,"FISHED",0.122811179282144,0.25,1,"LOW LOW","R1"
60,6,133.848683928145,62,3,3.50123751665978,"FISHED",0.103749847086146,0.25,1,"LOW LOW","R1"
60,8,62.5326948796286,59,0,0.49965685034837,"FISHED",0.116201455239207,0.25,1,"LOW LOW","R1"
61,2,169.29565025768,64,4,4.4982069747661,"FISHED",0.197673589037731,0.25,1,"LOW LOW","R1"
61,6,95.3221175379044,61,1,1.50247509993537,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
61,11,94.5962972733765,61,1,1.49936435497799,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
62,1,206.917554553207,69,8,8.50113637529121,"FISHED",0.186929116514511,0.25,1,"LOW LOW","R1"
62,2,64.59770025925,61,0,0.499055479843381,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
62,7,145.693128410929,64,3,3.49901859762069,"FISHED",0.197673589037731,0.25,1,"LOW LOW","R1"
62,8,62.5286490099893,61,0,0.499425636851834,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
62,11,62.5555708609549,61,0,0.502012045693784,"FISHED",0.152199271088466,0.25,1,"LOW LOW","R1"
63,1,63.1692533294826,62,0,0.499020140800982,"FISHED",0.103749847086146,0.25,1,"LOW LOW","R1"
63,3,175.84533305942,66,4,4.50018783863478,"FISHED",0.126042654667981,0.25,1,"LOW LOW","R1"
63,4,124.486518678529,64,2,2.49973818177456,"FISHED",0.197673589037731,0.25,1,"LOW LOW","R1"
63,6,157.062776725865,65,3,3.50007392260115,"FISHED",0.163509516580962,0.25,1,"LOW LOW","R1"
63,7,64.2075023375162,62,0,0.500072031472274,"FISHED",0.103749847086146,0.25,1,"LOW LOW","R1"
63,8,98.2024273448247,63,1,1.5013014280668,"FISHED",0.122811179282144,0.25,1,"LOW LOW","R1"
