"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,150.167599067325,3,3,3.49782022962388,0,0.25,0.579717513651696,"LOW LOW","R1"
1,4,4,147.166879254304,3,3,3.49955557355224,0,0.25,0.504235810570032,"LOW LOW","R1"
1,1,1,167.392654386002,4,4,4.4998409232576,0,0.25,0.88800416056654,"LOW LOW","R1"
1,4,4,163.587874191853,4,4,4.50088457493634,0,0.25,0.843460714501508,"LOW LOW","R1"
2,16,3,142.22945027698,4,3,3.49941261893325,0,0.25,0.381221863704866,"LOW LOW","R1"
3,33,8,130.61556769679,4,2,2.50053641428952,0,0.25,0.159285975709215,"LOW LOW","R1"
4,44,6,102.06772338033,4,1,1.49851178304316,0,0.25,0.0103324370094255,"LOW LOW","R1"
1,1,1,180.808409422232,5,5,5.50044918680703,0,0.25,0.968709439037852,"LOW LOW","R1"
2,16,3,157.365881003671,5,4,4.49916023693779,0,0.25,0.741249414778703,"LOW LOW","R1"
2,21,8,172.976636663057,5,4,4.50064034170879,0,0.25,0.933234480014722,"LOW LOW","R1"
2,22,9,182.272135905112,5,4,4.49997688905567,0,0.25,0.972913608766375,"LOW LOW","R1"
3,26,1,152.146328020993,5,3,3.49944311925026,0,0.25,0.62773658632557,"LOW LOW","R1"
3,28,3,157.310889203391,5,3,3.50018771404101,0,0.25,0.740177074885201,"LOW LOW","R1"
3,29,4,149.122545899615,5,3,3.49968152047774,0,0.25,0.553669229282772,"LOW LOW","R1"
3,31,6,144.298829160004,5,3,3.50110221989273,0,0.25,0.431862479384827,"LOW LOW","R1"
3,37,12,150.205236403773,5,3,3.50099679606488,0,0.25,0.580648296446324,"LOW LOW","R1"
1,1,1,191.257286355413,6,6,6.50064385524203,0,0.25,0.988942721917966,"LOW LOW","R1"
2,16,3,168.873792784109,6,5,5.50034732229199,0,0.25,0.902110542703696,"LOW LOW","R1"
2,21,8,187.513358240246,6,5,5.49910488540621,0,0.25,0.983911284777721,"LOW LOW","R1"
3,28,3,176.520082160224,6,4,4.49875094524344,0,0.25,0.952449471690364,"LOW LOW","R1"
3,29,4,166.065581616127,6,4,4.50093958355606,0,0.25,0.873887121723703,"LOW LOW","R1"
3,31,6,159.967791913764,6,4,4.50022847900206,0,0.25,0.788623940250322,"LOW LOW","R1"
3,32,7,161.549318670803,6,4,4.50016299411559,0,0.25,0.814153359669743,"LOW LOW","R1"
3,37,12,167.44048818052,6,4,4.50062439743945,0,0.25,0.888486261322391,"LOW LOW","R1"
4,44,6,155.730817808322,6,3,3.50057773222616,0,0.25,0.708159245481464,"LOW LOW","R1"
4,47,9,142.964971695575,6,3,3.50014699244949,0,0.25,0.398987409710732,"LOW LOW","R1"
1,1,1,199.395406712407,7,7,7.50097274197582,0,0.25,0.995130246311021,"LOW LOW","R1"
2,16,3,177.623017481633,7,6,6.49969192954937,0,0.25,0.957271782195248,"LOW LOW","R1"
2,21,8,198.979356423656,7,6,6.50171221012002,0,0.25,0.994921195808749,"LOW LOW","R1"
3,28,3,191.789467779475,7,5,5.5002948222822,0,0.25,0.989518235901198,"LOW LOW","R1"
3,29,4,179.221035847699,7,5,5.50158801664615,0,0.25,0.963437285729482,"LOW LOW","R1"
3,31,6,171.957672529488,7,5,5.49882067168947,0,0.25,0.926492046912414,"LOW LOW","R1"
3,32,7,173.836668634174,7,5,5.50140627376924,0,0.25,0.938473740037196,"LOW LOW","R1"
3,37,12,180.865669644962,7,5,5.50054095058082,0,0.25,0.968885183409515,"LOW LOW","R1"
4,44,6,174.492698654206,7,4,4.5014969213032,0,0.25,0.942209273570531,"LOW LOW","R1"
5,51,1,139.524990708389,7,3,3.49913313601691,0,0.25,0.31887308719241,"LOW LOW","R1"
5,59,9,157.75115600542,7,3,3.49932342855631,0,0.25,0.748681093850327,"LOW LOW","R1"
6,65,4,135.365335652179,7,2,2.5002092319029,0,0.25,0.234819405568698,"LOW LOW","R1"
6,66,5,136.484799176524,7,2,2.49918764090314,0,0.25,0.255853415851047,"LOW LOW","R1"
1,1,1,205.733791532942,8,8,8.49904539955877,0,0.25,0.997435391544042,"LOW LOW","R1"
2,16,3,184.274870073856,8,7,7.49825114949642,0,0.25,0.977786827729957,"LOW LOW","R1"
3,28,3,203.927100928006,8,6,6.49906094955689,0,0.25,0.99692062335739,"LOW LOW","R1"
3,29,4,189.435614801241,8,6,6.50151444679301,0,0.25,0.986726049123583,"LOW LOW","R1"
3,31,6,181.132321766868,8,6,6.49959805304515,0,0.25,0.969691089638222,"LOW LOW","R1"
3,32,7,183.275254902323,8,6,6.4999155262988,0,0.25,0.975472162219582,"LOW LOW","R1"
3,37,12,191.323045010744,8,6,6.50111666441855,0,0.25,0.989015493163052,"LOW LOW","R1"
4,44,6,189.34087615317,8,5,5.50025080157327,0,0.25,0.986599469660365,"LOW LOW","R1"
5,51,1,153.978290791211,8,4,4.49966938108137,0,0.25,0.670074595880587,"LOW LOW","R1"
7,76,5,128.847679322608,8,2,2.50164371043555,0,0.25,0.136691174767676,"LOW LOW","R1"
1,1,1,210.670450167962,9,9,9.50065980004467,0,0.25,0.998444827232277,"LOW LOW","R1"
2,16,3,189.332134510232,9,8,8.49965073914681,0,0.25,0.986587730201847,"LOW LOW","R1"
3,28,3,213.575304341154,9,7,7.49822440266414,0,0.25,0.998841591368744,"LOW LOW","R1"
3,31,6,188.152757693359,9,7,7.50048635723288,0,0.25,0.984907315346113,"LOW LOW","R1"
3,37,12,199.468685338251,9,7,7.50010576442502,0,0.25,0.995166169085265,"LOW LOW","R1"
4,45,7,148.572324112539,9,6,6.49959514281846,0,0.25,0.539825905722523,"LOW LOW","R1"
