"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
40,9,9.49893544206909,21.2357504650349,"LOW LOW",0,"early","low","R1"
58,1,1.49897643226966,10.6473862291443,"LOW LOW",0.135218684840947,"early","low","R1"
68,4,4.49950223444811,15.1111877510431,"LOW LOW",0.17062788696494,"early","low","R1"
25,3,3.49885015098948,14.522966880709,"LOW LOW",0,"early","low","R1"
12,1,1.49982219581615,9.79108754947245,"LOW LOW",0,"early","low","R1"
34,0,0.500305714109997,6.50863776395484,"LOW LOW",0,"early","low","R1"
75,8,8.50005069939454,20.3441481691603,"LOW LOW",0.144160738377832,"late","low","R1"
14,0,0.500044462988794,6.223733242535,"LOW LOW",0,"early","low","R1"
82,2,2.50170133303101,12.473963961401,"LOW LOW",0.13656992178876,"late","low","R1"
69,2,2.49918400060947,12.5149159827616,"LOW LOW",0.108941032737494,"early","low","R1"
57,1,1.49938472521528,9.37446640454439,"LOW LOW",0.101166412234306,"early","low","R1"
46,9,9.50126446748224,18.9151482206103,"LOW LOW",0,"early","low","R1"
16,5,5.49917372725756,18.9074606348848,"LOW LOW",0,"early","low","R1"
25,6,6.49969740847642,21.7314263588146,"LOW LOW",0,"early","low","R1"
6,6,6.50100590355132,19.2629716909824,"LOW LOW",0,"early","low","R1"
26,4,4.49917756127776,15.7225698231508,"LOW LOW",0,"early","low","R1"
34,0,0.500698261074489,6.46323434771576,"LOW LOW",0,"early","low","R1"
89,0,0.500873552757745,6.00807515655115,"LOW LOW",0.118557682447135,"late","low","R1"
39,8,8.49929415258726,19.2209326817941,"LOW LOW",0,"early","low","R1"
18,0,0.500954288097528,6.3906782154432,"LOW LOW",0,"early","low","R1"
87,0,0.499121828397229,6.2061120155485,"LOW LOW",0.163495703483932,"late","low","R1"
83,7,7.50020315343657,20.2695074723941,"LOW LOW",0.17563940549735,"late","low","R1"
16,7,7.49882258424229,17.9774608678283,"LOW LOW",0,"early","low","R1"
10,1,1.49941173161397,10.0756562771735,"LOW LOW",0,"early","low","R1"
