"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,63.9436771300077,0,0,0.499274988742503,"M",0,0.25,0.000217540920983893,"LOW MED","R1"
1,2,62.8564160422981,0,0,0.499832411179496,"M",0,0.25,0.000194808594124183,"LOW MED","R1"
1,3,151.276903735946,3,3,3.50003496827306,"M",0,0.25,0.606886689705843,"LOW MED","R1"
1,4,62.0125885350534,0,0,0.500511854172628,"M",0,0.25,0.000178816061746985,"LOW MED","R1"
1,5,191.375349774407,10,10,10.49960858233,"M",0,0.25,0.98907303742886,"LOW MED","R1"
1,6,99.2396735879295,1,1,1.50072036525644,"M",0,0.25,0.00777358755529734,"LOW MED","R1"
1,7,104.303585641305,1,1,1.50036480456579,"M",0,0.25,0.0129315604611032,"LOW MED","R1"
1,8,97.1221634888732,1,1,1.49792634571153,"M",0,0.25,0.00627918950510995,"LOW MED","R1"
1,9,92.3106990872817,1,1,1.50144546155186,"M",0,0.25,0.00386186848193126,"LOW MED","R1"
1,10,182.254830572443,5,5,5.50068127490676,"M",0,0.25,0.972867267185375,"LOW MED","R1"
1,11,199.257851814058,9,9,9.50028640149236,"M",0,0.25,0.995062095023192,"LOW MED","R1"
1,12,63.9992693075143,0,0,0.500743733054064,"M",0,0.25,0.000218772012761074,"LOW MED","R1"
2,1,97.1259789750346,2,1,1.49889994135085,"M",0,0.25,0.00628160722223263,"LOW MED","R1"
2,2,65.0471363084917,1,0,0.499417842978786,"M",0,0.25,0.000243325005357442,"LOW MED","R1"
2,3,148.964664173693,5,4,4.50189980951628,"M",0,0.25,0.549704549380327,"LOW MED","R1"
2,4,140.198819749023,4,3,3.499249210094,"M",0,0.25,0.333912956522547,"LOW MED","R1"
2,5,162.206916825156,12,11,11.5000784746672,"M",0,0.25,0.824044648643448,"LOW MED","R1"
2,6,62.4366705342789,1,0,0.50131153245216,"M",0,0.25,0.000186682231756784,"LOW MED","R1"
2,7,64.079777644767,1,0,0.500286741083194,"M",0,0.25,0.000220567232410646,"LOW MED","R1"
2,8,65.0224752126414,1,0,0.500458181341202,"M",0,0.25,0.000242716653765991,"LOW MED","R1"
2,9,62.4351892801016,1,0,0.498972734947164,"M",0,0.25,0.000186654162985299,"LOW MED","R1"
2,10,197.824682866613,8,7,7.49931248636093,"M",0,0.25,0.994293070943277,"LOW MED","R1"
2,11,133.921267413319,3,2,2.50111669571897,"M",0,0.25,0.209504486203649,"LOW MED","R1"
2,12,98.8920994452965,2,1,1.4982358447671,"M",0,0.25,0.00750606476841324,"LOW MED","R1"
3,1,154.960651890922,6,4,4.49862026987656,"M",0,0.25,0.691739433192038,"LOW MED","R1"
3,2,144.411846448583,5,3,3.49833134683169,"M",0,0.25,0.434680105190748,"LOW MED","R1"
3,3,197.900358430876,8,6,6.49869410804693,"M",0,0.25,0.994336504830483,"LOW MED","R1"
3,4,201.152995939513,9,7,7.49856997648221,"M",0,0.25,0.995922894283024,"LOW MED","R1"
3,5,194.947557536636,13,11,11.4991239003857,"M",0,0.25,0.992371676119588,"LOW MED","R1"
3,6,60.0250498106679,2,0,0.500921133493279,"M",0,0.25,0.000146143765567258,"LOW MED","R1"
3,7,164.015111989612,6,4,4.4984988478553,"M",0,0.25,0.849103227940812,"LOW MED","R1"
3,8,134.063182386415,4,2,2.50109805509391,"M",0,0.25,0.21190077760699,"LOW MED","R1"
3,9,202.555253180545,9,7,7.50036678976824,"M",0,0.25,0.996462026754707,"LOW MED","R1"
3,10,65.0627511689807,2,0,0.501502366866046,"M",0,0.25,0.000243710988083434,"LOW MED","R1"
3,11,102.369075789043,3,1,1.50108112207117,"M",0,0.25,0.0106500461059244,"LOW MED","R1"
3,12,104.064601982074,3,1,1.49985826499408,"M",0,0.25,0.0126254717668359,"LOW MED","R1"
4,1,93.5221442931712,4,1,1.50062464862748,"M",0,0.25,0.00436512448425631,"LOW MED","R1"
4,2,154.455908018339,6,3,3.50195931543174,"M",0,0.25,0.680705541234362,"LOW MED","R1"
4,3,146.249854220196,6,3,3.4994423945118,"M",0,0.25,0.480968178031084,"LOW MED","R1"
4,4,95.2646863817581,4,1,1.50184178629325,"M",0,0.25,0.00520555683520223,"LOW MED","R1"
4,5,166.363525559207,7,4,4.49963749346128,"M",0,0.25,0.877183497085042,"LOW MED","R1"
4,6,61.9454550936167,3,0,0.499806189178182,"M",0,0.25,0.000177601572772145,"LOW MED","R1"
4,7,159.903743955478,8,5,5.50020272193552,"M",0,0.25,0.787537889882336,"LOW MED","R1"
4,8,210.773742049864,9,6,6.49839611642097,"M",0,0.25,0.998461026865283,"LOW MED","R1"
