"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
29,3,207.889249193561,40,12,12.5009482000086,"FISHED",1.2599146538949,0.25,0.997938443472777,"LOW MED","R1"
29,11,211.290869204397,40,12,12.5006564602545,"FISHED",1.2599146538949,0.25,0.998539631252238,"LOW MED","R1"
31,2,206.935111810219,40,10,10.4993867043141,"FISHED",1.2599146538949,0.25,0.99772921078166,"LOW MED","R1"
31,4,205.114087350447,42,12,12.4995825186813,"FISHED",1.30600740397641,0.25,0.997269296354003,"LOW MED","R1"
31,9,214.511692882786,41,11,11.5000687604373,"FISHED",1.24770086223938,0.25,0.998946541559919,"LOW MED","R1"
33,5,222.89935764597,40,8,8.50067217011683,"FISHED",1.2599146538949,0.25,0.99955019312027,"LOW MED","R1"
33,7,197.518762157198,40,8,8.50028903154639,"FISHED",1.2599146538949,0.25,0.994114086874098,"LOW MED","R1"
33,11,209.757029191176,42,10,10.4999099109421,"FISHED",1.30600740397641,0.25,0.998293955845311,"LOW MED","R1"
35,6,186.950730026635,40,6,6.49999540063369,"FISHED",1.2599146538949,0.25,0.982981555769103,"LOW MED","R1"
36,2,178.361017751595,40,5,5.49969746896783,"FISHED",1.2599146538949,0.25,0.960233770832567,"LOW MED","R1"
36,4,180.975347178677,40,5,5.49987775020138,"FISHED",1.2599146538949,0.25,0.969219144289631,"LOW MED","R1"
36,5,175.232650416854,40,5,5.49963533898629,"FISHED",1.2599146538949,0.25,0.946166782331971,"LOW MED","R1"
36,7,193.34704601208,41,6,6.50033637542136,"FISHED",1.24770086223938,0.25,0.991037701215086,"LOW MED","R1"
37,7,187.658296957003,40,4,4.50164114137907,"FISHED",1.2599146538949,0.25,0.984142585371486,"LOW MED","R1"
38,4,166.187361889347,41,4,4.50197473657549,"FISHED",1.24770086223938,0.25,0.875243521364011,"LOW MED","R1"
38,6,157.131426934299,40,3,3.49898991184167,"FISHED",1.2599146538949,0.25,0.73665755415441,"LOW MED","R1"
39,4,158.274806196243,42,4,4.49975978395656,"FISHED",1.30600740397641,0.25,0.758552122246701,"LOW MED","R1"
39,9,133.392252014439,41,3,3.49885117338945,"FISHED",1.24770086223938,0.25,0.200747820280675,"LOW MED","R1"
39,11,163.229210691833,42,4,4.49970636483504,"FISHED",1.30600740397641,0.25,0.838592188161849,"LOW MED","R1"
39,12,150.405430672065,41,3,3.49965536888585,"FISHED",1.24770086223938,0.25,0.585589372005813,"LOW MED","R1"
39,13,151.657602230585,42,4,4.50018773889177,"FISHED",1.30600740397641,0.25,0.616069310253914,"LOW MED","R1"
40,2,164.492053566276,43,4,4.49896854652804,"FISHED",1.25065253785459,0.25,0.855203458036096,"LOW MED","R1"
40,4,168.693538923146,43,4,4.50040649524542,"FISHED",1.25065253785459,0.25,0.900482444821324,"LOW MED","R1"
40,5,153.277916861265,42,3,3.49855610868361,"FISHED",1.30600740397641,0.25,0.654168167486811,"LOW MED","R1"
40,6,133.481966590474,41,2,2.50163755441157,"FISHED",1.24770086223938,0.25,0.202213316398622,"LOW MED","R1"
40,7,155.027569858301,43,4,4.50040089425199,"FISHED",1.25065253785459,0.25,0.693186340577122,"LOW MED","R1"
40,9,171.024921059837,43,4,4.4999232585996,"FISHED",1.25065253785459,0.25,0.919775995611697,"LOW MED","R1"
40,12,149.136671297447,42,3,3.49954294961132,"FISHED",1.30600740397641,0.25,0.554023617246971,"LOW MED","R1"
41,3,143.759558272497,43,3,3.49928553599449,"FISHED",1.25065253785459,0.25,0.418481584197693,"LOW MED","R1"
41,4,151.601822343436,43,3,3.49980993608713,"FISHED",1.25065253785459,0.25,0.614728865209867,"LOW MED","R1"
41,7,174.475871640397,45,5,5.49952299222241,"FISHED",1.27580801964978,0.25,0.942116174515863,"LOW MED","R1"
41,8,159.572163218628,44,4,4.50033384939989,"FISHED",1.27311602652216,0.25,0.781850277828316,"LOW MED","R1"
41,13,151.055358672533,43,3,3.49820350865777,"FISHED",1.25065253785459,0.25,0.601507472525259,"LOW MED","R1"
41,14,180.037520216465,46,6,6.50006939994274,"FISHED",1.26175880359162,0.25,0.966247907220937,"LOW MED","R1"
42,3,143.979749706313,44,3,3.50077560549629,"FISHED",1.27311602652216,0.25,0.423931865196688,"LOW MED","R1"
42,4,135.400214534646,44,3,3.49926561440586,"FISHED",1.27311602652216,0.25,0.235456307600365,"LOW MED","R1"
42,6,136.826036496929,43,2,2.49876579183311,"FISHED",1.25065253785459,0.25,0.262505477192692,"LOW MED","R1"
42,7,145.882560417307,44,3,3.50120673726395,"FISHED",1.27311602652216,0.25,0.471666312176262,"LOW MED","R1"
42,10,149.158740033653,44,3,3.49810586743911,"FISHED",1.27311602652216,0.25,0.55457718325367,"LOW MED","R1"
42,12,142.714659719641,44,3,3.50125333039837,"FISHED",1.27311602652216,0.25,0.392908969662563,"LOW MED","R1"
43,5,146.765092919986,46,4,4.50035480750784,"FISHED",1.26175880359162,0.25,0.494037613996096,"LOW MED","R1"
43,6,156.736674550925,46,4,4.50185736933626,"FISHED",1.26175880359162,0.25,0.728808881702552,"LOW MED","R1"
43,12,153.6117281537,45,3,3.50026231916619,"FISHED",1.27580801964978,0.25,0.661795193885826,"LOW MED","R1"
44,2,168.070918791234,47,4,4.49961077280008,"FISHED",1.30184943079546,0.25,0.894672247275419,"LOW MED","R1"
