"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,119.171044840103,2,2,2.50108009506461,"M",0,0.25,0.0559595444733398,"MED HIGH","R1"
1,2,156.597580221402,4,4,4.4985085207156,"M",0,0.25,0.726008601423378,"MED HIGH","R1"
1,3,209.378926169004,8,8,8.50101939582755,"M",0,0.25,0.998227306282091,"MED HIGH","R1"
1,4,177.951623785526,6,6,6.49972845963071,"M",0,0.25,0.958615830973266,"MED HIGH","R1"
1,5,61.6983827957182,0,0,0.500074109364221,"M",0,0.25,0.00017320246844248,"MED HIGH","R1"
1,6,219.272035622356,12,12,12.5005671356654,"M",0,0.25,0.999350041375917,"MED HIGH","R1"
1,7,162.217068972682,4,4,4.49897024864577,"M",0,0.25,0.824194055534252,"MED HIGH","R1"
1,8,129.350137699526,2,2,2.50120687483337,"M",0,0.25,0.142823713632261,"MED HIGH","R1"
1,9,128.403073444803,2,2,2.49980182147267,"M",0,0.25,0.131450960833647,"MED HIGH","R1"
1,10,138.234174284257,3,3,3.4973036701106,"M",0,0.25,0.291106704061144,"MED HIGH","R1"
1,11,210.898459446409,9,9,9.49951111812715,"M",0,0.25,0.998480362363238,"MED HIGH","R1"
1,12,172.047933255477,8,8,8.49981612123021,"M",0,0.25,0.927113748866658,"MED HIGH","R1"
2,1,153.596393645533,5,4,4.49883738322615,"M",0,0.25,0.661446626199883,"MED HIGH","R1"
2,2,120.022725858851,3,2,2.49842760925758,"M",0,0.25,0.0607070935422869,"MED HIGH","R1"
2,3,193.554940931234,10,9,9.49956695856221,"M",0,0.25,0.991223252446076,"MED HIGH","R1"
2,4,190.597120665939,7,6,6.50022709165365,"M",0,0.25,0.988185225851923,"MED HIGH","R1"
2,5,189.294121447649,6,5,5.49983915230476,"M",0,0.25,0.986536563049259,"MED HIGH","R1"
2,6,179.39745113816,5,4,4.49999337896766,"M",0,0.25,0.964063035844902,"MED HIGH","R1"
2,7,120.74078515075,3,2,2.50047283779581,"M",0,0.25,0.0649999219522883,"MED HIGH","R1"
2,8,96.2629521631904,2,1,1.50033505621875,"M",0,0.25,0.00575764104038651,"MED HIGH","R1"
2,9,61.9014901670681,1,0,0.500208065790643,"M",0,0.25,0.000176810690264662,"MED HIGH","R1"
2,10,109.722732984978,3,2,2.49892068800211,"M",0,0.25,0.0222078870119014,"MED HIGH","R1"
2,11,100.375350419803,2,1,1.49978529976665,"M",0,0.25,0.00871538729202141,"MED HIGH","R1"
3,1,124.233341333891,4,2,2.50059502216371,"M",0,0.25,0.0901706550372563,"MED HIGH","R1"
3,2,97.5259071873518,3,1,1.49872314478294,"M",0,0.25,0.00654022293709328,"MED HIGH","R1"
3,3,95.3661224617345,3,1,1.49903439091419,"M",0,0.25,0.00525916272224419,"MED HIGH","R1"
3,4,96.872134027783,3,1,1.49950551319623,"M",0,0.25,0.00612275547785902,"MED HIGH","R1"
3,5,151.932737918098,5,3,3.50020115559894,"M",0,0.25,0.622654978574791,"MED HIGH","R1"
3,6,200.770238447596,14,12,12.4993479315697,"M",0,0.25,0.995762014321439,"MED HIGH","R1"
3,7,208.288983246827,14,12,12.4992054719677,"M",0,0.25,0.998020276195298,"MED HIGH","R1"
3,8,132.240303422405,4,2,2.49910201321048,"M",0,0.25,0.182636347267956,"MED HIGH","R1"
3,9,225.362267062915,14,12,12.5000399538349,"M",0,0.25,0.999649677973284,"MED HIGH","R1"
3,10,97.526361299969,3,1,1.50092684180342,"M",0,0.25,0.00654052252263556,"MED HIGH","R1"
4,1,94.1908669539399,4,1,1.49972780929631,"M",0,0.25,0.00467036433582001,"MED HIGH","R1"
4,2,167.359814171041,8,5,5.50000670675789,"M",0,0.25,0.887672121437166,"MED HIGH","R1"
4,3,61.7309075340162,3,0,0.500351415686746,"M",0,0.25,0.000173775283278823,"MED HIGH","R1"
4,4,118.382116839628,5,2,2.50128243793998,"M",0,0.25,0.0518753749806164,"MED HIGH","R1"
4,5,150.101055797328,6,3,3.5016828488663,"M",0,0.25,0.57807049418645,"MED HIGH","R1"
4,6,178.616294567781,7,4,4.49983927744251,"M",0,0.25,0.961211758476594,"MED HIGH","R1"
4,7,64.2718907028863,3,0,0.500341194395216,"M",0,0.25,0.000224910806602456,"MED HIGH","R1"
4,8,63.5707663126873,3,0,0.500236520087623,"M",0,0.25,0.000209459946662406,"MED HIGH","R1"
4,9,186.502492222832,8,5,5.49944895841696,"M",0,0.25,0.982203242825389,"MED HIGH","R1"
4,10,122.784846132118,5,2,2.50060557167054,"M",0,0.25,0.0788103085418794,"MED HIGH","R1"
4,11,184.932683422099,8,5,5.49912550121202,"M",0,0.25,0.979192109221627,"MED HIGH","R1"
5,1,61.3169967208403,4,0,0.50005112036264,"M",0,0.25,0.00016662483552651,"MED HIGH","R1"
5,2,61.5484859473847,4,0,0.499641540538587,"M",0,0.25,0.000170586837945288,"MED HIGH","R1"
5,3,130.789491800087,6,2,2.49991593302066,"M",0,0.25,0.161665004509881,"MED HIGH","R1"
5,4,62.6181400730331,4,0,0.500119526701745,"M",0,0.25,0.000190153081221272,"MED HIGH","R1"
5,5,189.388290382021,11,7,7.49962866118551,"M",0,0.25,0.986662967525165,"MED HIGH","R1"
5,6,186.436462670797,9,5,5.49927223579447,"M",0,0.25,0.982085674654743,"MED HIGH","R1"
5,7,128.864186454118,6,2,2.49918985680294,"M",0,0.25,0.136889075432318,"MED HIGH","R1"
5,8,99.3690672921066,5,1,1.50070347456566,"M",0,0.25,0.00787557841875935,"MED HIGH","R1"
5,9,219.054542026655,11,7,7.49996307447784,"M",0,0.25,0.999335538568316,"MED HIGH","R1"
5,10,172.6620956331,8,4,4.49961686657348,"M",0,0.25,0.931216865352657,"MED HIGH","R1"
5,11,129.540222163934,6,2,2.50118815923163,"M",0,0.25,0.14520281098273,"MED HIGH","R1"
6,1,98.6774660589658,6,1,1.50094453878761,"M",0,0.25,0.00734544878802864,"MED HIGH","R1"
6,2,146.147270297506,8,3,3.50059277740452,"M",0,0.25,0.478368592056387,"MED HIGH","R1"
6,3,274.003855305517,17,12,12.4988507701383,"M",0,0.25,0.999997489443284,"MED HIGH","R1"
6,4,102.674386488707,6,1,1.49982631534061,"M",0,0.25,0.0109816740592274,"MED HIGH","R1"
6,5,146.356379433781,8,3,3.50153317095091,"M",0,0.25,0.483668729596671,"MED HIGH","R1"
6,6,216.132387175389,12,7,7.49866619150799,"M",0,0.25,0.999106236956864,"MED HIGH","R1"
6,7,96.4592388251848,6,1,1.50017584277106,"M",0,0.25,0.00587285807124424,"MED HIGH","R1"
6,8,64.4036799152629,5,0,0.498792197299328,"M",0,0.25,0.000227939843762133,"MED HIGH","R1"
