"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
38,12,190.911144826634,51,14,14.5000016842627,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
40,11,234.810395298572,53,14,14.5002808179618,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
42,7,224.178423652385,54,13,13.5005663388807,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
42,11,161.81115645861,51,10,10.499113140278,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
43,7,188.389762077812,53,11,11.5011408094221,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
44,3,199.705158477037,51,8,8.49858374069805,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
44,5,205.139546492657,56,13,13.4997451000153,"FISHED",0.239889159449376,0.25,1,"MED HIGH","R1"
44,7,234.22711733054,54,11,11.497282981132,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
46,3,194.581332798432,50,5,5.50067230587671,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
46,7,177.220831312792,50,5,5.49967131446644,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
46,9,180.812175182959,51,6,6.49982283923507,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
47,3,171.379365302999,51,5,5.50089741975842,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
47,5,150.762100728388,50,4,4.50002556486155,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
47,8,180.197043535574,51,5,5.49833143676225,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
47,9,191.903481074669,51,5,5.5003746031185,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
48,2,169.490227229498,52,5,5.49910037096718,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
48,6,167.326430404904,51,4,4.50175226772315,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
49,10,134.407403919684,50,2,2.50079773778929,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
49,11,191.194842617342,55,7,7.4985299503531,"FISHED",0.250695749535225,0.25,1,"MED HIGH","R1"
49,13,149.996220203951,51,3,3.49844191569076,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
50,1,179.219500877579,54,5,5.49969211864565,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
50,4,175.303442340331,54,5,5.49941516142913,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
50,8,142.128214900071,53,4,4.49989829058777,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
50,9,96.6408253322241,50,1,1.50056495786791,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
51,1,137.571903902694,53,3,3.49957233141564,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
51,3,62.3898599841135,50,0,0.499220325330399,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
51,4,61.8951476516001,50,0,0.501317522840635,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
51,5,98.4682369015033,51,1,1.50169032717894,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
51,6,62.1669808845395,50,0,0.498834936742601,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
51,8,60.4730770747151,50,0,0.499061235682317,"FISHED",0.201883558207192,0.25,1,"MED HIGH","R1"
51,10,93.8128919123379,51,1,1.49794230902078,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
51,11,165.633305229686,56,6,6.50010122763725,"FISHED",0.239889159449376,0.25,1,"MED HIGH","R1"
52,4,64.5854090839936,51,0,0.500582533444029,"FISHED",0.292261860892177,0.25,1,"MED HIGH","R1"
52,8,99.5435013266789,52,1,1.50001210717472,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
52,10,98.7418287165873,52,1,1.50137169564905,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
52,11,96.0752744123331,52,1,1.50058908051452,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
53,2,64.2846753579732,52,0,0.499632550476233,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
53,3,63.8804035305575,52,0,0.499060250548339,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
53,4,62.1587224874766,52,0,0.497893706661694,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
53,5,98.2653533512616,53,1,1.49956625431121,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
53,6,65.0655390054881,52,0,0.501196654149697,"FISHED",0.269555838708766,0.25,1,"MED HIGH","R1"
53,9,126.597045846635,54,2,2.50126212517558,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
53,13,133.4006382232,54,2,2.50011758652599,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
54,2,63.7070033252669,53,0,0.500701023471322,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
54,3,157.453722955335,57,4,4.49958314178455,"FISHED",0.290756097598933,0.25,1,"MED HIGH","R1"
54,4,94.5044740054283,54,1,1.49906897559172,"FISHED",0.292862975317985,0.25,1,"MED HIGH","R1"
54,7,61.7420007938397,53,0,0.498700132394311,"FISHED",0.205386795173399,0.25,1,"MED HIGH","R1"
