"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,60.2156013674475,0,0,0.501069759695559,0,0.25,0.05,"MED HIGH","R1"
1,2,2,62.7542945580204,0,0,0.500947004170782,0,0.25,0.05,"MED HIGH","R1"
1,3,3,61.8352254153797,0,0,0.502175169072618,0,0.25,0.05,"MED HIGH","R1"
1,4,4,62.4089212488491,0,0,0.501140216420947,0,0.25,0.05,"MED HIGH","R1"
1,5,5,62.9739539604911,0,0,0.498818183861896,0,0.25,0.05,"MED HIGH","R1"
1,6,6,59.9276051927697,0,0,0.500838699594072,0,0.25,0.05,"MED HIGH","R1"
1,7,7,62.4628550049486,0,0,0.49917145617674,0,0.25,0.05,"MED HIGH","R1"
1,8,8,65.0033434921172,0,0,0.5024171989795,0,0.25,0.05,"MED HIGH","R1"
1,9,9,63.8690390818904,0,0,0.499679223238604,0,0.25,0.05,"MED HIGH","R1"
1,10,10,63.6591243438474,0,0,0.499897518698831,0,0.25,0.05,"MED HIGH","R1"
1,11,11,61.0434811223999,0,0,0.498235803356591,0,0.25,0.05,"MED HIGH","R1"
1,12,12,61.1995257952315,0,0,0.498644433486031,0,0.25,0.05,"MED HIGH","R1"
1,13,13,60.0378500275848,0,0,0.499618333359712,0,0.25,0.05,"MED HIGH","R1"
1,2,2,98.6140378499883,1,1,1.49931960462758,0,0.25,0.186605496863371,"MED HIGH","R1"
1,3,3,96.4693975011777,1,1,1.50008122890835,0,0.25,0.186605496863371,"MED HIGH","R1"
1,5,5,99.1296939209448,1,1,1.50018841813028,0,0.25,0.186605496863371,"MED HIGH","R1"
1,6,6,92.0844356718086,1,1,1.50014271955343,0,0.25,0.186605496863371,"MED HIGH","R1"
1,7,7,97.931711761182,1,1,1.49899985233378,0,0.25,0.186605496863371,"MED HIGH","R1"
1,8,8,103.949987225612,1,1,1.50110282030984,0,0.25,0.186605496863371,"MED HIGH","R1"
1,9,9,101.243225996798,1,1,1.49998912557885,0,0.25,0.186605496863371,"MED HIGH","R1"
1,10,10,100.745789392451,1,1,1.49832727656662,0,0.25,0.186605496863371,"MED HIGH","R1"
1,11,11,94.6385619179481,1,1,1.50141468272518,0,0.25,0.186605496863371,"MED HIGH","R1"
1,13,13,92.3354085453415,1,1,1.5016620864433,0,0.25,0.186605496863371,"MED HIGH","R1"
2,14,1,65.3825716846889,1,0,0.499816534664903,0,0.25,0.05,"MED HIGH","R1"
2,15,2,63.6651449618689,1,0,0.499112929178086,0,0.25,0.05,"MED HIGH","R1"
2,16,3,63.8461459953309,1,0,0.502035916970759,0,0.25,0.05,"MED HIGH","R1"
2,17,4,62.0845866590928,1,0,0.500143270638535,0,0.25,0.05,"MED HIGH","R1"
2,18,5,64.7411977094034,1,0,0.49810726934729,0,0.25,0.05,"MED HIGH","R1"
2,19,6,60.9690541999035,1,0,0.499143211466605,0,0.25,0.05,"MED HIGH","R1"
2,20,7,64.8595918710322,1,0,0.499552205290403,0,0.25,0.05,"MED HIGH","R1"
2,21,8,63.1970072795911,1,0,0.500192801898895,0,0.25,0.05,"MED HIGH","R1"
2,22,9,62.8567736237164,1,0,0.500411504495326,0,0.25,0.05,"MED HIGH","R1"
2,23,10,62.3772443784202,1,0,0.499235852043725,0,0.25,0.05,"MED HIGH","R1"
1,2,2,126.347518723116,2,2,2.50112440803488,0,0.25,0.5,"MED HIGH","R1"
1,3,3,122.86274723898,2,2,2.50067101568753,0,0.25,0.5,"MED HIGH","R1"
1,5,5,127.189971982975,2,2,2.49927717446672,0,0.25,0.5,"MED HIGH","R1"
1,6,6,115.833905162795,2,2,2.49998010186971,0,0.25,0.5,"MED HIGH","R1"
1,7,7,125.235491698157,2,2,2.49982985869432,0,0.25,0.5,"MED HIGH","R1"
1,9,9,130.661411979777,2,2,2.50128428917106,0,0.25,0.5,"MED HIGH","R1"
1,10,10,129.841716243357,2,2,2.49997567808914,0,0.25,0.5,"MED HIGH","R1"
1,11,11,119.912256667185,2,2,2.49922564931064,0,0.25,0.5,"MED HIGH","R1"
1,13,13,116.232694438267,2,2,2.50095282785287,0,0.25,0.5,"MED HIGH","R1"
2,14,1,104.862003329326,2,1,1.49989371412529,0,0.25,0.186605496863371,"MED HIGH","R1"
