"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,65.7798958034519,0,0,0.499613408244004,0,0.25,0.05,"MED LOW","R1"
1,2,2,61.2540127211478,0,0,0.499527228710123,0,0.25,0.05,"MED LOW","R1"
1,3,3,61.9242542169522,0,0,0.499240602365347,0,0.25,0.05,"MED LOW","R1"
1,4,4,61.9923584414657,0,0,0.49994301386996,0,0.25,0.05,"MED LOW","R1"
1,4,4,96.8345906340872,1,1,1.49915203789864,0,0.25,0.186605496863371,"MED LOW","R1"
1,5,5,62.5004140964164,0,0,0.499022881945369,0,0.25,0.05,"MED LOW","R1"
1,6,6,62.6779323938427,0,0,0.5009636995613,0,0.25,0.05,"MED LOW","R1"
1,7,7,61.6207444971628,0,0,0.502079821289609,0,0.25,0.05,"MED LOW","R1"
1,7,7,95.9719043127246,1,1,1.49943457106608,0,0.25,0.186605496863371,"MED LOW","R1"
1,7,7,122.05878187814,2,2,2.49893230730441,0,0.25,0.5,"MED LOW","R1"
1,7,7,141.869617517077,3,3,3.50173734378988,0,0.25,0.813394503136629,"MED LOW","R1"
1,7,7,156.914316052915,4,4,4.50214327933608,0,0.25,0.95,"MED LOW","R1"
1,7,7,168.339525880479,5,5,5.5001923324502,0,0.25,0.98806954215117,"MED LOW","R1"
1,7,7,177.016032045952,6,6,6.49970672010771,0,0.25,0.997237569060774,"MED LOW","R1"
1,7,7,183.605124095522,7,7,7.50083845791494,0,0.25,0.999364902956742,"MED LOW","R1"
1,7,7,188.608996992021,8,8,8.5009621489427,0,0.25,0.999854227405248,"MED LOW","R1"
1,7,7,192.409026461324,9,9,9.50257582767886,0,0.25,0.999966553716173,"MED LOW","R1"
1,7,7,195.294835966533,10,10,10.5009411885552,0,0.25,0.999992326698485,"MED LOW","R1"
1,7,7,197.486370681625,11,11,11.4985313032085,0,0.25,0.999998239613493,"MED LOW","R1"
1,8,8,66.6384685600811,0,0,0.500255085913537,0,0.25,0.05,"MED LOW","R1"
1,8,8,107.907651633525,1,1,1.49934936872274,0,0.25,0.186605496863371,"MED LOW","R1"
1,9,9,61.8822412376457,0,0,0.499108147022367,0,0.25,0.05,"MED LOW","R1"
1,9,9,96.5786032488469,1,1,1.50027536223982,0,0.25,0.186605496863371,"MED LOW","R1"
1,10,10,61.9548362820151,0,0,0.500229339978394,0,0.25,0.05,"MED LOW","R1"
