"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,5,5,120.49497129604,2,2,2.50029314765879,0,0.25,0.0634994652100906,"MED MED","R1"
1,2,2,138.562510922928,3,3,3.49889269231504,0,0.25,0.298033803449351,"MED MED","R1"
1,6,6,146.56702915142,3,3,3.50013721794385,0,0.25,0.489011629527418,"MED MED","R1"
1,8,8,154.208470037124,3,3,3.49853213845987,0,0.25,0.675220564739948,"MED MED","R1"
2,12,1,124.614388159443,3,2,2.49938525868184,0,0.25,0.0933953917445824,"MED MED","R1"
1,6,6,162.829400553714,4,4,4.50149915945892,0,0.25,0.833021819832974,"MED MED","R1"
1,11,11,150.283425794296,4,4,4.50042501737245,0,0.25,0.582580103333037,"MED MED","R1"
2,12,1,145.394070316234,4,3,3.50040965854667,0,0.25,0.459326608735372,"MED MED","R1"
2,15,4,153.171234411854,4,3,3.50152355624249,0,0.25,0.651713608370347,"MED MED","R1"
2,21,10,157.145134793415,4,3,3.49960594790479,0,0.25,0.736927463306439,"MED MED","R1"
2,22,11,136.699590596712,4,3,3.50063419921606,0,0.25,0.260027608041132,"MED MED","R1"
3,26,2,135.497002029044,4,2,2.50067807195183,0,0.25,0.237229939301567,"MED MED","R1"
3,29,5,141.85454260846,4,2,2.50050225485343,0,0.25,0.372284070834558,"MED MED","R1"
1,6,6,175.360007641741,5,5,5.49920143755315,0,0.25,0.946821632251851,"MED MED","R1"
1,8,8,186.992264435176,5,5,5.49939989579094,0,0.25,0.983051959149585,"MED MED","R1"
1,11,11,160.526658956367,5,5,5.50042747744504,0,0.25,0.797927929048967,"MED MED","R1"
2,12,1,161.34830682667,5,4,4.49866865257922,0,0.25,0.811045470897325,"MED MED","R1"
2,15,4,171.21863620294,5,4,4.50080126464714,0,0.25,0.921215356533128,"MED MED","R1"
2,20,9,155.181108420842,5,4,4.50056503107857,0,0.25,0.696491801214242,"MED MED","R1"
2,24,13,161.824564688601,5,4,4.4998654036535,0,0.25,0.818344790408454,"MED MED","R1"
3,26,2,160.636406093016,5,3,3.50070519416418,0,0.25,0.799718633304084,"MED MED","R1"
3,29,5,169.712794888404,5,3,3.50120784077055,0,0.25,0.909379668727734,"MED MED","R1"
3,30,6,150.316215891638,5,3,3.49841494173041,0,0.25,0.583389490427808,"MED MED","R1"
3,31,7,151.060253901919,5,3,3.50027122201901,0,0.25,0.601626601360981,"MED MED","R1"
3,36,12,148.810811935097,5,3,3.49991303753552,0,0.25,0.545834969959359,"MED MED","R1"
4,44,8,125.21890199547,5,2,2.49940645341918,0,0.25,0.0987237126281806,"MED MED","R1"
1,6,6,185.015187080846,6,6,6.49945896019217,0,0.25,0.979362102361349,"MED MED","R1"
