"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.7755058100477,0,0,0.498870362747609,0,0.25,0.000193215103344339,"MED MED","R1"
1,1,1,98.6637799310912,1,1,1.49992589181794,0,0.25,0.00733532357084546,"MED MED","R1"
1,2,2,60.3547250854918,0,0,0.49955979913915,0,0.25,0.000151117634974416,"MED MED","R1"
1,3,3,63.3502552705355,0,0,0.499189661072788,0,0.25,0.000204823403715252,"MED MED","R1"
1,3,3,100.015834683429,1,1,1.49975729857259,0,0.25,0.00840561618285846,"MED MED","R1"
1,3,3,128.641835242985,2,2,2.50211387583241,0,0.25,0.134243528096516,"MED MED","R1"
1,4,4,65.2361737412291,0,0,0.501084133275154,0,0.25,0.000248039181891577,"MED MED","R1"
1,4,4,104.509506892186,1,1,1.50023129852193,0,0.25,0.0132011687519558,"MED MED","R1"
1,4,4,136.084262386519,2,2,2.49958433478776,0,0.25,0.248187806919139,"MED MED","R1"
1,5,5,61.3175353379329,0,0,0.500401859619983,0,0.25,0.000166633946482032,"MED MED","R1"
1,5,5,95.2705385128908,1,1,1.5001583544628,0,0.25,0.00520863468087702,"MED MED","R1"
1,5,5,120.92817441541,2,2,2.49930313365741,0,0.25,0.0661658449467874,"MED MED","R1"
1,5,5,140.317159734734,3,3,3.49883768198499,0,0.25,0.336590660941321,"MED MED","R1"
1,5,5,154.969045556999,4,4,4.49880650745048,0,0.25,0.691921129359951,"MED MED","R1"
1,6,6,61.7684017927271,0,0,0.501112106810897,0,0.25,0.000174437970337137,"MED MED","R1"
1,6,6,96.3142770430959,1,1,1.50077576972654,0,0.25,0.00578754910848213,"MED MED","R1"
1,7,7,62.9736509384957,0,0,0.501138536808451,0,0.25,0.000197140823427321,"MED MED","R1"
1,7,7,99.1289817498749,1,1,1.49885941636871,0,0.25,0.00768737867999419,"MED MED","R1"
1,7,7,127.188807252812,2,2,2.50166688118023,0,0.25,0.118003112862925,"MED MED","R1"
1,8,8,61.0036746776022,0,0,0.501354406166703,0,0.25,0.000161408380197651,"MED MED","R1"
1,8,8,94.5469211289381,1,1,1.49796941781953,0,0.25,0.00484145937734983,"MED MED","R1"
1,8,8,119.765165179084,2,2,2.49768731583654,0,0.25,0.0592329510214318,"MED MED","R1"
1,8,8,138.724565364017,3,3,3.49889673465757,0,0.25,0.301487490652995,"MED MED","R1"
1,9,9,64.9995450182735,0,0,0.498990282636469,0,0.25,0.000242152365214026,"MED MED","R1"
1,10,10,64.7115309665236,0,0,0.499896369618126,0,0.25,0.000235175339933878,"MED MED","R1"
1,10,10,103.250612689574,1,1,1.50071365021412,0,0.25,0.0116356314660448,"MED MED","R1"
1,10,10,133.985865582452,2,2,2.4989596507456,0,0.25,0.210592775101421,"MED MED","R1"
1,10,10,158.497497104388,3,3,3.49861872622782,0,0.25,0.762668981325708,"MED MED","R1"
1,11,11,61.6147465531324,0,0,0.499488764611498,0,0.25,0.000171738148770563,"MED MED","R1"
1,11,11,95.9580082477287,1,1,1.49891913397994,0,0.25,0.00558308626932761,"MED MED","R1"
1,11,11,122.036349220538,2,2,2.49901631191457,0,0.25,0.0734666252930549,"MED MED","R1"
1,11,11,141.838774335014,3,3,3.50000280425316,0,0.25,0.371910014148247,"MED MED","R1"
1,11,11,156.875621994277,4,4,4.49828403572218,0,0.25,0.731588194533759,"MED MED","R1"
1,11,11,168.293758218541,5,5,5.49909883096467,0,0.25,0.896785367185259,"MED MED","R1"
1,11,11,176.964048547348,6,6,6.50068098717065,0,0.25,0.954449847254685,"MED MED","R1"
1,11,11,183.547779281445,7,7,7.501057801158,0,0.25,0.976125563906134,"MED MED","R1"
1,11,11,188.547094037387,8,8,8.50072249010079,0,0.25,0.985491063393669,"MED MED","R1"
1,11,11,192.343292429817,9,9,9.50161893656605,0,0.25,0.990085690065505,"MED MED","R1"
1,11,11,195.225911936334,10,10,10.4989785110415,0,0.25,0.992582672937605,"MED MED","R1"
1,11,11,197.414811029678,11,11,11.5011453330852,0,0.25,0.994052007033254,"MED MED","R1"
1,12,12,64.0888295242782,0,0,0.501218425682152,0,0.25,0.000220769995087185,"MED MED","R1"
2,13,1,63.2991561920646,1,0,0.499747184744526,0,0.25,0.000203763704564326,"MED MED","R1"
2,13,1,99.8952981879391,2,1,1.50004958209746,0,0.25,0.0083042212327536,"MED MED","R1"
2,13,1,128.444040367649,3,2,2.49905218618035,0,0.25,0.13192658252935,"MED MED","R1"
2,13,1,150.714985762261,4,3,3.4986228342821,0,0.25,0.593195510298591,"MED MED","R1"
2,13,1,168.08860613571,5,4,4.50036803846587,0,0.25,0.894841356055695,"MED MED","R1"
2,13,1,181.641810974233,6,5,5.50196240430432,0,0.25,0.971175051914448,"MED MED","R1"
2,13,1,192.214700069685,7,6,6.49963080418513,0,0.25,0.989956705827412,"MED MED","R1"
2,13,1,200.46263737725,8,7,7.50005071534107,0,0.25,0.99562815502608,"MED MED","R1"
2,13,1,206.896873962479,9,8,8.49892205429436,0,0.25,0.997720397716208,"MED MED","R1"
2,13,1,211.916238064183,10,9,9.50144744509134,0,0.25,0.998629351986076,"MED MED","R1"
2,14,2,63.0278528869954,1,0,0.500419024847779,0,0.25,0.000198228514319646,"MED MED","R1"
2,15,3,62.9048371167255,1,0,0.500701806818964,0,0.25,0.000195768503127068,"MED MED","R1"
2,15,3,98.9673121285395,2,1,1.50121210215009,0,0.25,0.00756316924154231,"MED MED","R1"
2,15,3,126.924489741144,3,2,2.4995493287235,0,0.25,0.115238491365808,"MED MED","R1"
2,15,3,148.598093114365,4,3,3.49982915333202,0,0.25,0.540475784786398,"MED MED","R1"
2,15,3,165.400400188735,5,4,4.50076070755048,0,0.25,0.866254082131109,"MED MED","R1"
2,15,3,178.426269406691,6,5,5.50105541199494,0,0.25,0.960485981640907,"MED MED","R1"
2,15,3,188.5244819993,7,6,6.49994225703483,0,0.25,0.98545819967583,"MED MED","R1"
2,15,3,196.353049587324,8,7,7.4996523579262,0,0.25,0.993379438474343,"MED MED","R1"
2,15,3,202.422091006111,9,8,8.50071504363974,0,0.25,0.996414040260856,"MED MED","R1"
2,16,4,61.9229646239092,1,0,0.500543853223524,0,0.25,0.000177196552121016,"MED MED","R1"
2,17,5,64.1368920381573,1,0,0.499777189702942,0,0.25,0.000221849724221923,"MED MED","R1"
2,17,5,101.879536380306,2,1,1.50116132877439,0,0.25,0.0101388711438352,"MED MED","R1"
2,17,5,131.712334512356,3,2,2.50039895618697,0,0.25,0.174769750706822,"MED MED","R1"
2,17,5,155.292978102654,4,3,3.50003218909239,0,0.25,0.698887490818665,"MED MED","R1"
2,17,5,173.93175109577,5,4,4.49746147052279,0,0.25,0.939028812611392,"MED MED","R1"
2,18,6,59.7977772896493,1,0,0.501391390211287,0,0.25,0.000142810510047461,"MED MED","R1"
2,18,6,91.7892659711905,2,1,1.49872618267603,0,0.25,0.00366345958494787,"MED MED","R1"
2,18,6,115.365435464247,3,2,2.49943532295506,0,0.25,0.0387191396234231,"MED MED","R1"
2,18,6,132.739924457191,4,3,3.50029883711389,0,0.25,0.19033122679562,"MED MED","R1"
2,18,6,145.544076881308,5,4,4.49888083447518,0,0.25,0.463111314720197,"MED MED","R1"
2,18,6,154.980113783839,6,5,5.49835052482624,0,0.25,0.692160630406272,"MED MED","R1"
2,19,7,62.3896943432252,1,0,0.500516926830391,0,0.25,0.000185794116454161,"MED MED","R1"
2,19,7,97.7607547968908,2,1,1.49992970967231,0,0.25,0.00669698937639589,"MED MED","R1"
2,20,8,63.7173841302786,1,0,0.500054083131569,0,0.25,0.000212600719465565,"MED MED","R1"
2,20,8,100.883739178386,2,1,1.49991255728262,0,0.25,0.00917283556985565,"MED MED","R1"
2,20,8,130.068871256255,3,2,2.50070145652199,0,0.25,0.15199256817935,"MED MED","R1"
2,20,8,152.98669392948,4,3,3.49842798622093,0,0.25,0.647448667017681,"MED MED","R1"
2,21,9,59.4019521010503,1,0,0.498970638598055,0,0.25,0.000137185661210223,"MED MED","R1"
2,22,10,64.2920848049739,1,0,0.49969773435628,0,0.25,0.000225372322692965,"MED MED","R1"
2,22,10,102.249020799427,2,1,1.50087873556217,0,0.25,0.0105223734124081,"MED MED","R1"
2,22,10,132.323797415579,3,2,2.50055103861492,0,0.25,0.183905254052123,"MED MED","R1"
2,22,10,156.153228448779,4,3,3.50000919904248,0,0.25,0.716943204449235,"MED MED","R1"
2,22,10,175.034225990788,5,4,4.50128731049916,0,0.25,0.945131343851946,"MED MED","R1"
2,23,11,64.9610554222586,1,0,0.501194989957975,0,0.25,0.000241208122725793,"MED MED","R1"
2,23,11,103.848507184078,2,1,1.4972243601312,0,0.25,0.0123548630489061,"MED MED","R1"
2,23,11,134.981173116217,3,2,2.49955269022958,0,0.25,0.227883646133037,"MED MED","R1"
2,23,11,159.905482736159,4,3,3.49904582187143,0,0.25,0.78756742782672,"MED MED","R1"
2,23,11,179.859482544105,5,4,4.50045376113163,0,0.25,0.965653382887162,"MED MED","R1"
3,24,1,64.007002104331,2,0,0.499047672257722,0,0.25,0.000218943806892985,"MED MED","R1"
3,24,1,101.570749539414,3,1,1.50053937318546,0,0.25,0.00982900582959332,"MED MED","R1"
3,24,1,131.202011795829,4,2,2.50243551056244,0,0.25,0.167422281663451,"MED MED","R1"
3,24,1,154.575923156132,5,3,3.50124236254822,0,0.25,0.683348136427116,"MED MED","R1"
3,24,1,173.013873168236,6,4,4.50041167426803,0,0.25,0.933469662624695,"MED MED","R1"
3,25,2,61.0886212739534,2,0,0.500717512253965,0,0.25,0.000162806293103419,"MED MED","R1"
3,25,2,94.7425290077966,3,1,1.50058159678123,0,0.25,0.00493809496545445,"MED MED","R1"
3,26,3,62.2890716539289,2,0,0.49885638012705,0,0.25,0.000183905968711858,"MED MED","R1"
3,26,3,97.5258418998527,3,1,1.50094922130226,0,0.25,0.00654017986698009,"MED MED","R1"
3,27,4,62.4958651515655,2,0,0.500650390496996,0,0.25,0.000187807390853882,"MED MED","R1"
3,27,4,98.0088908667379,3,1,1.49922474688276,0,0.25,0.00686668235833679,"MED MED","R1"
3,27,4,125.361119259416,4,2,2.50011491255417,0,0.25,0.100015980245799,"MED MED","R1"
3,27,4,146.427879496789,5,3,3.50093811540458,0,0.25,0.485481893262261,"MED MED","R1"
3,27,4,162.653555172186,6,4,4.49954254511697,0,0.25,0.83052360406421,"MED MED","R1"
3,27,4,175.150614433159,7,5,5.49856598633603,0,0.25,0.945740947263125,"MED MED","R1"
3,27,4,184.775883253803,8,6,6.49963159010866,0,0.25,0.978865247782056,"MED MED","R1"
3,27,4,192.189291315248,9,7,7.49990536955391,0,0.25,0.989931023795909,"MED MED","R1"
3,28,5,63.7339809843573,2,0,0.499672270286396,0,0.25,0.000212959202444055,"MED MED","R1"
3,28,5,100.923053165549,3,1,1.49934141054517,0,0.25,0.00920918555976587,"MED MED","R1"
3,28,5,130.133630701271,4,2,2.4995646972009,0,0.25,0.152841989227753,"MED MED","R1"
3,28,5,153.07740934176,5,3,3.50093941634957,0,0.25,0.649548191132174,"MED MED","R1"
3,28,5,171.098859881723,6,4,4.4991520200348,0,0.25,0.920328193835053,"MED MED","R1"
3,28,5,185.254012119427,7,5,5.49867890566705,0,0.25,0.97984655697112,"MED MED","R1"
3,28,5,196.372336608806,8,6,6.49975200319116,0,0.25,0.993392304967144,"MED MED","R1"
3,29,6,63.8061982005467,2,0,0.499132748955889,0,0.25,0.000214526104023065,"MED MED","R1"
3,30,7,62.444435623527,2,0,0.50011218699367,0,0.25,0.000186829444044434,"MED MED","R1"
3,30,7,97.8886581504287,3,1,1.49921498594171,0,0.25,0.00678393201906827,"MED MED","R1"
3,30,7,125.165428866121,4,2,2.50072377672387,0,0.25,0.0982416833892458,"MED MED","R1"
3,30,7,146.156782819837,5,3,3.49906305112244,0,0.25,0.478609602398986,"MED MED","R1"
3,30,7,162.311075620953,6,4,4.50007714391714,0,0.25,0.825572791470015,"MED MED","R1"
3,30,7,174.742916677016,7,5,5.49966973352886,0,0.25,0.943577171621806,"MED MED","R1"
3,30,7,184.310074704049,8,6,6.49910778143023,0,0.25,0.977864330565941,"MED MED","R1"
3,30,7,191.672661814151,9,7,7.50100981940338,0,0.25,0.989394512661378,"MED MED","R1"
3,30,7,197.338679747656,10,8,8.49919894454633,0,0.25,0.994006128788288,"MED MED","R1"
3,31,8,62.1410380684397,2,0,0.500250475945232,0,0.25,0.000181162990997764,"MED MED","R1"
3,31,8,97.1806975594228,3,1,1.4979152906705,0,0.25,0.00631638207390799,"MED MED","R1"
3,31,8,124.015112737927,4,2,2.49957230947221,0,0.25,0.0883693059784953,"MED MED","R1"
3,31,8,144.565707362218,5,3,3.49988184559597,0,0.25,0.438522760661524,"MED MED","R1"
3,31,8,160.303964991555,6,4,4.49914877209373,0,0.25,0.794257644000523,"MED MED","R1"
3,31,8,172.356791575689,7,5,5.50220477708167,0,0.25,0.929204628786708,"MED MED","R1"
3,31,8,181.587205264965,8,6,6.50103961915461,0,0.25,0.971019439749236,"MED MED","R1"
3,31,8,188.656131070912,9,7,7.49818778694972,0,0.25,0.985648510421785,"MED MED","R1"
3,31,8,194.069725058366,10,8,8.49937002240287,0,0.25,0.991666481981045,"MED MED","R1"
3,32,9,62.2065052011615,2,0,0.499862875582806,0,0.25,0.000182370978212657,"MED MED","R1"
3,32,9,97.3332693478743,3,1,1.50039351441274,0,0.25,0.00641435828984563,"MED MED","R1"
3,32,9,124.262732870048,4,2,2.50156537216413,0,0.25,0.0904157775269812,"MED MED","R1"
3,32,9,144.907845598428,5,3,3.49873553933362,0,0.25,0.44709343861916,"MED MED","R1"
3,33,10,63.8611685091342,2,0,0.500194401344834,0,0.25,0.000215726519821451,"MED MED","R1"
3,33,10,101.224555440929,3,1,1.49880514135048,0,0.25,0.00949274124711297,"MED MED","R1"
3,33,10,130.630616327412,4,2,2.49923307026648,0,0.25,0.159490692486695,"MED MED","R1"
3,33,10,153.77403259313,5,3,3.50245690028051,0,0.25,0.665473705617736,"MED MED","R1"
3,33,10,171.988567294529,6,4,4.49905725038252,0,0.25,0.92670539291182,"MED MED","R1"
3,33,10,186.323930344619,7,5,5.49947900064792,0,0.25,0.98188354701118,"MED MED","R1"
3,34,11,65.236141284373,2,0,0.498485525811484,0,0.25,0.000248038364701942,"MED MED","R1"
3,34,11,104.509428801258,3,1,1.50115537108002,0,0.25,0.0132010654652378,"MED MED","R1"
3,34,11,136.084131897641,4,2,2.49841826820902,0,0.25,0.248185334816982,"MED MED","R1"
3,34,11,161.469373079606,5,3,3.49956223406528,0,0.25,0.812922052271009,"MED MED","R1"
3,35,12,62.2543412140709,2,0,0.497858098582062,0,0.25,0.000183258728368415,"MED MED","R1"
3,35,12,97.4448184364531,3,1,1.50043155422651,0,0.25,0.00648694532814685,"MED MED","R1"
3,35,12,124.443872711863,4,2,2.4992515762411,0,0.25,0.0919397503697216,"MED MED","R1"
3,35,12,145.158253115403,5,3,3.49970656707665,0,0.25,0.453386516547018,"MED MED","R1"
3,36,13,62.2417316599547,2,0,0.500924650908336,0,0.25,0.000183024299286842,"MED MED","R1"
4,37,1,61.8867361316856,3,0,0.501181784137519,0,0.25,0.000176546070686755,"MED MED","R1"
4,37,1,96.5890465931962,4,1,1.50018842676149,0,0.25,0.00595030923003052,"MED MED","R1"
4,37,1,123.056351684028,5,2,2.49931339221916,0,0.25,0.0808350032304505,"MED MED","R1"
4,38,2,67.1954151631059,3,0,0.500204652438745,0,0.25,0.000302614154635428,"MED MED","R1"
4,38,2,109.2707338468,4,1,1.50116568790317,0,0.25,0.0212328941356186,"MED MED","R1"
4,38,2,144.114156537005,5,2,2.50039187414222,0,0.25,0.427267973440328,"MED MED","R1"
4,38,2,172.968699835777,6,3,3.50058369821536,0,0.25,0.933184251986973,"MED MED","R1"
4,38,2,196.863730940595,7,4,4.49988364450225,0,0.25,0.993711867760879,"MED MED","R1"
4,38,2,216.651689654344,8,5,5.50130769444905,0,0.25,0.999152101804129,"MED MED","R1"
4,39,3,64.6334795325052,3,0,0.498990203996524,0,0.25,0.000233319433036733,"MED MED","R1"
4,39,3,103.06390594884,4,1,1.49955866352203,0,0.25,0.0114196300548197,"MED MED","R1"
4,39,3,133.675538660946,5,2,2.4996023546254,0,0.25,0.20540249594166,"MED MED","R1"
4,39,3,158.059136364213,6,3,3.49957585131485,0,0.25,0.754518909476407,"MED MED","R1"
4,39,3,177.481812787468,7,4,4.49988595894234,0,0.25,0.95668150938283,"MED MED","R1"
4,39,3,192.952883301066,8,5,5.49988020575333,0,0.25,0.990675166110279,"MED MED","R1"
4,39,3,205.276314821047,9,6,6.49984416318274,0,0.25,0.997313786471561,"MED MED","R1"
4,40,4,63.6420002629825,3,0,0.498843799413763,0,0.25,0.000210980047562791,"MED MED","R1"
4,40,4,100.705258237315,4,1,1.4977923462611,0,0.25,0.00900959039404307,"MED MED","R1"
4,40,4,129.774999568446,5,2,2.49861836268027,0,0.25,0.148186591577396,"MED MED","R1"
4,40,4,152.575204063261,6,3,3.49936806775629,0,0.25,0.637854406109878,"MED MED","R1"
4,40,4,170.45803690597,7,4,4.50031246232121,0,0.25,0.915425043396265,"MED MED","R1"
4,40,4,184.484038758408,8,5,5.49880822830857,0,0.25,0.978243448096417,"MED MED","R1"
4,40,4,195.485021080112,9,6,6.49945771830784,0,0.25,0.992773871617387,"MED MED","R1"
4,41,5,62.5075606169423,3,0,0.497884877316159,0,0.25,0.000188030496704946,"MED MED","R1"
4,41,5,98.0362417983716,4,1,1.50127139816438,0,0.25,0.00688564618862403,"MED MED","R1"
4,41,5,125.405649021268,5,2,2.50026989793096,0,0.25,0.10042368378402,"MED MED","R1"
4,41,5,146.489585346049,6,3,3.49970592744036,0,0.25,0.487046995375583,"MED MED","R1"
4,41,5,162.731529036213,7,4,4.49978951665228,0,0.25,0.831635022545964,"MED MED","R1"
4,41,5,175.243459008434,8,5,5.50088728647281,0,0.25,0.946222652382785,"MED MED","R1"
4,41,5,184.881984705613,9,6,6.5001232486691,0,0.25,0.979086968945484,"MED MED","R1"
4,41,5,192.306992503886,10,7,7.50102749770141,0,0.25,0.990049446556056,"MED MED","R1"
4,41,5,198.026823786853,11,8,8.4998794268055,0,0.25,0.994408357047481,"MED MED","R1"
4,41,5,202.433077732232,12,9,9.4982600090207,0,0.25,0.996418023878396,"MED MED","R1"
4,42,6,62.7191467025704,3,0,0.500404010837943,0,0.25,0.000192112842668537,"MED MED","R1"
