"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
27,1,1.49907018313665,16.3944199723054,"HIGH HIGH",0,"early","high","R2"
63,0,0.499711077069218,5.00117396311691,"HIGH HIGH",0.371167027251795,"early","high","R2"
93,0,0.501230778140533,4.9717310961265,"HIGH HIGH",0.306293880613521,"late","high","R2"
24,0,0.499496302453794,4.91252524542906,"HIGH HIGH",0,"early","high","R2"
48,4,4.49922319851178,29.1002357180772,"HIGH HIGH",0,"early","high","R2"
2,0,0.499981777074276,4.89799968552632,"HIGH HIGH",0,"early","high","R2"
80,0,0.498634032520233,5.05128313410857,"HIGH HIGH",0.314082479826175,"late","high","R2"
31,1,1.49869093200492,16.3870754480784,"HIGH HIGH",0,"early","high","R2"
98,0,0.500138383010361,5.0252798244686,"HIGH HIGH",0.352503335336223,"late","high","R2"
62,1,1.50127498833673,16.4814786891162,"HIGH HIGH",0.390631312597543,"early","high","R2"
30,0,0.499533262763877,4.90712833882704,"HIGH HIGH",0,"early","high","R2"
86,0,0.500801208891914,4.89195681397193,"HIGH HIGH",0.38170918149408,"late","high","R2"
71,0,0.501497127264849,4.9720177011563,"HIGH HIGH",0.362296364153735,"early","high","R2"
26,2,2.49880657953019,23.2538762976477,"HIGH HIGH",0,"early","high","R2"
23,0,0.500154057722715,5.18098694278433,"HIGH HIGH",0,"early","high","R2"
67,0,0.501146739356631,4.82781057713945,"HIGH HIGH",0.39129870031029,"early","high","R2"
21,2,2.50151281827085,22.6485191282413,"HIGH HIGH",0,"early","high","R2"
31,4,4.50039155075238,31.3598088320113,"HIGH HIGH",0,"early","high","R2"
43,4,4.49863253116944,28.2076309058081,"HIGH HIGH",0,"early","high","R2"
38,6,6.50171847042458,32.7781571436784,"HIGH HIGH",0,"early","high","R2"
28,2,2.49901699452626,22.3942149722556,"HIGH HIGH",0,"early","high","R2"
5,0,0.501667025097866,4.94862658322543,"HIGH HIGH",0,"early","high","R2"
83,0,0.500426348947768,5.27451553921589,"HIGH HIGH",0.308756916970015,"late","high","R2"
7,3,3.49986425107382,27.5556407819128,"HIGH HIGH",0,"early","high","R2"
29,9,9.50064897241505,33.5125401375536,"HIGH HIGH",0,"early","high","R2"
29,7,7.49976519579069,36.3612739398845,"HIGH HIGH",0,"early","high","R2"
15,7,7.50030570733935,34.3836341452442,"HIGH HIGH",0,"early","high","R2"
36,4,4.50147545246026,30.8117006830794,"HIGH HIGH",0,"early","high","R2"
48,5,5.50143641455117,31.9160148421872,"HIGH HIGH",0,"early","high","R2"
14,0,0.500454173888132,5.06863062115412,"HIGH HIGH",0,"early","high","R2"
4,2,2.50068210633021,22.9171803206232,"HIGH HIGH",0,"early","high","R2"
56,0,0.499439966516305,4.75979695210688,"HIGH HIGH",0.366315930150449,"early","high","R2"
70,0,0.500223696051589,4.75588895164623,"HIGH HIGH",0.318331699119881,"early","high","R2"
52,7,7.50176469323434,33.1960756376349,"HIGH HIGH",0.374601459573023,"early","high","R2"
49,7,7.50161818125326,34.381276636835,"HIGH HIGH",0,"early","high","R2"
30,0,0.50037851585723,4.96228592003077,"HIGH HIGH",0,"early","high","R2"
99,1,1.49899270617341,15.9201732022018,"HIGH HIGH",0.361673879693262,"late","high","R2"
46,2,2.49922590139554,21.7668732809324,"HIGH HIGH",0,"early","high","R2"
20,1,1.49839037552489,15.3665218972683,"HIGH HIGH",0,"early","high","R2"
3,1,1.49959189720779,15.1698493837027,"HIGH HIGH",0,"early","high","R2"
44,1,1.49974196078776,15.791827385394,"HIGH HIGH",0,"early","high","R2"
38,0,0.50062671607863,4.8189083881945,"HIGH HIGH",0,"early","high","R2"
32,5,5.50034478760998,32.507720248077,"HIGH HIGH",0,"early","high","R2"
42,1,1.50034372810218,16.1005456212761,"HIGH HIGH",0,"early","high","R2"
48,2,2.50135507682478,22.1466940665097,"HIGH HIGH",0,"early","high","R2"
22,1,1.49943004835336,16.0049286459022,"HIGH HIGH",0,"early","high","R2"
35,2,2.49989029793949,22.2715171563271,"HIGH HIGH",0,"early","high","R2"
29,2,2.49869480503025,23.658337442855,"HIGH HIGH",0,"early","high","R2"
14,0,0.500065433563031,5.00542128977866,"HIGH HIGH",0,"early","high","R2"
30,1,1.4989288001424,15.8417719816005,"HIGH HIGH",0,"early","high","R2"
94,0,0.499573662671833,4.92597647633612,"HIGH HIGH",0.309713645023294,"late","high","R2"
23,2,2.49940536831896,21.9091170681685,"HIGH HIGH",0,"early","high","R2"
85,1,1.49835569210925,16.2209019726248,"HIGH HIGH",0.365296990307979,"late","high","R2"
8,0,0.500075913592008,5.14516184158674,"HIGH HIGH",0,"early","high","R2"
1,1,1.49927320916408,16.0258051713574,"HIGH HIGH",0,"early","high","R2"
85,4,4.50044595621555,29.3174966297691,"HIGH HIGH",0.350257663521916,"late","high","R2"
68,1,1.50033616049708,15.585142099816,"HIGH HIGH",0.39800910030026,"early","high","R2"
59,3,3.49899153165028,25.3824177980375,"HIGH HIGH",0.34992902497761,"early","high","R2"
68,0,0.49931081310714,4.82139690515527,"HIGH HIGH",0.39800910030026,"early","high","R2"
33,4,4.50036932139523,30.4806101035582,"HIGH HIGH",0,"early","high","R2"
61,0,0.49942679206044,4.93900603134101,"HIGH HIGH",0.352201586333104,"early","high","R2"
6,0,0.499467738505404,4.99493591288495,"HIGH HIGH",0,"early","high","R2"
28,0,0.497787926847173,5.29123867033083,"HIGH HIGH",0,"early","high","R2"
88,3,3.49821188513161,27.8840999449776,"HIGH HIGH",0.391256686951965,"late","high","R2"
37,3,3.50033273807608,26.3391275921276,"HIGH HIGH",0,"early","high","R2"
11,7,7.49940172099774,34.3218599105594,"HIGH HIGH",0,"early","high","R2"
46,3,3.49909228610924,25.1744123295313,"HIGH HIGH",0,"early","high","R2"
78,1,1.5008896838531,15.3655623396114,"HIGH HIGH",0.354868866805919,"late","high","R2"
30,2,2.500304189854,21.8308015585527,"HIGH HIGH",0,"early","high","R2"
64,0,0.500379762503896,4.95337412137312,"HIGH HIGH",0.313585372641683,"early","high","R2"
54,5,5.50022358831629,32.1080164581144,"HIGH HIGH",0.305913215503097,"early","high","R2"
7,6,6.49853768045737,34.7533425009217,"HIGH HIGH",0,"early","high","R2"
4,1,1.5000571342247,15.3279443579463,"HIGH HIGH",0,"early","high","R2"
47,0,0.499736175305424,4.86986677051778,"HIGH HIGH",0,"early","high","R2"
64,5,5.49976675599946,30.4759604982384,"HIGH HIGH",0.385883259493858,"early","high","R2"
50,5,5.50083814747654,32.0002494559866,"HIGH HIGH",0.373129982640967,"early","high","R2"
8,5,5.49947488552748,31.3205363849652,"HIGH HIGH",0,"early","high","R2"
91,1,1.50032136738405,16.2008838025718,"HIGH HIGH",0.322839874634519,"late","high","R2"
92,1,1.50041653435102,15.4530966977863,"HIGH HIGH",0.321642978978343,"late","high","R2"
40,1,1.50027482907613,15.8726213931426,"HIGH HIGH",0,"early","high","R2"
49,0,0.499331283310865,5.13075456380153,"HIGH HIGH",0,"early","high","R2"
7,2,2.49862439388224,23.2707603597655,"HIGH HIGH",0,"early","high","R2"
39,0,0.498685404699775,5.05843300477038,"HIGH HIGH",0,"early","high","R2"
12,6,6.50178216216995,29.9968159806857,"HIGH HIGH",0,"early","high","R2"
42,1,1.49934373886222,16.4152257682045,"HIGH HIGH",0,"early","high","R2"
2,1,1.49974437702544,15.0714004123117,"HIGH HIGH",0,"early","high","R2"
81,3,3.49921320960498,25.7391779951826,"HIGH HIGH",0.307811545883305,"late","high","R2"
45,3,3.50085139701108,26.0788863528178,"HIGH HIGH",0,"early","high","R2"
24,1,1.50103851103697,16.1394758264975,"HIGH HIGH",0,"early","high","R2"
12,4,4.49913415333185,28.5102245352409,"HIGH HIGH",0,"early","high","R2"
44,2,2.50123359844701,22.874298368668,"HIGH HIGH",0,"early","high","R2"
89,1,1.50175731356312,16.1237690875636,"HIGH HIGH",0.316979516507126,"late","high","R2"
27,6,6.49984550049746,34.4266892330782,"HIGH HIGH",0,"early","high","R2"
23,1,1.49998850177129,15.0718056819917,"HIGH HIGH",0,"early","high","R2"
51,11,11.4993578433552,37.6466231243306,"HIGH HIGH",0.327742167469114,"early","high","R2"
26,0,0.500142650735517,5.05738486923302,"HIGH HIGH",0,"early","high","R2"
11,1,1.49854135995132,16.2349980169296,"HIGH HIGH",0,"early","high","R2"
81,1,1.50047819288403,16.0448895579619,"HIGH HIGH",0.307811545883305,"late","high","R2"
93,0,0.500252407870365,4.87525012590597,"HIGH HIGH",0.311373376380652,"late","high","R2"
24,3,3.49866696328313,27.8710401666429,"HIGH HIGH",0,"early","high","R2"
93,2,2.4998927060554,22.1085394725927,"HIGH HIGH",0.328460656222887,"late","high","R2"
81,1,1.49930458378263,14.6867699934287,"HIGH HIGH",0.373053636681288,"late","high","R2"
49,1,1.50013059338944,15.829397652687,"HIGH HIGH",0,"early","high","R2"
42,1,1.49753872050815,16.2937921152745,"HIGH HIGH",0,"early","high","R2"
48,0,0.501957976882441,4.89966199720327,"HIGH HIGH",0,"early","high","R2"
36,1,1.49991667655037,16.0953157286509,"HIGH HIGH",0,"early","high","R2"
23,0,0.501357579065616,5.00073609133711,"HIGH HIGH",0,"early","high","R2"
24,0,0.498863036763187,5.07673646450084,"HIGH HIGH",0,"early","high","R2"
12,1,1.50030462438918,16.2376250793939,"HIGH HIGH",0,"early","high","R2"
26,4,4.50088221711338,29.7413838267934,"HIGH HIGH",0,"early","high","R2"
32,7,7.50007008325581,34.0395277709235,"HIGH HIGH",0,"early","high","R2"
22,4,4.50109275850803,29.8146890384698,"HIGH HIGH",0,"early","high","R2"
27,5,5.49739174542006,33.5242902488347,"HIGH HIGH",0,"early","high","R2"
8,2,2.49980978126773,21.9139137177244,"HIGH HIGH",0,"early","high","R2"
91,0,0.50099262342547,5.00638246526857,"HIGH HIGH",0.39167109602131,"late","high","R2"
24,2,2.49822325751582,23.0381185821677,"HIGH HIGH",0,"early","high","R2"
95,3,3.49915682169468,25.0373152354872,"HIGH HIGH",0.381249988568015,"late","high","R2"
1,0,0.5000363871294,5.02162854984808,"HIGH HIGH",0,"early","high","R2"
23,7,7.50121092500606,33.5777452243966,"HIGH HIGH",0,"early","high","R2"
77,1,1.5006935287574,15.7476609475362,"HIGH HIGH",0.336781120789237,"late","high","R2"
27,1,1.49988008997298,16.1532128261131,"HIGH HIGH",0,"early","high","R2"
25,1,1.50110886681762,16.2701648783726,"HIGH HIGH",0,"early","high","R2"
17,10,10.4994345544716,35.1751957294666,"HIGH HIGH",0,"early","high","R2"
81,0,0.499071057529553,5.06560947552196,"HIGH HIGH",0.378160885279067,"late","high","R2"
5,1,1.50060166020681,16.0135700120942,"HIGH HIGH",0,"early","high","R2"
53,6,6.50040145228692,33.5828263124434,"HIGH HIGH",0.317564714490436,"early","high","R2"
61,0,0.499316028495696,4.8122427082009,"HIGH HIGH",0.391888275905512,"early","high","R2"
62,3,3.50028667050473,26.5138555627874,"HIGH HIGH",0.352250577858649,"early","high","R2"
97,0,0.498614184609604,5.02047548601092,"HIGH HIGH",0.319261846109293,"late","high","R2"
64,1,1.50098738266787,15.2537151595574,"HIGH HIGH",0.313585372641683,"early","high","R2"
52,4,4.50137293295427,28.2465174927035,"HIGH HIGH",0.365767680597492,"early","high","R2"
34,4,4.50136408749666,29.6081559314228,"HIGH HIGH",0,"early","high","R2"
17,11,11.4991608398316,31.6413239309387,"HIGH HIGH",0,"early","high","R2"
33,4,4.50103513752273,31.1714519922002,"HIGH HIGH",0,"early","high","R2"
91,0,0.49913390814703,4.89989428473356,"HIGH HIGH",0.322839874634519,"late","high","R2"
45,2,2.49995903391616,24.4875155582021,"HIGH HIGH",0,"early","high","R2"
30,2,2.50042257429457,22.4478140664383,"HIGH HIGH",0,"early","high","R2"
39,7,7.50024680914404,31.9041051711844,"HIGH HIGH",0,"early","high","R2"
50,0,0.49844965046761,4.77505379051407,"HIGH HIGH",0.36398836732842,"early","high","R2"
23,7,7.49978355756811,35.6252056096831,"HIGH HIGH",0,"early","high","R2"
67,0,0.499055400742668,5.07090306446541,"HIGH HIGH",0.31989581680391,"early","high","R2"
28,1,1.49823220236503,15.6757183334835,"HIGH HIGH",0,"early","high","R2"
48,2,2.49893605515732,21.8847564872878,"HIGH HIGH",0,"early","high","R2"
88,6,6.50090278907907,35.3457616220741,"HIGH HIGH",0.32751421558205,"late","high","R2"
41,7,7.5005235802001,34.0748935271166,"HIGH HIGH",0,"early","high","R2"
15,1,1.50021720161705,15.7326144093217,"HIGH HIGH",0,"early","high","R2"
20,1,1.50145771012467,15.1802653333312,"HIGH HIGH",0,"early","high","R2"
78,2,2.49879170670789,22.5742982746711,"HIGH HIGH",0.354868866805919,"late","high","R2"
11,0,0.498201246448724,4.98434341289141,"HIGH HIGH",0,"early","high","R2"
98,4,4.49815425295585,29.9586532258929,"HIGH HIGH",0.340696259005927,"late","high","R2"
14,2,2.50209932861906,23.2231714815099,"HIGH HIGH",0,"early","high","R2"
79,1,1.50178661777062,16.2546755539193,"HIGH HIGH",0.370408862922341,"late","high","R2"
55,0,0.501119417740696,5.22119491805647,"HIGH HIGH",0.389252678398043,"early","high","R2"
90,0,0.497135645487625,5.02494953878983,"HIGH HIGH",0.302040479262359,"late","high","R2"
47,2,2.49922044555069,23.5879695909368,"HIGH HIGH",0,"early","high","R2"
