"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,50.2488987306833,0,0,0.500451728104993,0,0.25,0.05,"HIGH LOW","R2"
1,2,2,48.9930649544226,0,0,0.498874756890343,0,0.25,0.05,"HIGH LOW","R2"
1,3,3,49.4268132377284,0,0,0.499363114941843,0,0.25,0.05,"HIGH LOW","R2"
1,4,4,50.7039155401035,0,0,0.499794112081994,0,0.25,0.05,"HIGH LOW","R2"
1,5,5,50.7501792293183,0,0,0.500864779393052,0,0.25,0.05,"HIGH LOW","R2"
1,6,6,48.5360953658371,0,0,0.500393029088029,0,0.25,0.05,"HIGH LOW","R2"
1,7,7,49.6215375020587,0,0,0.49940757352667,0,0.25,0.05,"HIGH LOW","R2"
1,8,8,51.2772051405555,0,0,0.498102764087385,0,0.25,0.05,"HIGH LOW","R2"
1,9,9,50.6283457689504,0,0,0.502375985888506,0,0.25,0.05,"HIGH LOW","R2"
1,10,10,50.2017959185667,0,0,0.499932673017184,0,0.25,0.05,"HIGH LOW","R2"
1,11,11,50.6600257280849,0,0,0.498979001927964,0,0.25,0.05,"HIGH LOW","R2"
1,2,2,155.011060844278,1,1,1.50141688477846,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,3,3,156.656813471914,1,1,1.50074344840338,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,4,4,161.530331788621,1,1,1.50026433875763,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,5,5,161.707658262087,1,1,1.49931609018292,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,6,6,153.282391295791,1,1,1.50084659147225,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,7,7,157.397208094155,1,1,1.49832058481485,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,8,8,163.731576019112,1,1,1.49934064567126,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,9,9,161.240793938563,1,1,1.50066979118197,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,10,10,159.609243139612,1,1,1.50033290098577,0,0.25,0.186605496863371,"HIGH LOW","R2"
1,11,11,161.362154730733,1,1,1.49961047571306,0,0.25,0.186605496863371,"HIGH LOW","R2"
2,12,1,51.7766129344784,1,0,0.50007406877532,0,0.25,0.05,"HIGH LOW","R2"
2,13,2,48.8592575899889,1,0,0.500790405934538,0,0.25,0.05,"HIGH LOW","R2"
2,14,3,51.406771887831,1,0,0.498777011289058,0,0.25,0.05,"HIGH LOW","R2"
2,15,4,49.3796891682664,1,0,0.501529880557305,0,0.25,0.05,"HIGH LOW","R2"
2,16,5,50.3614380378867,1,0,0.499893871972413,0,0.25,0.05,"HIGH LOW","R2"
2,17,6,49.246750262557,1,0,0.499982177326066,0,0.25,0.05,"HIGH LOW","R2"
2,18,7,50.9082078795425,1,0,0.499760474613994,0,0.25,0.05,"HIGH LOW","R2"
2,19,8,48.6553990692791,1,0,0.499930616359062,0,0.25,0.05,"HIGH LOW","R2"
2,20,9,49.7528521057715,1,0,0.50118790222574,0,0.25,0.05,"HIGH LOW","R2"
2,21,10,50.4557401699397,1,0,0.499597800876486,0,0.25,0.05,"HIGH LOW","R2"
2,22,11,50.2406784526468,1,0,0.500369860038009,0,0.25,0.05,"HIGH LOW","R2"
2,23,12,49.838617114359,1,0,0.499571894245508,0,0.25,0.05,"HIGH LOW","R2"
1,3,3,224.245871876126,2,2,2.49978129116716,0,0.25,0.5,"HIGH LOW","R2"
1,5,5,233.518768318423,2,2,2.50006577670113,0,0.25,0.5,"HIGH LOW","R2"
1,6,6,218.116118349764,2,2,2.49946450842021,0,0.25,0.5,"HIGH LOW","R2"
1,7,7,225.597844798686,2,2,2.5006101302489,0,0.25,0.5,"HIGH LOW","R2"
1,9,9,232.656744462865,2,2,2.49894571412777,0,0.25,0.5,"HIGH LOW","R2"
1,10,10,229.652062269346,2,2,2.49886085389049,0,0.25,0.5,"HIGH LOW","R2"
