"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
29,1,355.058872092264,41,13,13.5019437357654,"FISHED",1.27916832362133,0.25,0.999999999330649,"HIGH MED","R2"
33,2,340.819234752709,40,8,8.50182478826767,"FISHED",1.30762840199603,0.25,0.999999997158483,"HIGH MED","R2"
33,10,386.034388460505,40,8,8.50149906476126,"FISHED",1.30762840199603,0.25,0.999999999971174,"HIGH MED","R2"
34,8,350.066084619556,40,7,7.5018343953526,"FISHED",1.30762840199603,0.25,0.999999998888752,"HIGH MED","R2"
34,11,356.483593206574,42,9,9.50189954480388,"FISHED",1.17402989666692,0.25,0.999999999420797,"HIGH MED","R2"
35,2,345.943989617882,40,6,6.50125836706289,"FISHED",1.30762840199603,0.25,0.999999998311215,"HIGH MED","R2"
35,5,357.135065354998,40,6,6.49953856048258,"FISHED",1.30762840199603,0.25,0.999999999457869,"HIGH MED","R2"
36,4,303.796561494009,40,5,5.49921222617754,"FISHED",1.30762840199603,0.25,0.999999878083319,"HIGH MED","R2"
36,8,304.541833544132,40,5,5.5003038848714,"FISHED",1.30762840199603,0.25,0.999999886968263,"HIGH MED","R2"
37,2,306.455736288333,41,5,5.49937435126169,"FISHED",1.27916832362133,0.25,0.99999990693059,"HIGH MED","R2"
37,5,303.684487619078,40,4,4.4985569211275,"FISHED",1.30762840199603,0.25,0.99999987668809,"HIGH MED","R2"
37,7,298.354705253094,40,4,4.4992906447906,"FISHED",1.30762840199603,0.25,0.999999788153408,"HIGH MED","R2"
37,10,299.65966139241,40,4,4.49886539190893,"FISHED",1.30762840199603,0.25,0.999999814442072,"HIGH MED","R2"
38,8,322.574446155164,41,4,4.49889647641641,"FISHED",1.27916832362133,0.25,0.999999981884378,"HIGH MED","R2"
38,10,278.27316195211,40,3,3.50109780183463,"FISHED",1.30762840199603,0.25,0.999998372520413,"HIGH MED","R2"
39,5,230.38877158567,40,2,2.50214579005123,"FISHED",1.30762840199603,0.25,0.999789677958534,"HIGH MED","R2"
39,8,237.165419582426,40,2,2.49972045602657,"FISHED",1.30762840199603,0.25,0.9998942904408,"HIGH MED","R2"
40,1,231.767779021357,41,2,2.49904340918863,"FISHED",1.27916832362133,0.25,0.999817152319077,"HIGH MED","R2"
40,3,157.532994928229,40,1,1.50024217285224,"FISHED",1.30762840199603,0.25,0.744490410196532,"HIGH MED","R2"
40,6,157.58120415266,40,1,1.49937412956025,"FISHED",1.30762840199603,0.25,0.745420405443603,"HIGH MED","R2"
40,8,224.979702855836,41,2,2.50041015940712,"FISHED",1.27916832362133,0.25,0.999635807859588,"HIGH MED","R2"
40,9,156.117082164872,40,1,1.49954144789383,"FISHED",1.30762840199603,0.25,0.716197834322152,"HIGH MED","R2"
40,12,166.297320997675,40,1,1.50244296782824,"FISHED",1.30762840199603,0.25,0.876457490567749,"HIGH MED","R2"
41,4,153.073858054698,41,1,1.49919920698563,"FISHED",1.27916832362133,0.25,0.649466108091212,"HIGH MED","R2"
41,5,159.44238808815,41,1,1.49863866033734,"FISHED",1.27916832362133,0.25,0.779594564751379,"HIGH MED","R2"
41,7,227.556746090571,42,2,2.50037993238018,"FISHED",1.17402989666692,0.25,0.999719629454264,"HIGH MED","R2"
42,2,154.251387715713,42,1,1.50038249700848,"FISHED",1.17402989666692,0.25,0.676175431575774,"HIGH MED","R2"
42,3,155.472283189243,42,1,1.49915169444378,"FISHED",1.17402989666692,0.25,0.702704749841355,"HIGH MED","R2"
42,7,162.029831361186,42,1,1.49961791369765,"FISHED",1.17402989666692,0.25,0.821422443553984,"HIGH MED","R2"
42,8,156.162758922507,42,1,1.49912738256661,"FISHED",1.17402989666692,0.25,0.717139534235435,"HIGH MED","R2"
42,9,159.612790622318,42,1,1.5003382604922,"FISHED",1.17402989666692,0.25,0.782553021013453,"HIGH MED","R2"
43,2,159.403500134495,43,1,1.5002697977851,"FISHED",1.20300239455949,0.25,0.778915376926796,"HIGH MED","R2"
43,3,164.123635536473,43,1,1.49956215166189,"FISHED",1.20300239455949,0.25,0.850509590290295,"HIGH MED","R2"
43,5,163.987217628517,43,1,1.50183542455015,"FISHED",1.20300239455949,0.25,0.848739990389334,"HIGH MED","R2"
43,11,158.778037271521,43,1,1.50100161716039,"FISHED",1.20300239455949,0.25,0.76778608043296,"HIGH MED","R2"
43,12,171.335333404988,43,1,1.50132209981945,"FISHED",1.20300239455949,0.25,0.922071015311201,"HIGH MED","R2"
43,13,158.434712416332,43,1,1.50028529587836,"FISHED",1.20300239455949,0.25,0.761513201205183,"HIGH MED","R2"
44,1,161.390987167266,44,1,1.49887229276843,"FISHED",1.21702059895935,0.25,0.811708678167334,"HIGH MED","R2"
44,2,280.29719665755,46,3,3.50052628949573,"FISHED",1.1902170540503,0.25,0.99999867484717,"HIGH MED","R2"
44,3,163.353782709796,44,1,1.4999543650977,"FISHED",1.21702059895935,0.25,0.840296851978797,"HIGH MED","R2"
44,4,155.350409667217,44,1,1.49998449133562,"FISHED",1.21702059895935,0.25,0.700113197814309,"HIGH MED","R2"
