"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,49.6413586721092,0,0,0.499961913279687,"M",0,0.25,1,"HIGH MED","R2"
1,2,48.7242868939021,0,0,0.499193893018834,"M",0,0.25,1,"HIGH MED","R2"
1,3,160.022616894963,1,1,1.49833779090769,"M",0,0.25,1,"HIGH MED","R2"
1,4,50.1771348976693,0,0,0.500052560744211,"M",0,0.25,1,"HIGH MED","R2"
1,5,150.428141274467,1,1,1.49953026638542,"M",0,0.25,1,"HIGH MED","R2"
1,6,303.896014640648,5,5,5.50195107482443,"M",0,0.25,1,"HIGH MED","R2"
1,7,332.909291412903,4,4,4.49992355057986,"M",0,0.25,1,"HIGH MED","R2"
1,8,342.121563830008,6,6,6.50148323868015,"M",0,0.25,1,"HIGH MED","R2"
1,9,157.927450604164,1,1,1.5007862660441,"M",0,0.25,1,"HIGH MED","R2"
1,10,156.236180560205,1,1,1.50044451325156,"M",0,0.25,1,"HIGH MED","R2"
1,11,155.428746438254,1,1,1.50029143126907,"M",0,0.25,1,"HIGH MED","R2"
1,12,50.9384460903554,0,0,0.499975213448617,"M",0,0.25,1,"HIGH MED","R2"
1,13,288.561001183596,3,3,3.50008342880889,"M",0,0.25,1,"HIGH MED","R2"
2,1,323.466294601169,5,4,4.50026936466682,"M",0,0.25,1,"HIGH MED","R2"
2,2,233.63040202654,3,2,2.50098719782176,"M",0,0.25,1,"HIGH MED","R2"
2,3,48.6818440346486,1,0,0.498521819744215,"M",0,0.25,1,"HIGH MED","R2"
2,4,152.327771766206,2,1,1.50145585128698,"M",0,0.25,1,"HIGH MED","R2"
2,5,302.666686892932,5,4,4.50102180860373,"M",0,0.25,1,"HIGH MED","R2"
2,6,314.779448819224,6,5,5.49977159214258,"M",0,0.25,1,"HIGH MED","R2"
2,7,319.425414053427,10,9,9.49870478023154,"M",0,0.25,1,"HIGH MED","R2"
2,8,49.5422475757759,1,0,0.49991335213834,"M",0,0.25,1,"HIGH MED","R2"
2,9,234.537756805915,3,2,2.50211995180731,"M",0,0.25,1,"HIGH MED","R2"
2,10,368.923535544938,13,12,12.498842316149,"M",0,0.25,1,"HIGH MED","R2"
2,11,274.114433299259,4,3,3.50120986166559,"M",0,0.25,1,"HIGH MED","R2"
2,12,48.4861665301624,1,0,0.499745250416683,"M",0,0.25,1,"HIGH MED","R2"
3,1,164.704247497347,3,1,1.49938275068485,"M",0,0.25,1,"HIGH MED","R2"
3,2,360.31938674378,11,9,9.50185293343776,"M",0,0.25,1,"HIGH MED","R2"
3,3,53.2286190703503,2,0,0.499915530012927,"M",0,0.25,1,"HIGH MED","R2"
3,4,159.669439002487,3,1,1.50020052865238,"M",0,0.25,1,"HIGH MED","R2"
3,5,47.704010503093,2,0,0.499175499072958,"M",0,0.25,1,"HIGH MED","R2"
3,6,49.11732010027,2,0,0.501262573902854,"M",0,0.25,1,"HIGH MED","R2"
3,7,338.051962219441,11,9,9.49863662881751,"M",0,0.25,1,"HIGH MED","R2"
3,8,338.399070984175,8,6,6.50019559025148,"M",0,0.25,1,"HIGH MED","R2"
3,9,296.76488779212,11,9,9.50082140858374,"M",0,0.25,1,"HIGH MED","R2"
3,10,48.0180637244378,2,0,0.501382608028712,"M",0,0.25,1,"HIGH MED","R2"
3,11,279.857116968627,6,4,4.49994986391335,"M",0,0.25,1,"HIGH MED","R2"
3,12,160.649071073945,3,1,1.50065551541136,"M",0,0.25,1,"HIGH MED","R2"
4,1,47.6757291434207,3,0,0.499896824701979,"M",0,0.25,1,"HIGH MED","R2"
4,2,278.718313948673,6,3,3.50059326092116,"M",0,0.25,1,"HIGH MED","R2"
4,3,155.347267428413,4,1,1.49919665022197,"M",0,0.25,1,"HIGH MED","R2"
4,4,230.268322605028,5,2,2.50202519258898,"M",0,0.25,1,"HIGH MED","R2"
4,5,156.228724004909,4,1,1.49805217891135,"M",0,0.25,1,"HIGH MED","R2"
4,6,49.2889356098352,3,0,0.500066930428568,"M",0,0.25,1,"HIGH MED","R2"
