"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,166.323785160332,1,1,1.50172009146291,0,0.25,0.876748140785431,"HIGH MED","R2"
1,4,4,170.698024267414,1,1,1.50031733622609,0,0.25,0.917292550272706,"HIGH MED","R2"
1,7,7,153.659394606097,1,1,1.49956497642616,0,0.25,0.662877574465984,"HIGH MED","R2"
1,9,9,160.07613052386,1,1,1.49994790495338,0,0.25,0.790451756709173,"HIGH MED","R2"
1,10,10,162.015665936685,1,1,1.49915222134152,0,0.25,0.82121137266725,"HIGH MED","R2"
1,1,1,242.095550677965,2,2,2.50001862529415,0,0.25,0.999935917647135,"HIGH MED","R2"
1,7,7,218.798348988115,2,2,2.50114318518843,0,0.25,0.999318039857916,"HIGH MED","R2"
1,10,10,234.088022761916,2,2,2.50102481028979,0,0.25,0.999855524206593,"HIGH MED","R2"
2,13,3,149.754616905265,2,1,1.50000365721721,0,0.25,0.569468458012259,"HIGH MED","R2"
2,14,4,162.3189253913,2,1,1.49865107295417,0,0.25,0.825687532412564,"HIGH MED","R2"
2,17,7,156.539155041599,2,1,1.49953824544653,0,0.25,0.724827017197064,"HIGH MED","R2"
2,18,8,152.617952938764,2,1,1.5002993913973,0,0.25,0.638856419581902,"HIGH MED","R2"
2,19,9,158.398834967014,2,1,1.49968059432049,0,0.25,0.760851013161788,"HIGH MED","R2"
2,21,11,163.489170864331,2,1,1.49959890740599,0,0.25,0.842132958286824,"HIGH MED","R2"
2,22,12,160.772782529093,2,1,1.49923726155296,0,0.25,0.801927228466502,"HIGH MED","R2"
1,1,1,292.293567097389,3,3,3.50099683287189,0,0.25,0.99999960799916,"HIGH MED","R2"
1,7,7,259.199617303175,3,3,3.50072580063496,0,0.25,0.999988713523382,"HIGH MED","R2"
1,10,10,280.806707989811,3,3,3.49925249092624,0,0.25,0.999998741656761,"HIGH MED","R2"
2,14,4,234.648925024221,3,2,2.50041776786608,0,0.25,0.99986352107174,"HIGH MED","R2"
2,16,6,219.271296026796,3,2,2.49954222632596,0,0.25,0.999349992598536,"HIGH MED","R2"
2,17,7,224.031257908871,3,2,2.50002447982369,0,0.25,0.999599007532171,"HIGH MED","R2"
2,19,9,227.430843260715,3,2,2.49890929216087,0,0.25,0.999716023436277,"HIGH MED","R2"
2,21,11,236.817321449864,3,2,2.49992331132002,0,0.25,0.999890487931879,"HIGH MED","R2"
2,22,12,231.793603048217,3,2,2.50024507195098,0,0.25,0.999817631025817,"HIGH MED","R2"
3,23,1,160.687690423779,3,1,1.49970648285448,0,0.25,0.800551333727182,"HIGH MED","R2"
3,24,2,163.442148242417,3,1,1.4997600843243,0,0.25,0.841497199033886,"HIGH MED","R2"
3,26,4,158.243669171684,3,1,1.50074664303235,0,0.25,0.757972633160114,"HIGH MED","R2"
3,28,6,159.993725936366,3,1,1.49976684969312,0,0.25,0.789062541653012,"HIGH MED","R2"
3,29,7,160.372694841642,3,1,1.50096502080278,0,0.25,0.795395644455809,"HIGH MED","R2"
3,31,9,167.434472623559,3,1,1.50093103751951,0,0.25,0.888425732455485,"HIGH MED","R2"
3,32,10,158.955584493608,3,1,1.50124285098218,0,0.25,0.770984561506595,"HIGH MED","R2"
3,33,11,155.453799689693,3,1,1.49967210321365,0,0.25,0.702312543387676,"HIGH MED","R2"
3,34,12,162.388276765681,3,1,1.5009034265108,0,0.25,0.826698662871621,"HIGH MED","R2"
1,7,7,284.257779457465,4,4,4.4982561508479,0,0.25,0.999999113610809,"HIGH MED","R2"
2,14,4,281.607528743238,4,3,3.50016670704395,0,0.25,0.999998839922483,"HIGH MED","R2"
2,16,6,259.861500935026,4,3,3.49985423702392,0,0.25,0.99998944707193,"HIGH MED","R2"
2,17,7,266.546128610575,4,3,3.50190556273227,0,0.25,0.999994646757696,"HIGH MED","R2"
2,19,9,271.345971177229,4,3,3.5004081225916,0,0.25,0.999996711718632,"HIGH MED","R2"
2,21,11,284.708821039394,4,3,3.50017041311592,0,0.25,0.99999915328781,"HIGH MED","R2"
2,22,12,277.536863454923,4,3,3.50070811399105,0,0.25,0.999998246190001,"HIGH MED","R2"
3,23,1,231.636777532424,4,2,2.49854752393508,0,0.25,0.999814704489252,"HIGH MED","R2"
3,24,2,236.730070828118,4,2,2.49966424349362,0,0.25,0.999889513588224,"HIGH MED","R2"
3,26,4,227.146584856427,4,2,2.49966942978199,0,0.25,0.999707710476691,"HIGH MED","R2"
3,28,6,230.359032252166,4,2,2.50046537212842,0,0.25,0.999789042064435,"HIGH MED","R2"
3,29,7,231.056526260326,4,2,2.49898180290887,0,0.25,0.999803462165762,"HIGH MED","R2"
3,31,9,244.173676365227,4,2,2.49976622030198,0,0.25,0.999948106986539,"HIGH MED","R2"
3,32,10,228.451699047034,4,2,2.49970908798685,0,0.25,0.999743976366916,"HIGH MED","R2"
3,33,11,222.054530730164,4,2,2.50030251162311,0,0.25,0.999509926521872,"HIGH MED","R2"
3,34,12,234.777254859845,4,2,2.50089333145415,0,0.25,0.999865287569196,"HIGH MED","R2"
4,35,1,147.049678140375,4,1,1.49973145361166,0,0.25,0.501260982265649,"HIGH MED","R2"
4,36,2,161.408742277632,4,1,1.50088019764029,0,0.25,0.811984046719422,"HIGH MED","R2"
4,37,3,161.978611240318,4,1,1.50058250871573,0,0.25,0.820658318964377,"HIGH MED","R2"
4,38,4,165.309614561031,4,1,1.49746873001342,0,0.25,0.865182530578403,"HIGH MED","R2"
4,39,5,157.823664139951,4,1,1.49995799411929,0,0.25,0.750063758930176,"HIGH MED","R2"
4,41,7,158.02080358304,4,1,1.49908872745286,0,0.25,0.753797315438981,"HIGH MED","R2"
4,43,9,163.81080296575,4,1,1.50094518703443,0,0.25,0.846426073799532,"HIGH MED","R2"
4,44,10,150.787446430019,4,1,1.500762795385,0,0.25,0.594969662424603,"HIGH MED","R2"
4,45,11,162.575632336635,4,1,1.499924096812,0,0.25,0.829407086898428,"HIGH MED","R2"
4,46,12,165.203665121892,4,1,1.50155718916473,0,0.25,0.86392284440261,"HIGH MED","R2"
1,7,7,299.799655164288,5,5,5.50044953523742,0,0.25,0.999999817060917,"HIGH MED","R2"
2,16,6,285.072603088077,5,4,4.49819858162576,0,0.25,0.999999183991142,"HIGH MED","R2"
2,17,7,293.327250460301,5,4,4.50293505216112,0,0.25,0.999999647055193,"HIGH MED","R2"
2,19,9,299.282844340744,5,4,4.49976103669187,0,0.25,0.999999807205233,"HIGH MED","R2"
