"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
28,10,358.794323973345,41,14,14.5013586186532,"FISHED",1.32513738255794,0.25,0.999999999541922,"LOW HIGH","R2"
32,3,346.681403469577,40,9,9.49988975567803,"FISHED",1.33889681602899,0.25,0.999999998433039,"LOW HIGH","R2"
34,1,311.113620750505,40,7,7.50128217794007,"FISHED",1.33889681602899,0.25,0.999999942001363,"LOW HIGH","R2"
34,8,321.394166399059,40,7,7.49949364969202,"FISHED",1.33889681602899,0.25,0.99999997957803,"LOW HIGH","R2"
35,1,327.75443321536,44,10,10.499101505407,"FISHED",1.33463338444075,0.25,0.999999989293637,"LOW HIGH","R2"
36,6,303.621659139858,41,6,6.50235896418835,"FISHED",1.32513738255794,0.25,0.999999875898954,"LOW HIGH","R2"
36,10,322.152423814802,40,5,5.50014746617791,"FISHED",1.33889681602899,0.25,0.999999981091272,"LOW HIGH","R2"
37,4,316.632721400593,40,4,4.50082270790715,"FISHED",1.33889681602899,0.25,0.999999966882822,"LOW HIGH","R2"
37,5,309.468423452292,40,4,4.49840417133015,"FISHED",1.33889681602899,0.25,0.999999931457068,"LOW HIGH","R2"
37,8,276.562655641587,40,4,4.50020614662636,"FISHED",1.33889681602899,0.25,0.999998063845058,"LOW HIGH","R2"
37,12,311.499384019206,40,4,4.50039019550229,"FISHED",1.33889681602899,0.25,0.99999994422911,"LOW HIGH","R2"
38,2,257.249523057578,40,3,3.49911430230705,"FISHED",1.33889681602899,0.25,0.999986242274987,"LOW HIGH","R2"
38,3,288.485951733396,41,4,4.49976282746457,"FISHED",1.32513738255794,0.25,0.999999422989743,"LOW HIGH","R2"
38,4,291.800880833368,40,3,3.50004334786798,"FISHED",1.33889681602899,0.25,0.999999587891126,"LOW HIGH","R2"
38,11,278.767453261511,40,3,3.50050615391138,"FISHED",1.33889681602899,0.25,0.999998452182213,"LOW HIGH","R2"
38,12,269.252500217049,40,3,3.49919339986184,"FISHED",1.33889681602899,0.25,0.999995932944167,"LOW HIGH","R2"
39,2,229.135435826096,40,2,2.49948545158268,"FISHED",1.33889681602899,0.25,0.999761142890195,"LOW HIGH","R2"
39,4,220.765159736301,40,2,2.49815698906419,"FISHED",1.33889681602899,0.25,0.999441418968552,"LOW HIGH","R2"
39,5,221.235327658007,40,2,2.50206462838839,"FISHED",1.33889681602899,0.25,0.999467443781203,"LOW HIGH","R2"
39,11,300.957874561484,42,4,4.49848593473577,"FISHED",1.34624677242653,0.25,0.999999837357187,"LOW HIGH","R2"
40,1,219.958844627426,41,2,2.4996227462844,"FISHED",1.32513738255794,0.25,0.999393794441349,"LOW HIGH","R2"
40,4,228.546980962802,41,2,2.50191610691701,"FISHED",1.32513738255794,0.25,0.999746440623535,"LOW HIGH","R2"
40,5,153.185728205558,40,1,1.50121567339516,"FISHED",1.33889681602899,0.25,0.652047559489529,"LOW HIGH","R2"
40,8,155.679065225241,40,1,1.50139580105876,"FISHED",1.33889681602899,0.25,0.707072099798817,"LOW HIGH","R2"
40,9,158.526442478685,40,1,1.50276692578033,"FISHED",1.33889681602899,0.25,0.763200524906702,"LOW HIGH","R2"
40,10,157.810617705102,40,1,1.50097079217161,"FISHED",1.33889681602899,0.25,0.749815349748729,"LOW HIGH","R2"
41,2,166.476333207883,41,1,1.49946431570934,"FISHED",1.32513738255794,0.25,0.878412105248555,"LOW HIGH","R2"
41,4,156.943911850756,41,1,1.50195132258021,"FISHED",1.32513738255794,0.25,0.732947542111358,"LOW HIGH","R2"
41,5,302.984783114984,43,3,3.50019653573332,"FISHED",1.3461301317099,0.25,0.999999867609002,"LOW HIGH","R2"
41,6,154.715471318245,41,1,1.49890178562427,"FISHED",1.32513738255794,0.25,0.686406004551566,"LOW HIGH","R2"
41,7,157.11486694264,41,1,1.50113443528379,"FISHED",1.32513738255794,0.25,0.73633124900456,"LOW HIGH","R2"
41,8,164.24085321321,41,1,1.50067855941264,"FISHED",1.32513738255794,0.25,0.852016465190041,"LOW HIGH","R2"
42,4,165.50397322291,42,1,1.50036078434343,"FISHED",1.34624677242653,0.25,0.867467760510654,"LOW HIGH","R2"
42,5,162.74829083142,42,1,1.49954044943278,"FISHED",1.34624677242653,0.25,0.831873180158015,"LOW HIGH","R2"
42,7,157.263605128805,42,1,1.4979551359118,"FISHED",1.34624677242653,0.25,0.739252732703571,"LOW HIGH","R2"
42,9,229.238519395928,43,2,2.50092043491275,"FISHED",1.3461301317099,0.25,0.999763629220174,"LOW HIGH","R2"
43,2,173.32526788581,43,1,1.49856610031564,"FISHED",1.3461301317099,0.25,0.935406479328767,"LOW HIGH","R2"
