"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,49.3495402889782,0,0,0.499629377560793,0,0.25,4.94408828902302e-05,"LOW HIGH","R2"
1,2,2,49.5572440582184,0,0,0.497856998656592,0,0.25,5.04945431911757e-05,"LOW HIGH","R2"
1,2,2,157.152639990414,1,1,1.49796372009652,0,0.25,0.737075166024729,"LOW HIGH","R2"
1,2,2,225.150980436719,2,2,2.5005470849504,0,0.25,0.99964208424227,"LOW HIGH","R2"
1,3,3,50.3310279891824,0,0,0.500416772916374,0,0.25,5.46213739700729e-05,"LOW HIGH","R2"
1,3,3,160.103065097389,1,1,1.49945687081548,0,0.25,0.790904371727659,"LOW HIGH","R2"
1,3,3,230.560203966025,2,2,2.50045390673851,0,0.25,0.999793306384451,"LOW HIGH","R2"
1,3,3,275.783090853519,3,3,3.49984564564453,0,0.25,0.99999790436853,"LOW HIGH","R2"
1,3,3,304.809383026014,4,4,4.49915326961961,0,0.25,0.999999889997433,"LOW HIGH","R2"
1,3,3,323.439897247256,5,5,5.50161357504715,0,0.25,0.999999983408287,"LOW HIGH","R2"
1,3,3,335.397885476864,6,6,6.49973848891831,0,0.25,0.999999995072753,"LOW HIGH","R2"
1,4,4,48.9936829940689,0,0,0.50074665727038,0,0.25,4.76865023226879e-05,"LOW HIGH","R2"
1,4,4,155.013402432016,1,1,1.50129180346869,0,0.25,0.692880326900572,"LOW HIGH","R2"
1,5,5,49.6353323752439,0,0,0.498832950373118,0,0.25,5.08964596156987e-05,"LOW HIGH","R2"
1,5,5,157.449696637197,1,1,1.50091337781917,0,0.25,0.742878268087399,"LOW HIGH","R2"
1,5,5,225.693785466936,2,2,2.49816753625116,0,0.25,0.99966126958626,"LOW HIGH","R2"
1,5,5,268.890772177221,3,3,3.49933150682692,0,0.25,0.999995780796732,"LOW HIGH","R2"
1,5,5,296.233501677264,4,4,4.50042430462369,0,0.25,0.999999737242072,"LOW HIGH","R2"
1,5,5,313.540839837833,5,5,5.5013295192944,0,0.25,0.999999954669586,"LOW HIGH","R2"
1,5,5,324.495999022063,6,6,6.49913585981903,0,0.25,0.999999985095326,"LOW HIGH","R2"
1,5,5,331.430370537681,7,7,7.49925064929627,0,0.25,0.999999992628571,"LOW HIGH","R2"
1,5,5,335.819673103529,8,8,8.49998898005256,0,0.25,0.999999995279308,"LOW HIGH","R2"
1,6,6,48.6990745706413,0,0,0.499354799456082,0,0.25,4.62812771909679e-05,"LOW HIGH","R2"
1,6,6,153.8983140467,1,1,1.49725450562413,0,0.25,0.668276946465023,"LOW HIGH","R2"
1,6,6,219.231041234791,2,2,2.50210971290625,0,0.25,0.999347332212095,"LOW HIGH","R2"
1,7,7,50.3719878656218,0,0,0.499634709147481,0,0.25,5.48489913250474e-05,"LOW HIGH","R2"
1,8,8,50.3141251974538,0,0,0.502293237358346,0,0.25,5.45277193236102e-05,"LOW HIGH","R2"
1,8,8,160.038451888287,1,1,1.49795719710976,0,0.25,0.789817388476002,"LOW HIGH","R2"
1,8,8,230.441316335883,2,2,2.50078084851673,0,0.25,0.999790796803344,"LOW HIGH","R2"
