"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,49.1906429740034,0,0,0.500414327564238,0,0.25,4.86496804226091e-05,"LOW LOW","R2"
1,2,2,51.8701386587468,0,0,0.49834256683314,0,0.25,6.38595154336677e-05,"LOW LOW","R2"
1,2,2,143.435090363414,1,1,1.49903926484651,0,0.25,0.410486699393336,"LOW LOW","R2"
1,2,2,204.003219402316,2,2,2.50047873161504,0,0.25,0.996944258116686,"LOW LOW","R2"
1,2,2,244.06765658026,3,3,3.4996210814685,0,0.25,0.999947545399398,"LOW LOW","R2"
1,2,2,270.569368814997,4,4,4.49848182125112,0,0.25,0.999996441941386,"LOW LOW","R2"
1,2,2,288.09964755705,5,5,5.50151052925423,0,0.25,0.999999399908345,"LOW LOW","R2"
1,3,3,49.3859684994731,0,0,0.499241697106338,0,0.25,4.96240765593669e-05,"LOW LOW","R2"
1,3,3,135.001157272211,1,1,1.50059244868472,0,0.25,0.228240858090708,"LOW LOW","R2"
1,3,3,188.921404209339,2,2,2.49986111188747,0,0.25,0.986024561703415,"LOW LOW","R2"
1,3,3,222.880250430872,3,3,3.49870447742304,0,0.25,0.999549320041136,"LOW LOW","R2"
1,3,3,244.267452867878,4,4,4.50007432038139,0,0.25,0.999948598708115,"LOW LOW","R2"
1,4,4,49.5920880706925,0,0,0.500527000541338,0,0.25,5.06734898565738e-05,"LOW LOW","R2"
1,5,5,51.1404617187546,0,0,0.5003325096158,0,0.25,5.92997045727109e-05,"LOW LOW","R2"
1,5,5,140.941459631563,1,1,1.5028025366288,0,0.25,0.350888040172052,"LOW LOW","R2"
1,5,5,199.507152591865,2,2,2.50225424898704,0,0.25,0.995184920893511,"LOW LOW","R2"
1,5,5,237.702055450859,3,3,3.49872415148083,0,0.25,0.999899895462465,"LOW LOW","R2"
1,6,6,50.3904131727169,0,0,0.501735492452413,0,0.25,5.49516913075829e-05,"LOW LOW","R2"
1,6,6,138.392363694153,1,1,1.49967499684089,0,0.25,0.294432267447528,"LOW LOW","R2"
1,6,6,194.943026091693,2,2,2.4999049970467,0,0.25,0.992368192400416,"LOW LOW","R2"
1,7,7,48.8497305983458,0,0,0.499892363273991,0,0.25,4.6994625797771e-05,"LOW LOW","R2"
1,7,7,133.20124651713,1,1,1.49877390397911,0,0.25,0.197654261069956,"LOW LOW","R2"
1,7,7,185.74880517691,2,2,2.49834694556429,0,0.25,0.980815060631906,"LOW LOW","R2"
1,7,7,218.483793884899,3,3,3.50085381961498,0,0.25,0.999295923785268,"LOW LOW","R2"
1,7,7,238.876358507169,4,4,4.50014829579833,0,0.25,0.999911145830203,"LOW LOW","R2"
1,8,8,49.1986155089362,0,0,0.498993131510468,0,0.25,4.86890749253822e-05,"LOW LOW","R2"
1,9,9,49.7006845421914,0,0,0.500991435035604,0,0.25,5.12352815534446e-05,"LOW LOW","R2"
1,9,9,136.060933492854,1,1,1.50071797032167,0,0.25,0.247746104936193,"LOW LOW","R2"
1,10,10,50.8184775104143,0,0,0.500521081593481,0,0.25,5.73925445390495e-05,"LOW LOW","R2"
1,11,11,47.1886076669486,0,0,0.498645586606771,0,0.25,3.97012543047924e-05,"LOW LOW","R2"
1,11,11,127.672147875771,1,1,1.49893921245492,0,0.25,0.123207244754011,"LOW LOW","R2"
1,11,11,176.105186115211,2,2,2.49854166333533,0,0.25,0.950504859226629,"LOW LOW","R2"
1,11,11,205.251011299052,3,3,3.50078055307108,0,0.25,0.99730689498542,"LOW LOW","R2"
1,11,11,222.790260467098,4,4,4.50015610906884,0,0.25,0.999545185237617,"LOW LOW","R2"
1,11,11,233.344954301924,5,5,5.49958725861044,0,0.25,0.999844204202351,"LOW LOW","R2"
1,11,11,239.696512506016,6,6,6.49873543452893,0,0.25,0.99991824463804,"LOW LOW","R2"
1,11,11,243.518725850268,7,7,7.49969550191637,0,0.25,0.999944539043804,"LOW LOW","R2"
1,11,11,245.81884093692,8,8,8.49945753061579,0,0.25,0.999956089447088,"LOW LOW","R2"
1,12,12,49.8124850007472,0,0,0.498938248112605,0,0.25,5.18201551502377e-05,"LOW LOW","R2"
1,12,12,136.438018963527,1,1,1.50130757738242,0,0.25,0.254950156793556,"LOW LOW","R2"
1,12,12,191.465750701185,2,2,2.49888622653008,0,0.25,0.989171791960628,"LOW LOW","R2"
1,13,13,53.7637527192057,0,0,0.500589050332729,0,0.25,7.73960078852251e-05,"LOW LOW","R2"
1,13,13,149.969760429041,1,1,1.49966689763729,0,0.25,0.574815723099502,"LOW LOW","R2"
1,14,14,50.9649044530566,0,0,0.499501730261225,0,0.25,5.8252128057445e-05,"LOW LOW","R2"
1,15,15,48.6340910490262,0,0,0.49999752167567,0,0.25,4.59769356493969e-05,"LOW LOW","R2"
2,16,1,51.1567129308685,1,0,0.499236922738667,0,0.25,5.93976254734453e-05,"LOW LOW","R2"
2,16,1,140.996849399766,2,1,1.50066852847029,0,0.25,0.352170032672519,"LOW LOW","R2"
2,16,1,199.606686312727,3,2,2.50017085927072,0,0.25,0.995233105733534,"LOW LOW","R2"
2,16,1,237.842525192526,4,3,3.49961874370953,0,0.25,0.999901312903247,"LOW LOW","R2"
2,17,2,49.4134352067631,1,0,0.499619070596043,0,0.25,4.97626524562495e-05,"LOW LOW","R2"
2,17,2,135.093548171041,2,1,1.49697545836634,0,0.25,0.229897445234806,"LOW LOW","R2"
2,17,2,189.084695464783,3,2,2.4994947988324,0,0.25,0.986251195817414,"LOW LOW","R2"
2,17,2,223.107106094772,4,3,3.49858206368673,0,0.25,0.9995595774844,"LOW LOW","R2"
2,17,2,244.54625830945,5,4,4.50132426459479,0,0.25,0.999950033291128,"LOW LOW","R2"
2,17,2,258.056096065595,6,5,5.50043328646479,0,0.25,0.999987324027261,"LOW LOW","R2"
2,17,2,266.5692925936,7,6,6.49962861593506,0,0.25,0.999994659333095,"LOW LOW","R2"
2,18,3,50.2823090561477,1,0,0.50007557211225,0,0.25,5.43518684547536e-05,"LOW LOW","R2"
2,18,3,138.026146842588,2,1,1.5001097471995,0,0.25,0.286767298554754,"LOW LOW","R2"
2,18,3,194.289980155486,3,2,2.50059021739132,0,0.25,0.991849274142155,"LOW LOW","R2"
2,18,3,230.367943223005,4,3,3.50034397855936,0,0.25,0.999789232802537,"LOW LOW","R2"
2,18,3,253.50215471305,5,4,4.50075896469029,0,0.25,0.999979872775782,"LOW LOW","R2"
2,19,4,49.9364252120846,1,0,0.499998966126892,0,0.25,5.24763429407703e-05,"LOW LOW","R2"
2,19,4,136.856422523891,2,1,1.50063828169176,0,0.25,0.263103191472857,"LOW LOW","R2"
2,19,4,192.208590100641,3,2,2.50019886839943,0,0.25,0.989950536071747,"LOW LOW","R2"
2,19,4,227.457814102038,4,3,3.50020442720191,0,0.25,0.999716799797867,"LOW LOW","R2"
2,19,4,249.905133639757,5,4,4.50123940571125,0,0.25,0.999971000500527,"LOW LOW","R2"
2,20,5,47.1241872969193,1,0,0.500467259265043,0,0.25,3.94424357897778e-05,"LOW LOW","R2"
2,20,5,127.459140274341,2,1,1.50066400659666,0,0.25,0.12088989618694,"LOW LOW","R2"
2,20,5,175.736765170994,3,2,2.50037469433337,0,0.25,0.948715097077275,"LOW LOW","R2"
2,20,5,204.749405115116,4,3,3.50076062834747,0,0.25,0.997166583076721,"LOW LOW","R2"
2,21,6,53.024233561817,1,0,0.50000626871274,0,0.25,7.17979311078883e-05,"LOW LOW","R2"
2,21,6,147.406870824098,2,1,1.5014694163956,0,0.25,0.510326172157774,"LOW LOW","R2"
2,21,6,211.227926971938,3,2,2.50009142857527,0,0.25,0.998530282386344,"LOW LOW","R2"
2,21,6,254.38339842276,4,3,3.50088175664825,0,0.25,0.999981595406319,"LOW LOW","R2"
2,21,6,283.564907293885,5,4,4.49927246432147,0,0.25,0.999999049008603,"LOW LOW","R2"
2,21,6,303.297294204915,6,5,5.49967027576955,0,0.25,0.999999871743821,"LOW LOW","R2"
2,22,7,52.4818248544261,1,0,0.49884860238516,0,0.25,6.7951041091463e-05,"LOW LOW","R2"
2,22,7,145.535957621433,2,1,1.50159215506081,0,0.25,0.462906350801968,"LOW LOW","R2"
2,23,8,51.5429762885726,1,0,0.500060523828512,0,0.25,6.17732308030314e-05,"LOW LOW","R2"
2,23,8,142.315351637716,2,1,1.49943837450868,0,0.25,0.383281377717849,"LOW LOW","R2"
2,23,8,201.980492718233,3,2,2.49945183738907,0,0.25,0.996250215974766,"LOW LOW","R2"
2,23,8,241.198691498042,4,3,3.5002477331384,0,0.25,0.999929808785317,"LOW LOW","R2"
2,23,8,266.977011764761,5,4,4.50061066222049,0,0.25,0.999994875904339,"LOW LOW","R2"
2,23,8,283.921231959689,6,5,5.4991703146618,0,0.25,0.999999082799075,"LOW LOW","R2"
2,23,8,295.058753529894,7,6,6.49950864840808,0,0.25,0.999999703955991,"LOW LOW","R2"
2,23,8,302.379502747016,8,7,7.49993453710211,0,0.25,0.999999859217634,"LOW LOW","R2"
2,23,8,307.191468206492,9,8,8.50000668533818,0,0.25,0.999999913629606,"LOW LOW","R2"
2,23,8,310.354397422676,10,9,9.50005541252436,0,0.25,0.99999993735366,"LOW LOW","R2"
2,23,8,312.433406781915,11,10,10.5003062999019,0,0.25,0.99999994927502,"LOW LOW","R2"
2,23,8,313.799950141056,12,11,11.5007879993053,0,0.25,0.999999955846592,"LOW LOW","R2"
2,23,8,314.698185997528,13,12,12.5006749104318,0,0.25,0.999999959695219,"LOW LOW","R2"
2,23,8,315.288600965671,14,13,13.4998249412508,0,0.25,0.999999962040346,"LOW LOW","R2"
2,24,9,50.8679534583045,1,0,0.499332148238536,0,0.25,5.76815595426047e-05,"LOW LOW","R2"
2,24,9,140.013660441417,2,1,1.50045071043964,0,0.25,0.32974476472639,"LOW LOW","R2"
2,24,9,197.842193762508,3,2,2.49993062130241,0,0.25,0.994303150657101,"LOW LOW","R2"
2,25,10,47.8052940433024,1,0,0.501625469000859,0,0.25,4.22664594660137e-05,"LOW LOW","R2"
2,25,10,129.716593604054,2,1,1.49826190697381,0,0.25,0.147439611959986,"LOW LOW","R2"
2,25,10,179.65300036285,3,2,2.49814057620124,0,0.25,0.96495122167824,"LOW LOW","R2"
2,25,10,210.096232656223,4,3,3.50050793053331,0,0.25,0.998351616758534,"LOW LOW","R2"
2,25,10,228.655645570029,5,4,4.50090122486549,0,0.25,0.999749222064505,"LOW LOW","R2"
2,26,11,49.4057930205704,1,0,0.498771131352659,0,0.25,4.97240570496341e-05,"LOW LOW","R2"
