"Year","Age","AgeE","FSIM","Length_cm"
59,0,0.500206059385467,"LOW LOW",4.93693383074058
6,0,0.499586256262587,"LOW LOW",4.98457700515386
30,1,1.50154073024118,"LOW LOW",14.169689320101
26,0,0.499421782611026,"LOW LOW",5.17111938909286
46,2,2.50103764653707,"LOW LOW",18.8237406668162
17,0,0.50087018744412,"LOW LOW",4.9939772519028
47,6,6.4996791084082,"LOW LOW",24.4147265140386
71,1,1.49914591524585,"LOW LOW",13.6439063699364
59,1,1.50021440941358,"LOW LOW",13.5146585909452
61,0,0.498536808345755,"LOW LOW",4.89174045905418
59,1,1.49944709307767,"LOW LOW",13.1510990085778
15,1,1.49910121381514,"LOW LOW",14.0608151828628
43,1,1.50064039062013,"LOW LOW",13.958796517458
39,7,7.49989500433589,"LOW LOW",29.5224774650139
93,3,3.4987339221002,"LOW LOW",22.7350996214078
62,1,1.50013716204346,"LOW LOW",13.3523414382751
91,0,0.500463206542672,"LOW LOW",4.92772538350336
0,0,0.500431195320122,"LOW LOW",4.99761573078643
19,2,2.50021517488587,"LOW LOW",17.7246336111998
9,0,0.500732838528014,"LOW LOW",4.97306034145583
16,0,0.498886362962484,"LOW LOW",5.00084362629947
43,3,3.49976424521606,"LOW LOW",24.170212071571
78,1,1.50005194991096,"LOW LOW",13.6383253725491
22,4,4.50028499061524,"LOW LOW",25.4695581195434
7,4,4.49905935833696,"LOW LOW",24.8492722439027
55,1,1.49871456193822,"LOW LOW",13.5061000736873
3,3,3.50103021864968,"LOW LOW",23.9801235612566
9,0,0.50044494169723,"LOW LOW",4.94691949262643
50,0,0.499237622013661,"LOW LOW",4.96376092588817
28,2,2.50126694091132,"LOW LOW",20.3019129506531
4,1,1.50046867208734,"LOW LOW",13.8760678497347
67,2,2.50015021642228,"LOW LOW",19.2564918028255
90,0,0.500268236283282,"LOW LOW",5.03408126034196
27,1,1.50022064945446,"LOW LOW",14.2890748531037
31,5,5.4986717534428,"LOW LOW",29.0517676242204
4,1,1.49920102946907,"LOW LOW",12.9861057486508
35,0,0.502385865992287,"LOW LOW",4.92973624525912
14,5,5.50157038722112,"LOW LOW",25.659647906131
6,0,0.500695562173925,"LOW LOW",4.89471036927465
81,0,0.500255813636775,"LOW LOW",5.14760177416661
26,0,0.500975780043886,"LOW LOW",4.91033623446634
59,1,1.49943237678295,"LOW LOW",13.3835379564627
8,5,5.50027643885945,"LOW LOW",27.4741457896106
80,0,0.499445771422598,"LOW LOW",5.21600872836881
5,3,3.50223117591938,"LOW LOW",21.1252579343425
48,5,5.50011784352563,"LOW LOW",27.9760545279079
91,1,1.50004958413558,"LOW LOW",13.6469799227145
17,4,4.50013371684539,"LOW LOW",24.7595618895779
28,2,2.50119589150527,"LOW LOW",20.7989067671401
21,2,2.4995791419861,"LOW LOW",19.1392427937069
87,0,0.500135568418069,"LOW LOW",5.00284876590718
73,0,0.500460778823952,"LOW LOW",5.04018136363896
15,4,4.50137545409794,"LOW LOW",25.635594100116
31,1,1.49930393508617,"LOW LOW",13.8781117358057
84,1,1.49939652780002,"LOW LOW",13.8191340390971
56,0,0.498494053696347,"LOW LOW",5.09893149815695
37,7,7.50066557068881,"LOW LOW",28.4569325284646
8,1,1.50026351845733,"LOW LOW",14.2308541802175
29,6,6.49992685620364,"LOW LOW",28.5133066880383
28,0,0.498307522697728,"LOW LOW",5.05993815867009
86,0,0.497564411609206,"LOW LOW",5.04805929289876
40,2,2.50040747476221,"LOW LOW",19.163964178279
20,10,10.5000050098823,"LOW LOW",26.3968344153233
27,0,0.499656856029485,"LOW LOW",4.82790617099975
23,4,4.50007807245671,"LOW LOW",24.6688487392249
8,5,5.50057709590991,"LOW LOW",26.2578491472304
25,2,2.49835564939363,"LOW LOW",17.5631680880306
9,4,4.49978049278008,"LOW LOW",26.1032578625388
27,4,4.50098296895026,"LOW LOW",29.1348081445816
95,0,0.500575730930426,"LOW LOW",4.99946945678276
16,2,2.50070359091247,"LOW LOW",18.5994823544785
73,1,1.49982891996615,"LOW LOW",13.4489643223578
16,5,5.49980510480657,"LOW LOW",27.6133569452114
46,1,1.5000039566474,"LOW LOW",13.0288719262472
95,1,1.49824281755423,"LOW LOW",13.7494755552339
4,2,2.49986996815621,"LOW LOW",18.1650530905485
10,2,2.50274598329081,"LOW LOW",19.0389172983596
81,4,4.49863700602115,"LOW LOW",24.7986515860248
11,4,4.50071192146323,"LOW LOW",25.0031493879984
75,1,1.49900974153059,"LOW LOW",13.2974209089144
12,3,3.50099151943941,"LOW LOW",22.3241591627087
26,6,6.50020921328734,"LOW LOW",33.1917257679357
49,8,8.50025116911061,"LOW LOW",25.0666290409957
5,3,3.49993395262537,"LOW LOW",22.9784369807798
38,5,5.50049762006898,"LOW LOW",24.8092575957089
17,1,1.49889763041403,"LOW LOW",14.1324822473541
30,10,10.5021965932447,"LOW LOW",31.1645984080728
20,3,3.50008140837991,"LOW LOW",21.0630015476653
78,1,1.50034318249802,"LOW LOW",13.9688311619273
45,1,1.49999791807572,"LOW LOW",13.6002446599937
14,2,2.49982402050271,"LOW LOW",18.8264496393096
30,5,5.49980513171195,"LOW LOW",28.1969797358687
77,3,3.4991099890125,"LOW LOW",22.1305943297431
40,8,8.49904793256419,"LOW LOW",29.967455326683
73,3,3.49987912270117,"LOW LOW",22.4787668560201
91,2,2.49952998587844,"LOW LOW",20.4075472718896
55,0,0.500226329979668,"LOW LOW",4.91493500412262
27,1,1.50207909691535,"LOW LOW",13.1654677682409
62,2,2.50115679021441,"LOW LOW",18.7369751939083
92,1,1.50102497162191,"LOW LOW",13.9506674067344
33,0,0.499173168617539,"LOW LOW",4.95682181147915
60,0,0.499870346397359,"LOW LOW",5.01236477767283
19,1,1.50036254329454,"LOW LOW",14.8705476282679
26,0,0.500711028228926,"LOW LOW",4.61518309678057
44,1,1.50143208111489,"LOW LOW",13.6436816552006
36,0,0.50091367804098,"LOW LOW",5.14122209152821
25,5,5.50127783501177,"LOW LOW",24.5801435177544
55,0,0.500110143181634,"LOW LOW",4.91855001804028
50,5,5.50089395058387,"LOW LOW",22.5479423041365
13,1,1.49974128925217,"LOW LOW",13.4629230755021
5,3,3.50090211484606,"LOW LOW",22.2071732057357
42,0,0.499404712036358,"LOW LOW",5.01970084809297
24,3,3.49840477568071,"LOW LOW",23.9540694799238
34,1,1.49897424488205,"LOW LOW",14.0791673598401
41,1,1.500654339551,"LOW LOW",13.4297717605219
13,1,1.50009739160223,"LOW LOW",13.127345661626
23,9,9.5019255908823,"LOW LOW",29.1492094893909
94,1,1.49886189133542,"LOW LOW",14.2317261161522
17,4,4.50018497588377,"LOW LOW",26.7288917913616
28,0,0.50148172314506,"LOW LOW",5.1547938157744
29,1,1.49997835965022,"LOW LOW",14.0991065743269
84,1,1.4988155373679,"LOW LOW",14.4076813297137
52,1,1.49889565212784,"LOW LOW",13.7281289219509
65,1,1.49975923211535,"LOW LOW",13.3024590835183
63,1,1.49941538307387,"LOW LOW",13.7857367255348
14,1,1.49905109526011,"LOW LOW",14.0980952485266
38,2,2.50048305262663,"LOW LOW",20.2385870013821
39,6,6.49930089599388,"LOW LOW",25.5693388988599
13,4,4.49964288331729,"LOW LOW",25.7748445988158
14,3,3.49931053553265,"LOW LOW",23.5812599597067
81,3,3.500073265541,"LOW LOW",22.4592370490381
37,0,0.50031836384214,"LOW LOW",4.91111325111818
89,0,0.500341724429109,"LOW LOW",4.93555324999361
7,3,3.49852500723687,"LOW LOW",23.5217445867804
41,1,1.50084869136861,"LOW LOW",13.8888673036751
27,6,6.50051826443801,"LOW LOW",25.1380866691958
46,0,0.498782361476842,"LOW LOW",5.14207116021818
31,6,6.50029583008018,"LOW LOW",27.9797658120584
75,0,0.499753070762525,"LOW LOW",5.14165198043197
24,3,3.49914563240142,"LOW LOW",22.6646207012507
13,1,1.50130827040792,"LOW LOW",14.2043025512274
23,1,1.49901551880995,"LOW LOW",14.5542280958567
13,1,1.49951496694129,"LOW LOW",14.0809336497849
21,5,5.50184857720946,"LOW LOW",29.2210293401132
