"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,158.439131069634,1,1,1.50133811616618,0,0.25,0.76159466887799,"LOW MED","R2"
1,2,2,160.796898413903,1,1,1.49936744247264,0,0.25,0.802315867426438,"LOW MED","R2"
1,7,7,159.881517867206,1,1,1.49933220797545,0,0.25,0.787160054822373,"LOW MED","R2"
1,8,8,155.094967455929,1,1,1.49980736010504,0,0.25,0.694639784301935,"LOW MED","R2"
1,10,10,167.312113237322,1,1,1.49896227030083,0,0.25,0.887188297989356,"LOW MED","R2"
1,11,11,166.008234639155,1,1,1.50088505929374,0,0.25,0.873244026742165,"LOW MED","R2"
1,12,12,151.930339266563,1,1,1.49857077644248,0,0.25,0.622597755553882,"LOW MED","R2"
1,1,1,227.504682419375,2,2,2.50049629845627,0,0.25,0.999718143868639,"LOW MED","R2"
1,2,2,231.838054867032,2,2,2.49934720199627,0,0.25,0.99981845210779,"LOW MED","R2"
1,3,3,229.123516905212,2,2,2.50098278425545,0,0.25,0.999760853729935,"LOW MED","R2"
1,4,4,227.328828221569,2,2,2.49930949730389,0,0.25,0.999713067617898,"LOW MED","R2"
1,6,6,246.117995225637,2,2,2.50065157531039,0,0.25,0.999957403071761,"LOW MED","R2"
1,8,8,221.402194029958,2,2,2.4997168853178,0,0.25,0.999476385841499,"LOW MED","R2"
1,10,10,243.944464438198,2,2,2.50041811583818,0,0.25,0.999946885212364,"LOW MED","R2"
1,11,11,241.506168620921,2,2,2.49941916108815,0,0.25,0.999931966078252,"LOW MED","R2"
1,12,12,215.674834733255,2,2,2.50029711307664,0,0.25,0.99906377617634,"LOW MED","R2"
2,13,1,156.882192900473,2,1,1.49889294488348,0,0.25,0.731719182384979,"LOW MED","R2"
2,17,5,154.295503151852,2,1,1.49944284219073,0,0.25,0.677155420170023,"LOW MED","R2"
2,18,6,156.266457698977,2,1,1.50007889450249,0,0.25,0.7192704110771,"LOW MED","R2"
2,19,7,166.918546243768,2,1,1.50006114248167,0,0.25,0.883126611427217,"LOW MED","R2"
2,21,9,151.84310209317,2,1,1.50129079852243,0,0.25,0.620514285857219,"LOW MED","R2"
2,22,10,163.951505107605,2,1,1.5001204653174,0,0.25,0.848273897042346,"LOW MED","R2"
2,24,12,152.618503663811,2,1,1.50088671297244,0,0.25,0.638869320457267,"LOW MED","R2"
2,25,13,154.072457454896,2,1,1.49888175698066,0,0.25,0.672184835287387,"LOW MED","R2"
1,1,1,271.450460350236,3,3,3.50064381201905,0,0.25,0.999996746419611,"LOW MED","R2"
1,2,2,277.600121596395,3,3,3.5005174370269,0,0.25,0.999998257418167,"LOW MED","R2"
1,3,3,273.743779253629,3,3,3.49936886878809,0,0.25,0.999997422266303,"LOW MED","R2"
1,4,4,271.201627062246,3,3,3.50168561521911,0,0.25,0.999996663172182,"LOW MED","R2"
1,6,6,298.107579864566,3,3,3.49945819881952,0,0.25,0.999999782770671,"LOW MED","R2"
1,8,8,262.848822385682,3,3,3.50025862318843,0,0.25,0.999992208010085,"LOW MED","R2"
1,10,10,294.962352720669,3,3,3.50071800704292,0,0.25,0.999999701044144,"LOW MED","R2"
1,11,11,291.444130263529,3,3,3.50000956053214,0,0.25,0.999999572690194,"LOW MED","R2"
1,12,12,254.838760349444,3,3,3.50095758587631,0,0.25,0.999982426938339,"LOW MED","R2"
