"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,50.5844330179155,0,0,0.500311357557404,0,0.25,5.60448723893846e-05,"LOW MED","R2"
1,2,2,50.8852487260111,0,0,0.500392206771753,0,0.25,5.77829332011567e-05,"LOW MED","R2"
1,2,2,162.225685425005,1,1,1.49927196235715,0,0.25,0.824320783626806,"LOW MED","R2"
1,3,3,53.011492771582,0,0,0.499379623611406,0,0.25,7.17051198108906e-05,"LOW MED","R2"
1,3,3,170.441708083324,1,1,1.4996167856711,0,0.25,0.91529659664549,"LOW MED","R2"
1,3,3,249.828338726866,2,2,2.49975391452008,0,0.25,0.999970773509309,"LOW MED","R2"
1,3,3,303.496273407933,3,3,3.49968706347938,0,0.25,0.99999987430896,"LOW MED","R2"
1,4,4,49.3836571320117,0,0,0.500398749927464,0,0.25,4.96124327928563e-05,"LOW MED","R2"
1,4,4,156.492853136264,1,1,1.4989751422101,0,0.25,0.723888370719982,"LOW MED","R2"
1,4,4,223.9468187446,2,2,2.49800361137287,0,0.25,0.999595556317142,"LOW MED","R2"
1,5,5,49.1646087594681,0,0,0.499058817812739,0,0.25,4.85212599995554e-05,"LOW MED","R2"
1,5,5,155.661368589013,1,1,1.50016786832218,0,0.25,0.706699809926751,"LOW MED","R2"
1,5,5,222.432150320001,2,2,2.49971830458697,0,0.25,0.999528351901117,"LOW MED","R2"
1,5,5,264.295745983409,3,3,3.49897352619442,0,0.25,0.999993272606707,"LOW MED","R2"
1,5,5,290.543164336698,4,4,4.50079475237975,0,0.25,0.999999531757435,"LOW MED","R2"
1,5,5,306.999633478806,5,5,5.50005359053754,0,0.25,0.999999911930842,"LOW MED","R2"
1,5,5,317.317424469904,6,6,6.50074019901861,0,0.25,0.999999969106908,"LOW MED","R2"
1,5,5,323.786419125847,7,7,7.50000797083219,0,0.25,0.999999983981886,"LOW MED","R2"
1,5,5,327.842315576426,8,8,8.49846862520204,0,0.25,0.999999989388743,"LOW MED","R2"
1,5,5,330.385260329474,9,9,9.4978235217102,0,0.25,0.999999991803361,"LOW MED","R2"
1,5,5,331.979622536658,10,10,10.5000303859297,0,0.25,0.9999999930284,"LOW MED","R2"
