"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
28,0,0.49903473367584,5.06104835405828,"LOW MED",0,"early","low","R2"
8,6,6.49792143957323,29.4085257030306,"LOW MED",0,"early","low","R2"
23,3,3.50013235090351,26.9937846116287,"LOW MED",0,"early","low","R2"
32,0,0.500770947514423,5.19191127465595,"LOW MED",0,"early","low","R2"
48,10,10.498396923171,41.4420555064992,"LOW MED",0,"early","low","R2"
17,0,0.499528376670789,5.08816854910156,"LOW MED",0,"early","low","R2"
63,1,1.49846545691913,15.5142668390036,"LOW MED",0.105595946637914,"early","low","R2"
58,1,1.49896680388866,15.9320733204317,"LOW MED",0.167243633652106,"early","low","R2"
48,0,0.500886311222609,4.78129801659689,"LOW MED",0,"early","low","R2"
97,10,10.4989943804483,35.1659723914085,"LOW MED",0.295655108336359,"late","med","R2"
41,2,2.50279215817058,21.4868532172195,"LOW MED",0,"early","low","R2"
29,0,0.499571641537655,4.91249118396517,"LOW MED",0,"early","low","R2"
42,0,0.500658944829355,4.92727725083198,"LOW MED",0,"early","low","R2"
84,1,1.50102380403773,16.4304091797722,"LOW MED",0.206793813803233,"late","med","R2"
84,0,0.500442174259493,4.93421209002024,"LOW MED",0.289957428025082,"late","med","R2"
67,5,5.50103665691363,31.5490630814987,"LOW MED",0.163401094987057,"early","low","R2"
60,1,1.49806778848951,15.1963479241802,"LOW MED",0.125111697264947,"early","low","R2"
37,0,0.500760506231395,4.98467564071857,"LOW MED",0,"early","low","R2"
23,1,1.49860089052594,16.057667215519,"LOW MED",0,"early","low","R2"
15,1,1.49984097076672,15.7938210070349,"LOW MED",0,"early","low","R2"
15,6,6.49978584526768,31.3794433496591,"LOW MED",0,"early","low","R2"
41,0,0.49861923927951,5.02451260573292,"LOW MED",0,"early","low","R2"
29,0,0.500262206220932,4.92346473564587,"LOW MED",0,"early","low","R2"
24,1,1.50045305782279,15.7989558664356,"LOW MED",0,"early","low","R2"
11,5,5.5004713377344,32.3055133497716,"LOW MED",0,"early","low","R2"
39,3,3.50122899687411,27.612929436227,"LOW MED",0,"early","low","R2"
29,7,7.49881524279052,35.3210995988378,"LOW MED",0,"early","low","R2"
49,5,5.50086533873436,30.4143152330894,"LOW MED",0,"early","low","R2"
44,7,7.49984940911502,31.3184092944899,"LOW MED",0,"early","low","R2"
87,1,1.49927611388703,15.4487205926016,"LOW MED",0.214436209341511,"late","med","R2"
13,9,9.50008078352149,35.2226506840332,"LOW MED",0,"early","low","R2"
11,0,0.500408453077237,5.03048397740408,"LOW MED",0,"early","low","R2"
44,1,1.49863527071094,16.1158324657439,"LOW MED",0,"early","low","R2"
14,9,9.49809742927176,35.6973845306733,"LOW MED",0,"early","low","R2"
5,3,3.49876244514589,29.0521866057808,"LOW MED",0,"early","low","R2"
19,1,1.49991422210735,15.9889661092003,"LOW MED",0,"early","low","R2"
81,0,0.499174588363806,5.21671646422992,"LOW MED",0.230658589187078,"late","med","R2"
26,2,2.49959897475622,22.3628288404754,"LOW MED",0,"early","low","R2"
60,5,5.49838262440586,32.9390393625973,"LOW MED",0.140697614359669,"early","low","R2"
25,0,0.499601543716832,4.90065483621923,"LOW MED",0,"early","low","R2"
71,2,2.50039571388654,22.8303905247428,"LOW MED",0.155694872979075,"early","low","R2"
5,0,0.499495642766752,4.9792359044622,"LOW MED",0,"early","low","R2"
14,3,3.50073926238957,26.7054189230744,"LOW MED",0,"early","low","R2"
54,5,5.49978164002966,31.5799328780912,"LOW MED",0.109631124790758,"early","low","R2"
60,0,0.501991475902659,4.91084055976004,"LOW MED",0.133650892111473,"early","low","R2"
19,3,3.49965519274895,27.7112965820582,"LOW MED",0,"early","low","R2"
80,1,1.50063340109159,15.5726378758086,"LOW MED",0.252021508268081,"late","med","R2"
51,2,2.50095061284431,23.1446232744225,"LOW MED",0.178707929141819,"early","low","R2"
93,0,0.499366111873527,5.1200021546633,"LOW MED",0.231739629316144,"late","med","R2"
26,0,0.500618560107453,4.9736432063083,"LOW MED",0,"early","low","R2"
40,8,8.50059131811978,34.8618450291798,"LOW MED",0,"early","low","R2"
40,3,3.50083001961943,28.26788292281,"LOW MED",0,"early","low","R2"
68,5,5.49797386650905,29.5802048836826,"LOW MED",0.117110407794826,"early","low","R2"
52,5,5.50020262551107,29.479923612045,"LOW MED",0.155477392207831,"early","low","R2"
89,1,1.50179622356621,16.809825804505,"LOW MED",0.238167912187055,"late","med","R2"
26,4,4.4991025948963,32.7407121243186,"LOW MED",0,"early","low","R2"
13,6,6.49979444848456,33.9432997446162,"LOW MED",0,"early","low","R2"
99,2,2.49978130495401,23.3043070910333,"LOW MED",0.206104904972017,"late","med","R2"
33,0,0.501245017061307,5.12010781578392,"LOW MED",0,"early","low","R2"
18,0,0.500157262622973,4.7932116581071,"LOW MED",0,"early","low","R2"
71,0,0.500512321235713,4.98316564974546,"LOW MED",0.155694872979075,"early","low","R2"
91,6,6.50077586134404,31.6035149714364,"LOW MED",0.298617069446482,"late","med","R2"
52,1,1.5016008749138,15.5250176570028,"LOW MED",0.123621824802831,"early","low","R2"
31,0,0.499620791473453,4.92305249388754,"LOW MED",0,"early","low","R2"
95,0,0.500562481139513,4.89167395536649,"LOW MED",0.265305578289554,"late","med","R2"
3,1,1.49784141178941,16.616856371256,"LOW MED",0,"early","low","R2"
22,8,8.49849374528528,33.8030914571825,"LOW MED",0,"early","low","R2"
11,1,1.50009087053572,16.1742657213412,"LOW MED",0,"early","low","R2"
19,0,0.500441538536299,4.93647613963505,"LOW MED",0,"early","low","R2"
78,0,0.500019494476049,5.08815681160035,"LOW MED",0.275008184439503,"late","med","R2"
57,0,0.499096902842058,4.82022532355486,"LOW MED",0.166350799519569,"early","low","R2"
52,1,1.49857924297463,16.3105396872478,"LOW MED",0.131710327207111,"early","low","R2"
23,1,1.50094593242848,15.3465011332202,"LOW MED",0,"early","low","R2"
26,3,3.49945483731618,26.6947142223815,"LOW MED",0,"early","low","R2"
31,7,7.49936307211742,32.49768180967,"LOW MED",0,"early","low","R2"
8,2,2.50130537482341,22.7516705896853,"LOW MED",0,"early","low","R2"
51,0,0.499899019602179,4.98157278153496,"LOW MED",0.178707929141819,"early","low","R2"
56,1,1.49949819610007,16.0272254574211,"LOW MED",0.187001229496673,"early","low","R2"
18,7,7.50097289095394,36.2166766657544,"LOW MED",0,"early","low","R2"
41,5,5.49984038228438,29.5795294699246,"LOW MED",0,"early","low","R2"
34,1,1.49861283439453,15.8221266195344,"LOW MED",0,"early","low","R2"
75,3,3.50033115365428,27.009000044588,"LOW MED",0.236260306811892,"late","med","R2"
37,11,11.4998252727974,35.1972468021996,"LOW MED",0,"early","low","R2"
5,2,2.50097031170013,22.9667294192424,"LOW MED",0,"early","low","R2"
83,0,0.500820129671287,4.77707809249622,"LOW MED",0.258804830815643,"late","med","R2"
62,1,1.50035084023514,16.9936409691445,"LOW MED",0.161510972213,"early","low","R2"
29,0,0.49954149628637,4.88665469995556,"LOW MED",0,"early","low","R2"
54,0,0.500091734131214,4.86720887692264,"LOW MED",0.187959162890911,"early","low","R2"
29,0,0.501353518554096,4.97275585908058,"LOW MED",0,"early","low","R2"
52,3,3.49995557553786,26.6126296827999,"LOW MED",0.123621824802831,"early","low","R2"
54,0,0.50021764990878,5.03915361333648,"LOW MED",0.187959162890911,"early","low","R2"
80,2,2.50130229370186,23.4450302066147,"LOW MED",0.252021508268081,"late","med","R2"
18,2,2.49947007732481,21.7996628594831,"LOW MED",0,"early","low","R2"
61,2,2.49914503990992,21.6960081337498,"LOW MED",0.159317614720203,"early","low","R2"
77,4,4.497521539125,31.4527168687162,"LOW MED",0.288326932676137,"late","med","R2"
94,0,0.500698489934737,5.11214148921486,"LOW MED",0.209740043268539,"late","med","R2"
59,1,1.50062710901145,15.3299933316295,"LOW MED",0.166537568112835,"early","low","R2"
40,3,3.50015293790119,25.2412108620528,"LOW MED",0,"early","low","R2"
38,1,1.5002056229999,16.3413254150014,"LOW MED",0,"early","low","R2"
67,1,1.49969639939816,17.1432184607528,"LOW MED",0.163401094987057,"early","low","R2"
1,0,0.501483078474449,4.99276910640575,"LOW MED",0,"early","low","R2"
66,2,2.4998157353945,23.5652880545493,"LOW MED",0.142547983094119,"early","low","R2"
22,1,1.50044675472512,15.6311679369579,"LOW MED",0,"early","low","R2"
50,1,1.49998726671863,16.3877122206479,"LOW MED",0.114028667961247,"early","low","R2"
91,4,4.50034421394244,32.3013553255412,"LOW MED",0.269803249440156,"late","med","R2"
38,4,4.49966155472412,30.0655391508161,"LOW MED",0,"early","low","R2"
48,4,4.50019635225823,29.4072094447796,"LOW MED",0,"early","low","R2"
4,1,1.50039082300309,16.3487944766412,"LOW MED",0,"early","low","R2"
68,0,0.499571862956268,4.69320882172005,"LOW MED",0.190644622780383,"early","low","R2"
46,6,6.5003414975942,31.9052213505311,"LOW MED",0,"early","low","R2"
7,0,0.50272197575429,4.92941450031851,"LOW MED",0,"early","low","R2"
51,0,0.500020976117185,4.68005327954187,"LOW MED",0.10399183020927,"early","low","R2"
75,1,1.49984797556029,15.3852857671275,"LOW MED",0.215567820216529,"late","med","R2"
13,3,3.49941189295198,26.5929972135797,"LOW MED",0,"early","low","R2"
11,8,8.50037538349661,33.9032383947751,"LOW MED",0,"early","low","R2"
20,3,3.50041077991182,28.8192756732439,"LOW MED",0,"early","low","R2"
74,4,4.50099789002512,32.4653722487467,"LOW MED",0.149184786598198,"early","low","R2"
41,1,1.5011416408815,15.4732277380549,"LOW MED",0,"early","low","R2"
62,4,4.49959104783146,28.5843491170626,"LOW MED",0.149225162062794,"early","low","R2"
67,2,2.49895515078715,23.1536816797461,"LOW MED",0.168685424723662,"early","low","R2"
59,0,0.498367322787502,4.91133957321965,"LOW MED",0.138374454132281,"early","low","R2"
11,5,5.50110238914019,31.8387174818676,"LOW MED",0,"early","low","R2"
21,0,0.50058487889595,4.90636162340519,"LOW MED",0,"early","low","R2"
13,3,3.49971730574771,27.21355148484,"LOW MED",0,"early","low","R2"
63,0,0.499734267494525,4.87127015383988,"LOW MED",0.12616850445047,"early","low","R2"
76,4,4.50004330684048,31.8265768969202,"LOW MED",0.275411330233328,"late","med","R2"
20,3,3.50186182813358,26.7739878061786,"LOW MED",0,"early","low","R2"
32,6,6.49892885834895,36.5297569071055,"LOW MED",0,"early","low","R2"
1,0,0.501651399469424,5.08544098679982,"LOW MED",0,"early","low","R2"
43,1,1.49988399038054,15.7417774494056,"LOW MED",0,"early","low","R2"
70,10,10.5017399347643,36.2596710016948,"LOW MED",0.149391904030927,"early","low","R2"
65,6,6.50022150176072,34.5192815739785,"LOW MED",0.184526868793182,"early","low","R2"
46,1,1.49905186651636,15.4958813437337,"LOW MED",0,"early","low","R2"
