"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,49.9822801260288,0,0,0.500833259705487,0,0.25,0.05,"MED LOW","R2"
1,2,2,49.4650679538424,0,0,0.500115239535618,0,0.25,0.05,"MED LOW","R2"
1,3,3,50.7753640107436,0,0,0.499385653082273,0,0.25,0.05,"MED LOW","R2"
1,4,4,48.788914063841,0,0,0.500639935744244,0,0.25,0.05,"MED LOW","R2"
1,5,5,50.4072841132689,0,0,0.500028969400309,0,0.25,0.05,"MED LOW","R2"
1,6,6,51.8717399889653,0,0,0.50030878664372,0,0.25,0.05,"MED LOW","R2"
1,7,7,48.5602055956923,0,0,0.499997279280854,0,0.25,0.05,"MED LOW","R2"
1,8,8,50.2961394554602,0,0,0.499591600187497,0,0.25,0.05,"MED LOW","R2"
1,9,9,50.0544942698134,0,0,0.500581506229555,0,0.25,0.05,"MED LOW","R2"
1,10,10,49.7557518426972,0,0,0.500292919574869,0,0.25,0.05,"MED LOW","R2"
1,11,11,52.4352284813792,0,0,0.501141961142012,0,0.25,0.05,"MED LOW","R2"
1,12,12,50.1540429755669,0,0,0.498827815437883,0,0.25,0.05,"MED LOW","R2"
1,1,1,158.771405046384,1,1,1.50000982735876,0,0.25,0.186605496863371,"MED LOW","R2"
1,2,2,156.802191975705,1,1,1.49794207562145,0,0.25,0.186605496863371,"MED LOW","R2"
1,3,3,161.804213253062,1,1,1.50101015796774,0,0.25,0.186605496863371,"MED LOW","R2"
1,5,5,160.394655046065,1,1,1.49941282520873,0,0.25,0.186605496863371,"MED LOW","R2"
1,6,6,166.023249302645,1,1,1.49970194393329,0,0.25,0.186605496863371,"MED LOW","R2"
1,7,7,153.37346475688,1,1,1.50089504797192,0,0.25,0.186605496863371,"MED LOW","R2"
1,8,8,159.969706957407,1,1,1.49982232473006,0,0.25,0.186605496863371,"MED LOW","R2"
1,9,9,159.046893119466,1,1,1.49838189463632,0,0.25,0.186605496863371,"MED LOW","R2"
1,10,10,157.908090530196,1,1,1.49795940630006,0,0.25,0.186605496863371,"MED LOW","R2"
1,11,11,168.203573851556,1,1,1.49884462140855,0,0.25,0.186605496863371,"MED LOW","R2"
1,12,12,159.426877236263,1,1,1.49965597499626,0,0.25,0.186605496863371,"MED LOW","R2"
2,13,1,51.8109187449577,1,0,0.500008448278908,0,0.25,0.05,"MED LOW","R2"
2,14,2,48.0700376957778,1,0,0.500234715703388,0,0.25,0.05,"MED LOW","R2"
2,15,3,50.2541934409838,1,0,0.501770253784349,0,0.25,0.05,"MED LOW","R2"
2,16,4,48.2882638420182,1,0,0.498948191980682,0,0.25,0.05,"MED LOW","R2"
2,17,5,49.5837445565764,1,0,0.50011951086612,0,0.25,0.05,"MED LOW","R2"
