"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,229.187009988983,2,2,2.50077166113773,"M",0,0.25,0.999762390087409,"MED LOW","R2"
1,2,49.1419403132457,0,0,0.499368100764555,"M",0,0.25,4.84097181933274e-05,"MED LOW","R2"
1,3,296.73446124849,4,4,4.49829704527766,"M",0,0.25,0.999999750272686,"MED LOW","R2"
1,4,357.566838101171,8,8,8.50165797334446,"M",0,0.25,0.999999999481122,"MED LOW","R2"
1,5,51.7574519887002,0,0,0.499356073222056,"M",0,0.25,6.31330863597624e-05,"MED LOW","R2"
1,6,314.942082972625,4,4,4.50070385984617,"M",0,0.25,0.999999960681048,"MED LOW","R2"
1,7,335.309234520837,10,10,10.5005048786812,"M",0,0.25,0.999999995028203,"MED LOW","R2"
1,8,226.27452562737,2,2,2.50163879696136,"M",0,0.25,0.999680658834026,"MED LOW","R2"
1,9,50.5644959573569,0,0,0.500542495811083,"M",0,0.25,5.59315442407604e-05,"MED LOW","R2"
2,1,272.284295984812,4,3,3.50013449597831,"M",0,0.25,0.99999701053334,"MED LOW","R2"
2,2,258.198291644915,4,3,3.50020603251911,"M",0,0.25,0.999987505719026,"MED LOW","R2"
2,3,48.8277614618489,1,0,0.498789363331597,"M",0,0.25,4.68899223205278e-05,"MED LOW","R2"
2,4,52.3728830756469,1,0,0.500963008875317,"M",0,0.25,6.72036184095582e-05,"MED LOW","R2"
2,5,162.006234905008,2,1,1.49877123986799,"M",0,0.25,0.82107073806933,"MED LOW","R2"
2,6,333.768382957508,6,5,5.49939717013616,"M",0,0.25,0.999999994186239,"MED LOW","R2"
2,7,224.426892229689,3,2,2.50038484681159,"M",0,0.25,0.999614789962047,"MED LOW","R2"
2,8,161.712559323842,2,1,1.50061307556999,"M",0,0.25,0.816648118052585,"MED LOW","R2"
2,9,316.697610834498,6,5,5.49976415711958,"M",0,0.25,0.999999967100294,"MED LOW","R2"
2,10,50.1449195093912,1,0,0.499757483372757,"M",0,0.25,5.35989917148741e-05,"MED LOW","R2"
2,11,48.5371401370439,1,0,0.499705821051977,"M",0,0.25,4.55265952179209e-05,"MED LOW","R2"
2,12,50.8006694851068,1,0,0.500193099618562,"M",0,0.25,5.7288873282894e-05,"MED LOW","R2"
2,13,334.873076642687,8,7,7.50130867024685,"M",0,0.25,0.999999994803083,"MED LOW","R2"
2,14,347.921632465503,9,8,8.49833596567524,"M",0,0.25,0.999999998618438,"MED LOW","R2"
3,1,50.4686407660743,2,0,0.49773983511193,"M",0,0.25,5.53898661106211e-05,"MED LOW","R2"
3,2,158.104577816347,3,1,1.50140528761737,"M",0,0.25,0.755372470301256,"MED LOW","R2"
3,3,47.3644976796358,2,0,0.502076563483895,"M",0,0.25,4.04166002462874e-05,"MED LOW","R2"
3,4,306.113645079965,7,5,5.50094920251843,"M",0,0.25,0.999999903641184,"MED LOW","R2"
3,5,50.6064430965702,2,0,0.49917157690505,"M",0,0.25,5.61702508697164e-05,"MED LOW","R2"
3,6,51.2375389097145,2,0,0.499311738943792,"M",0,0.25,5.98870456113503e-05,"MED LOW","R2"
3,7,353.581657395832,9,7,7.49908909466851,"M",0,0.25,0.999999999222336,"MED LOW","R2"
3,8,49.2735216998586,2,0,0.500971959038901,"M",0,0.25,4.90607684786386e-05,"MED LOW","R2"
3,9,159.600746702661,3,1,1.50233521803179,"M",0,0.25,0.782344864698982,"MED LOW","R2"
3,10,273.093334026731,5,3,3.49931673575522,"M",0,0.25,0.999997246282888,"MED LOW","R2"
3,11,328.496701572845,8,6,6.50068179712185,"M",0,0.25,0.999999990070859,"MED LOW","R2"
3,12,273.307964602923,5,3,3.50046384414788,"M",0,0.25,0.999997305642471,"MED LOW","R2"
3,13,165.123134826607,3,1,1.49810181637916,"M",0,0.25,0.862958758316503,"MED LOW","R2"
4,1,287.816226003866,8,5,5.49971099359956,"M",0,0.25,0.999999382388976,"MED LOW","R2"
4,2,49.3215462353942,3,0,0.502004992977009,"M",0,0.25,4.93005633658098e-05,"MED LOW","R2"
4,3,234.267132111745,5,2,2.50041363490061,"M",0,0.25,0.99985812744152,"MED LOW","R2"
4,4,51.1277955019371,3,0,0.497875595693073,"M",0,0.25,5.92234968368721e-05,"MED LOW","R2"
4,5,51.2529631877748,3,0,0.499439449170454,"M",0,0.25,5.99809003826274e-05,"MED LOW","R2"
4,6,158.068851640385,4,1,1.50169995354391,"M",0,0.25,0.754701567530773,"MED LOW","R2"
