"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
32,3,309.245254215776,40,9,9.5012276542847,"FISHED",0.5018432316176,0.25,0.999999929886231,"MED LOW","R2"
33,5,378.776381979173,42,10,10.5015457582141,"FISHED",0.468727959960088,0.25,0.999999999939767,"MED LOW","R2"
33,11,321.138435432095,40,8,8.50120644642414,"FISHED",0.5018432316176,0.25,0.99999997904083,"MED LOW","R2"
34,4,321.690297962337,40,7,7.49911879246967,"FISHED",0.5018432316176,0.25,0.999999980182917,"MED LOW","R2"
34,5,344.493761741059,40,7,7.49933643201175,"FISHED",0.5018432316176,0.25,0.99999999804331,"MED LOW","R2"
34,6,331.244239834043,41,8,8.49912488426446,"FISHED",0.499985107430384,0.25,0.999999992487939,"MED LOW","R2"
34,12,383.085971722363,40,7,7.50010642645954,"FISHED",0.5018432316176,0.25,0.999999999961113,"MED LOW","R2"
35,4,324.928199158336,41,7,7.50093146336253,"FISHED",0.499985107430384,0.25,0.999999985735235,"MED LOW","R2"
36,7,313.315905873672,40,5,5.49972995797849,"FISHED",0.5018432316176,0.25,0.999999953622415,"MED LOW","R2"
36,11,344.883510459895,40,5,5.50061971530473,"FISHED",0.5018432316176,0.25,0.999999998119228,"MED LOW","R2"
37,6,337.922072321167,41,5,5.50137151160605,"FISHED",0.499985107430384,0.25,0.999999996186705,"MED LOW","R2"
37,8,317.409636225724,40,4,4.4987527233828,"FISHED",0.5018432316176,0.25,0.999999969394795,"MED LOW","R2"
37,11,299.004820485906,40,4,4.4999338826652,"FISHED",0.5018432316176,0.25,0.9999998016854,"MED LOW","R2"
38,1,281.595103938322,41,4,4.50065286861928,"FISHED",0.499985107430384,0.25,0.9999988384581,"MED LOW","R2"
38,3,274.158678631447,40,3,3.49953869322294,"FISHED",0.5018432316176,0.25,0.999997528599518,"MED LOW","R2"
38,4,287.938264589361,40,3,3.49947354667093,"FISHED",0.5018432316176,0.25,0.999999389994491,"MED LOW","R2"
38,6,349.617552016391,46,9,9.50128062221456,"FISHED",0.552094024138402,0.25,0.999999998836976,"MED LOW","R2"
38,7,266.307459842072,40,3,3.50140474105994,"FISHED",0.5018432316176,0.25,0.999994515450859,"MED LOW","R2"
38,10,283.741477862096,40,3,3.50118576849852,"FISHED",0.5018432316176,0.25,0.999999065905694,"MED LOW","R2"
38,13,298.075939101075,40,3,3.50058084624502,"FISHED",0.5018432316176,0.25,0.999999782071686,"MED LOW","R2"
39,4,234.083026716519,40,2,2.49953099410713,"FISHED",0.5018432316176,0.25,0.999855450911753,"MED LOW","R2"
39,5,219.971833453639,40,2,2.50021957189805,"FISHED",0.5018432316176,0.25,0.999394592886407,"MED LOW","R2"
40,4,227.560624283138,41,2,2.50008783776949,"FISHED",0.499985107430384,0.25,0.999719739800896,"MED LOW","R2"
40,5,223.028868617421,41,2,2.50144366528608,"FISHED",0.499985107430384,0.25,0.999556066554546,"MED LOW","R2"
40,8,221.714576545169,41,2,2.49966533817294,"FISHED",0.499985107430384,0.25,0.999492724381802,"MED LOW","R2"
40,10,209.175538085547,41,2,2.50074988811909,"FISHED",0.499985107430384,0.25,0.998190385655482,"MED LOW","R2"
40,11,162.899310501565,40,1,1.4986142466128,"FISHED",0.5018432316176,0.25,0.834006811221231,"MED LOW","R2"
41,1,238.459252872788,42,2,2.49861400042491,"FISHED",0.468727959960088,0.25,0.999907302419893,"MED LOW","R2"
41,2,283.977121260616,43,3,3.50014999438356,"FISHED",0.506947723450864,0.25,0.999999087989055,"MED LOW","R2"
41,4,265.98140288141,43,3,3.49979539220486,"FISHED",0.506947723450864,0.25,0.999994330845174,"MED LOW","R2"
41,6,282.245672886682,43,3,3.50058931634424,"FISHED",0.506947723450864,0.25,0.999998912703208,"MED LOW","R2"
41,7,229.095932427395,42,2,2.49954388034311,"FISHED",0.468727959960088,0.25,0.999760183170796,"MED LOW","R2"
41,8,162.299206465309,41,1,1.49861889542026,"FISHED",0.499985107430384,0.25,0.82539918561695,"MED LOW","R2"
41,11,242.946111527018,42,2,2.49978255259842,"FISHED",0.468727959960088,0.25,0.999941219224423,"MED LOW","R2"
42,5,355.429453002994,49,8,8.49882095688793,"FISHED",0.485644285191152,0.25,0.999999999355366,"MED LOW","R2"
42,6,160.835918083359,42,1,1.49949828259146,"FISHED",0.468727959960088,0.25,0.802943470305824,"MED LOW","R2"
42,11,319.93570735804,45,4,4.50095770073435,"FISHED",0.450982498190083,0.25,0.999999976318549,"MED LOW","R2"
43,2,222.406018701761,44,2,2.50092595671503,"FISHED",0.430633510767164,0.25,0.999527099452866,"MED LOW","R2"
43,3,256.058319272926,45,3,3.49973729047932,"FISHED",0.450982498190083,0.25,0.999984473558552,"MED LOW","R2"
43,4,156.070821552253,43,1,1.49905812759408,"FISHED",0.506947723450864,0.25,0.715242170629063,"MED LOW","R2"
43,8,156.405144157329,43,1,1.50106580252153,"FISHED",0.506947723450864,0.25,0.722104888450887,"MED LOW","R2"
43,9,156.91485064685,43,1,1.50119125897139,"FISHED",0.506947723450864,0.25,0.732369597880428,"MED LOW","R2"
43,11,225.074216429496,44,2,2.50105767384438,"FISHED",0.430633510767164,0.25,0.999639284746057,"MED LOW","R2"
44,1,158.39539513289,44,1,1.50011102298894,"FISHED",0.430633510767164,0.25,0.760787458151614,"MED LOW","R2"
44,11,165.067274512311,44,1,1.49875900393196,"FISHED",0.430633510767164,0.25,0.862286644163202,"MED LOW","R2"
45,3,216.083191679838,46,2,2.50126183651053,"FISHED",0.552094024138402,0.25,0.999101765519956,"MED LOW","R2"
45,5,166.651813461493,45,1,1.50049333717749,"FISHED",0.450982498190083,0.25,0.88030223581453,"MED LOW","R2"
45,9,301.146555347307,49,5,5.49888025860613,"FISHED",0.485644285191152,0.25,0.999999840443313,"MED LOW","R2"
45,10,276.613419508891,47,3,3.50021713443035,"FISHED",0.452361238053507,0.25,0.999998073798649,"MED LOW","R2"
45,12,154.925347447768,45,1,1.49927836604755,"FISHED",0.450982498190083,0.25,0.690974554504584,"MED LOW","R2"
46,3,268.82082541101,48,3,3.49993655075937,"FISHED",0.516152951781197,0.25,0.999995750726009,"MED LOW","R2"
46,4,160.067371092903,46,1,1.50103418522218,"FISHED",0.552094024138402,0.25,0.79030440607155,"MED LOW","R2"
46,6,156.670389524699,46,1,1.50191635217083,"FISHED",0.552094024138402,0.25,0.727476659228428,"MED LOW","R2"
46,7,167.266481540898,46,1,1.50042337786815,"FISHED",0.552094024138402,0.25,0.886723761188178,"MED LOW","R2"
46,9,231.98541386525,47,2,2.50107381498783,"FISHED",0.452361238053507,0.25,0.999821147673401,"MED LOW","R2"
47,3,333.100045619443,51,5,5.501001901228,"FISHED",0.527981003465517,0.25,0.999999993778036,"MED LOW","R2"
47,4,160.218562219268,47,1,1.49839874863302,"FISHED",0.452361238053507,0.25,0.792837054980172,"MED LOW","R2"
47,5,258.547388297101,49,3,3.50048502234793,"FISHED",0.485644285191152,0.25,0.999987940812239,"MED LOW","R2"
47,8,166.092488403843,47,1,1.50114161636866,"FISHED",0.452361238053507,0.25,0.874187893822755,"MED LOW","R2"
47,9,294.960033927241,50,4,4.50014321188383,"FISHED",0.474444657699338,0.25,0.999999700973752,"MED LOW","R2"
47,10,161.904578324594,47,1,1.49763648406497,"FISHED",0.452361238053507,0.25,0.819549350943116,"MED LOW","R2"
48,7,160.678637571476,48,1,1.49991948573206,"FISHED",0.516152951781197,0.25,0.80040453229962,"MED LOW","R2"
48,8,163.31466670943,48,1,1.49988495721652,"FISHED",0.516152951781197,0.25,0.839763158383468,"MED LOW","R2"
48,10,227.439417456789,49,2,2.5003225779929,"FISHED",0.485644285191152,0.25,0.999716270476804,"MED LOW","R2"
49,4,271.905027555353,51,3,3.49996151347703,"FISHED",0.527981003465517,0.25,0.999996893170026,"MED LOW","R2"
49,7,160.522385580835,49,1,1.49904075278539,"FISHED",0.485644285191152,0.25,0.797857960685657,"MED LOW","R2"
49,8,213.858335091086,50,2,2.49934183501639,"FISHED",0.474444657699338,0.25,0.998874369611449,"MED LOW","R2"
49,12,161.043130001693,49,1,1.50017844805931,"FISHED",0.485644285191152,0.25,0.806251123477729,"MED LOW","R2"
50,3,169.319094934925,50,1,1.49980297710004,"FISHED",0.474444657699338,0.25,0.906031188634558,"MED LOW","R2"
50,6,153.524262368314,50,1,1.49981726297039,"FISHED",0.474444657699338,0.25,0.659804668381458,"MED LOW","R2"
50,8,164.2023205665,50,1,1.50050872600837,"FISHED",0.474444657699338,0.25,0.851522504086052,"MED LOW","R2"
50,11,158.049752471578,50,1,1.50042941514579,"FISHED",0.474444657699338,0.25,0.754342394703491,"MED LOW","R2"
51,1,158.287883751515,51,1,1.49974859021578,"FISHED",0.527981003465517,0.25,0.758795225522823,"MED LOW","R2"
51,2,157.539452179737,51,1,1.49714088703912,"FISHED",0.527981003465517,0.25,0.74461510517119,"MED LOW","R2"
51,3,229.552170225278,52,2,2.49827118613996,"FISHED",0.425637344858749,0.25,0.99977103632485,"MED LOW","R2"
51,5,156.913585292961,51,1,1.49780776685912,"FISHED",0.527981003465517,0.25,0.732344415586804,"MED LOW","R2"
51,6,221.786908976259,52,2,2.50051875904118,"FISHED",0.425637344858749,0.25,0.999496434340621,"MED LOW","R2"
51,7,153.54681240637,51,1,1.49970415944381,"FISHED",0.527981003465517,0.25,0.660318400255631,"MED LOW","R2"
51,9,158.268297993114,51,1,1.50074645738328,"FISHED",0.527981003465517,0.25,0.758431076740875,"MED LOW","R2"
51,10,286.989566556096,54,4,4.49757144544987,"FISHED",0.544397162243618,0.25,0.999999328313647,"MED LOW","R2"
52,1,222.616089986415,53,2,2.49994399279432,"FISHED",0.556338547454119,0.25,0.999537074539272,"MED LOW","R2"
52,2,230.584734596048,53,2,2.50037490033585,"FISHED",0.556338547454119,0.25,0.999793820439995,"MED LOW","R2"
52,5,156.502528637117,52,1,1.49848279461933,"FISHED",0.425637344858749,0.25,0.724084679068799,"MED LOW","R2"
52,7,237.650890538251,53,2,2.49813451435109,"FISHED",0.556338547454119,0.25,0.999899374129241,"MED LOW","R2"
52,9,286.26845449097,55,4,4.50051681892625,"FISHED",0.423580953999841,0.25,0.999999277290266,"MED LOW","R2"
53,1,150.704481425339,53,1,1.50114902796739,"FISHED",0.556338547454119,0.25,0.592938115406451,"MED LOW","R2"
53,4,218.078432713504,54,2,2.50017825239314,"FISHED",0.544397162243618,0.25,0.999266363032362,"MED LOW","R2"
53,6,227.481697676865,54,2,2.49953825684039,"FISHED",0.544397162243618,0.25,0.999717485520167,"MED LOW","R2"
53,7,288.156331770556,56,4,4.50020805965824,"FISHED",0.424071559396195,0.25,0.999999403352121,"MED LOW","R2"
53,11,264.489883492876,55,3,3.50076517868365,"FISHED",0.423580953999841,0.25,0.999993403912763,"MED LOW","R2"
54,1,161.858439859151,54,1,1.49891612939247,"FISHED",0.544397162243618,0.25,0.818855524141814,"MED LOW","R2"
54,3,219.036359283773,55,2,2.50169993358163,"FISHED",0.423580953999841,0.25,0.999334311565725,"MED LOW","R2"
54,4,242.224891427621,55,2,2.50147471460459,"FISHED",0.423580953999841,0.25,0.999936753639668,"MED LOW","R2"
54,5,252.990516466543,56,3,3.50032361981995,"FISHED",0.424071559396195,0.25,0.999978799598667,"MED LOW","R2"
54,7,321.618357682487,57,4,4.5001910471173,"FISHED",0.540539845186294,0.25,0.999999980037638,"MED LOW","R2"
55,1,155.450034617773,55,1,1.50029372790805,"FISHED",0.423580953999841,0.25,0.702232614755359,"MED LOW","R2"
