"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,49.8133921350275,0,0,0.501871053384332,"M",0,0.25,5.18249279404003e-05,"MED MED","R2"
1,2,373.720204743789,10,10,10.5000389908637,"M",0,0.25,0.999999999899357,"MED MED","R2"
1,3,156.439227840297,1,1,1.4999670664344,"M",0,0.25,0.722798790483067,"MED MED","R2"
1,4,157.733194600113,1,1,1.50056615751515,"M",0,0.25,0.748337801771933,"MED MED","R2"
1,5,171.270795603292,1,1,1.49949233575043,"M",0,0.25,0.921598861663767,"MED MED","R2"
1,6,317.885451190814,4,4,4.49900817457818,"M",0,0.25,0.999999970838205,"MED MED","R2"
1,7,347.016249674996,11,11,11.4991791641235,"M",0,0.25,0.999999998485417,"MED MED","R2"
1,8,256.351862143046,3,3,3.49853876675015,"M",0,0.25,0.999984929475437,"MED MED","R2"
1,9,47.7110803255954,0,0,0.500063456067088,"M",0,0.25,4.18640938406565e-05,"MED MED","R2"
1,10,293.463367257242,4,4,4.49915167446258,"M",0,0.25,0.999999651899429,"MED MED","R2"
1,11,374.249348348148,10,10,10.4992048132728,"M",0,0.25,0.999999999904621,"MED MED","R2"
2,1,49.8536930509291,1,0,0.500331820321711,"M",0,0.25,5.20374110531918e-05,"MED MED","R2"
2,2,231.624578268916,3,2,2.5009233049856,"M",0,0.25,0.999814474878891,"MED MED","R2"
2,3,218.507271393606,3,2,2.4990958951038,"M",0,0.25,0.999297598934763,"MED MED","R2"
2,4,332.240104915252,9,8,8.49916178640149,"M",0,0.25,0.999999993210364,"MED MED","R2"
2,5,48.7219656757619,1,0,0.499748013399059,"M",0,0.25,4.63889636998024e-05,"MED MED","R2"
2,6,159.931911097422,2,1,1.50028768224214,"M",0,0.25,0.78801601659883,"MED MED","R2"
2,7,48.5488677208515,1,0,0.499830579308017,"M",0,0.25,4.55808348919811e-05,"MED MED","R2"
2,8,307.905192795119,4,3,3.50012562858876,"M",0,0.25,0.999999919667136,"MED MED","R2"
2,9,373.208055363148,10,9,9.50149604603578,"M",0,0.25,0.999999999893985,"MED MED","R2"
2,10,249.28777746045,4,3,3.49894299033442,"M",0,0.25,0.999969124643678,"MED MED","R2"
2,11,155.989210230804,2,1,1.50123169865396,"M",0,0.25,0.713551509609073,"MED MED","R2"
2,12,156.7349561475,2,1,1.49940281601855,"M",0,0.25,0.72877439623288,"MED MED","R2"
3,1,310.010163413069,6,4,4.50068125490495,"M",0,0.25,0.999999935125402,"MED MED","R2"
3,2,269.125203913225,5,3,3.50060704450439,"M",0,0.25,0.999995880037758,"MED MED","R2"
3,3,328.884210296808,7,5,5.49919542488649,"M",0,0.25,0.999999990453932,"MED MED","R2"
3,4,50.6176677745816,2,0,0.499996213353789,"M",0,0.25,5.62342992117792e-05,"MED MED","R2"
3,5,51.3792513776979,2,0,0.499813105891081,"M",0,0.25,6.07549008170776e-05,"MED MED","R2"
3,6,355.070504014769,11,9,9.49770826767918,"M",0,0.25,0.999999999331439,"MED MED","R2"
3,7,351.82646251869,10,8,8.49730940951436,"M",0,0.25,0.999999999070633,"MED MED","R2"
3,8,48.2172184346904,2,0,0.499619009701897,"M",0,0.25,4.40716055116461e-05,"MED MED","R2"
3,9,234.139045396128,4,2,2.50025047260922,"M",0,0.25,0.999856270613527,"MED MED","R2"
3,10,341.841056103788,9,7,7.50089634219859,"M",0,0.25,0.999999997438508,"MED MED","R2"
3,11,164.283931418225,3,1,1.50027346021148,"M",0,0.25,0.852567088636428,"MED MED","R2"
3,12,222.800954884561,4,2,2.50021803794767,"M",0,0.25,0.999545678596701,"MED MED","R2"
4,1,314.450246775391,11,8,8.50035631757165,"M",0,0.25,0.999999958667714,"MED MED","R2"
4,2,297.489763507031,6,3,3.49894491598827,"M",0,0.25,0.999999768707773,"MED MED","R2"
4,3,49.690687557682,3,0,0.498273789430002,"M",0,0.25,5.11833058844533e-05,"MED MED","R2"
4,4,48.4649377381438,3,0,0.500331692014566,"M",0,0.25,4.51940805378816e-05,"MED MED","R2"
4,5,157.013229377478,4,1,1.49942008993102,"M",0,0.25,0.734322862458115,"MED MED","R2"
4,6,223.196811858374,5,2,2.4985839375874,"M",0,0.25,0.999563568914753,"MED MED","R2"
4,7,307.367725682618,9,6,6.49908965462005,"M",0,0.25,0.999999915161529,"MED MED","R2"
4,8,50.2729797188221,3,0,0.5002064107902,"M",0,0.25,5.43004119147777e-05,"MED MED","R2"
4,9,49.4282292639615,3,0,0.500482301957677,"M",0,0.25,4.98374521712065e-05,"MED MED","R2"
4,10,289.866495623656,6,3,3.49963812294452,"M",0,0.25,0.999999498456565,"MED MED","R2"
4,11,364.031957991449,11,8,8.50109114202337,"M",0,0.25,0.999999999730855,"MED MED","R2"
4,12,227.171503630419,5,2,2.50030135182467,"M",0,0.25,0.999708448837374,"MED MED","R2"
4,13,371.433576297139,11,8,8.49971123625939,"M",0,0.25,0.999999999873056,"MED MED","R2"
5,1,320.258558810387,10,6,6.50302013444171,"M",0,0.25,0.999999977082238,"MED MED","R2"
5,2,49.9849390771642,4,0,0.49981240009847,"M",0,0.25,5.27354511317089e-05,"MED MED","R2"
5,3,157.71427175001,5,1,1.49989275011686,"M",0,0.25,0.747975797322386,"MED MED","R2"
5,4,50.6198952972945,4,0,0.498794472009996,"M",0,0.25,5.62470182031474e-05,"MED MED","R2"
5,5,221.943782936748,6,2,2.50119846197347,"M",0,0.25,0.999504387545093,"MED MED","R2"
5,6,48.5650088650998,4,0,0.49850407860649,"M",0,0.25,4.565559281838e-05,"MED MED","R2"
5,7,341.798985950515,15,11,11.5005768207363,"M",0,0.25,0.999999997427543,"MED MED","R2"
5,8,161.648487514574,5,1,1.49968052425095,"M",0,0.25,0.815672037001526,"MED MED","R2"
5,9,266.154509400407,7,3,3.50018754117076,"M",0,0.25,0.999994429614686,"MED MED","R2"
5,10,276.312518724073,7,3,3.50011751413808,"M",0,0.25,0.9999980140429,"MED MED","R2"
