"variable","value","sd","st","Sex"
"t0",-2.91634352367711,0.177328776799164,"North_Early","F"
"t0",-2.65565968138634,0.274193165896897,"North_Late","F"
"t0",-4.41264846904747,0.286533647258263,"South_Early","F"
"t0",-4.18192589919823,0.437159441440623,"South_Late","F"
"t0",-1.48795698047954,0.054189683631276,"North_Early","M"
"t0",-1.54366117414974,0.0665241273955297,"North_Late","M"
"t0",-1.65952331814872,0.0598007676120463,"South_Early","M"
"t0",-1.50885231391543,0.0652230712188893,"South_Late","M"
"log_k",-1.49291373156501,0.0287881549432554,"North_Early","F"
"log_k",-1.1648385898468,0.0458532521575842,"North_Late","F"
"log_k",-1.68638928637763,0.039620078519771,"South_Early","F"
"log_k",-1.45004315770205,0.0600771232826007,"South_Late","F"
"log_k",-1.15424620164822,0.0229950387837073,"North_Early","M"
"log_k",-0.932709426565064,0.0283157183259617,"North_Late","M"
"log_k",-1.24753948004719,0.0240279514297307,"South_Early","M"
"log_k",-0.971698739529518,0.0280220232832118,"South_Late","M"
"Linf",76.3989942587184,0.205350567051823,"North_Early","F"
"Linf",64.505750415402,0.157495986549296,"North_Late","F"
"Linf",75.1164481056258,0.3123439075162,"South_Early","F"
"Linf",64.4292522935478,0.24316924344093,"South_Late","F"
"Linf",68.3005897292817,0.349645349717917,"North_Early","M"
"Linf",58.2739563288696,0.276548196608475,"North_Late","M"
"Linf",68.3293349444134,0.326648849682496,"South_Early","M"
"Linf",58.8406677368572,0.242246786312801,"South_Late","M"
"Sigma",5.99494392534914,0.0253169810121235,"ALL","ALL"
